이름,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,볼넷,사구,고4,삼진,타율,출루,장타,OPS
오재원,1354,4542,3974,626,1082,174,32,58,1494,475,429,48,10,836,0.272,0.348,0.376,0.724
박세혁,341,840,718,130,192,39,6,14,285,96,76,12,0,176,0.267,0.343,0.397,0.74
이흥련,258,455,405,58,98,23,1,8,147,61,23,11,0,89,0.242,0.299,0.363,0.662
박유연,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0.333,0.333,0.333,0.667
김재호,1245,3599,3066,476,850,149,25,44,1181,447,385,28,5,449,0.277,0.357,0.385,0.742
페르난데스,46,205,182,33,62,12,0,9,101,41,20,2,2,18,0.341,0.41,0.555,0.965
최주환,695,2080,1841,289,547,114,18,48,841,288,167,32,6,265,0.297,0.361,0.457,0.818
허경민,841,2932,2575,419,751,130,15,25,986,312,211,70,1,266,0.292,0.358,0.383,0.741
신성현,215,426,370,61,86,13,1,15,146,55,37,6,0,135,0.232,0.309,0.395,0.704
김민혁,40,79,74,8,16,4,0,2,26,12,5,0,0,25,0.216,0.266,0.351,0.617
이병휘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전민재,14,8,8,2,3,1,0,0,4,3,0,0,0,2,0.375,0.375,0.5,0.875
김재환,620,2400,2087,400,653,125,9,136,1204,453,271,19,20,487,0.313,0.393,0.577,0.97
장승현,31,31,27,4,9,2,0,0,11,2,2,0,0,6,0.333,0.379,0.407,0.787
오재일,805,2550,2189,316,594,124,5,116,1076,414,294,22,11,539,0.271,0.358,0.492,0.85
류지혁,395,857,738,165,200,29,6,7,262,78,72,20,0,144,0.271,0.35,0.355,0.705
송승환,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
박건우,590,2104,1898,346,632,126,15,62,974,306,141,36,3,291,0.333,0.387,0.513,0.9
정수빈,939,3124,2723,497,773,107,53,19,1043,296,244,54,3,438,0.284,0.352,0.383,0.735
정진호,431,893,795,166,211,31,7,11,289,99,71,6,1,131,0.265,0.329,0.364,0.692
국해성,155,355,308,55,76,20,0,8,120,49,34,8,0,79,0.247,0.333,0.39,0.723
