이름,타율,출루,장타,ops,wOBA,wRC+
황윤호,0.137,0.192,0.19,0.383,0.178,-9.483
김주찬,0.308,0.358,0.462,0.82,0.362,111.513
최정민,0.298,0.34,0.377,0.718,0.319,79.86
이범호,0.275,0.371,0.485,0.856,0.38,124.873
김선빈,0.314,0.373,0.401,0.774,0.349,101.864
유민상,0.261,0.346,0.445,0.791,0.346,97.52
안치홍,0.297,0.361,0.443,0.803,0.357,106.902
이창진,0.217,0.242,0.271,0.514,0.236,23.49
유재신,0.286,0.369,0.345,0.714,0.315,77.584
나지완,0.284,0.395,0.498,0.893,0.396,132.555
최형우,0.329,0.413,0.57,0.982,0.426,152.463
버나디나,0.313,0.387,0.505,0.893,0.387,126.4
김민식,0.231,0.307,0.313,0.62,0.282,55.64
한승택,0.206,0.268,0.288,0.556,0.251,34.68
신범수,0.160,0.154,0.320,0.474,0.190,-5.9
