이름,타율,출루,장타,ops,wOBA,wRC+
이재원,0.295,0.369,0.447,0.816,0.365,113.141
허도환,0.225,0.313,0.336,0.649,0.293,60.908
이성우,0.235,0.273,0.277,0.551,0.248,32.913
최정,0.292,0.397,0.553,0.95,0.412,143.644
로맥,0.291,0.384,0.583,0.967,0.407,135.167
강승호,0.246,0.312,0.351,0.663,0.293,63.86
나주환,0.263,0.316,0.399,0.715,0.31,75.976
박정권,0.26,0.329,0.456,0.785,0.345,98.876
최항,0.302,0.373,0.442,0.815,0.36,107.833
박승욱,0.259,0.353,0.342,0.695,0.318,78.55
김강민,0.275,0.341,0.417,0.758,0.339,96.899
정진기,0.205,0.249,0.304,0.552,0.248,33.82
윤정우,0.215,0.272,0.32,0.592,0.266,44.06
김동엽,0.274,0.312,0.491,0.804,0.344,93.2
한동민,0.279,0.358,0.491,0.849,0.37,112.914
