이름,타율,출루,장타,ops,wOBA,wRC+
최재훈,,,,,,
최재훈,0.209,0.270,0.286,0.556,0.258,53.6
최재훈,0.270,0.365,0.393,0.759,0.348,104.1
최재훈,0.241,0.287,0.313,0.599,0.271,45.7
최재훈,0.152,0.234,0.182,0.416,0.205,4.3
최재훈,0.167,0.273,0.222,0.495,0.247,27.2
최재훈,0.257,0.340,0.305,0.645,0.302,69.2
최재훈,0.252,0.336,0.302,0.637,0.298,66.7
최재훈,0.429,0.500,0.429,0.929,0.439,161.2
최재훈,0.262,0.337,0.329,0.666,0.305,71.1
최재훈,0.241,0.317,0.305,0.623,0.289,62.6
지성준,0.250,0.250,0.333,0.583,0.262,38.2
지성준,,,,,,
지성준,0.275,0.320,0.411,0.730,0.319,78.7
지성준,0.274,0.316,0.406,0.723,0.316,77.2
김창혁,0.200,0.200,0.300,0.500,0.216,12.5
김창혁,0.200,0.200,0.300,0.500,0.216,12.5
송광민,0.205,0.220,0.231,0.450,0.207,15.6
송광민,0.271,0.333,0.471,0.805,0.367,121.4
송광민,0.261,0.290,0.403,0.693,0.304,69.6
송광민,0.259,0.316,0.369,0.685,0.312,80.4
송광민,0.261,0.322,0.400,0.722,0.336,96.2
송광민,0.316,0.357,0.468,0.825,0.363,97.8
송광민,0.243,0.300,0.297,0.597,0.276,48.0
송광민,0.325,0.366,0.508,0.873,0.381,112.3
송광민,0.327,0.356,0.476,0.832,0.362,108.7
송광민,0.297,0.328,0.477,0.805,0.346,96.4
송광민,0.294,0.334,0.448,0.782,0.346,99.7
이성열,0.000,0.000,0.000,0.000,0.000,
이성열,0.235,0.374,0.449,0.823,0.374,128.6
이성열,0.217,0.317,0.333,0.650,0.308,91.6
이성열,0.248,0.314,0.340,0.655,0.304,81.4
이성열,0.218,0.328,0.282,0.611,0.298,74.8
이성열,0.227,0.337,0.273,0.610,0.300,76.0
이성열,0.194,0.306,0.306,0.612,0.294,72.0
이성열,0.246,0.342,0.377,0.719,0.333,88.5
이성열,0.263,0.343,0.504,0.847,0.369,118.0
이성열,0.253,0.329,0.389,0.718,0.339,102.2
이성열,0.219,0.300,0.343,0.643,0.306,87.2
이성열,0.286,0.353,0.421,0.773,0.362,126.3
이성열,0.158,0.253,0.273,0.527,0.257,52.7
이성열,0.236,0.328,0.468,0.797,0.359,111.6
이성열,0.258,0.341,0.461,0.802,0.353,93.0
이성열,0.250,0.331,0.427,0.758,0.332,84.2
이성열,0.251,0.333,0.438,0.772,0.336,87.0
이성열,0.231,0.286,0.231,0.517,0.253,36.5
이성열,0.288,0.350,0.505,0.855,0.374,107.5
이성열,0.307,0.364,0.596,0.961,0.399,131.4
이성열,0.295,0.347,0.553,0.900,0.377,114.2
이성열,0.258,0.338,0.454,0.792,0.353,105.7
백창수,0.000,0.200,0.000,0.200,0.146,-31.4
백창수,0.194,0.275,0.278,0.553,0.267,53.2
백창수,0.202,0.284,0.262,0.546,0.260,39.4
백창수,0.323,0.382,0.452,0.834,0.358,108.8
백창수,0.333,0.429,0.611,1.040,0.454,169.6
백창수,0.327,0.412,0.535,0.946,0.404,143.0
백창수,0.243,0.314,0.414,0.728,0.320,79.1
백창수,0.253,0.335,0.401,0.736,0.328,89.1
정근우,0.193,0.255,0.216,0.471,0.214,16.2
정근우,0.284,0.342,0.402,0.744,0.337,113.0
정근우,0.323,0.395,0.484,0.879,0.398,149.1
정근우,0.314,0.373,0.420,0.793,0.367,122.6
정근우,0.350,0.437,0.483,0.920,0.417,145.9
정근우,0.305,0.375,0.377,0.753,0.338,97.6
정근우,0.307,0.384,0.420,0.804,0.362,118.4
정근우,0.266,0.339,0.362,0.701,0.325,100.5
정근우,0.280,0.368,0.408,0.776,0.353,107.5
정근우,0.295,0.391,0.416,0.807,0.369,101.7
정근우,0.316,0.403,0.466,0.868,0.384,119.2
정근우,0.310,0.381,0.464,0.845,0.381,112.5
정근우,0.330,0.392,0.471,0.863,0.379,120.1
정근우,0.304,0.377,0.461,0.839,0.369,111.8
정근우,0.305,0.380,0.429,0.809,0.366,113.8
오선진,0.133,0.161,0.167,0.328,0.159,-16.7
오선진,0.263,0.299,0.360,0.659,0.290,60.0
오선진,0.199,0.247,0.222,0.469,0.223,21.6
오선진,0.206,0.265,0.234,0.499,0.240,35.8
오선진,0.263,0.316,0.346,0.662,0.306,87.7
오선진,0.230,0.315,0.301,0.616,0.296,68.8
오선진,0.163,0.280,0.163,0.443,0.224,11.5
오선진,0.310,0.371,0.402,0.773,0.346,99.0
오선진,0.226,0.290,0.278,0.568,0.261,42.0
오선진,0.242,0.301,0.307,0.608,0.282,58.9
정은원,0.249,0.324,0.363,0.688,0.308,71.5
정은원,0.249,0.324,0.363,0.688,0.308,71.5
강경학,0.000,0.000,0.000,0.000,0.000,
강경학,0.221,0.337,0.349,0.686,0.316,65.6
강경학,0.257,0.348,0.325,0.673,0.304,66.4
강경학,0.158,0.232,0.257,0.490,0.223,10.5
강경학,0.214,0.290,0.262,0.552,0.264,44.1
강경학,0.278,0.382,0.392,0.774,0.353,101.4
강경학,0.243,0.338,0.332,0.670,0.306,69.2
하주석,0.173,0.228,0.205,0.433,0.206,19.1
하주석,0.091,0.091,0.091,0.182,0.087,-72.5
하주석,0.300,0.364,0.300,0.664,0.322,77.4
하주석,0.279,0.323,0.410,0.733,0.326,77.1
하주석,0.285,0.328,0.440,0.767,0.333,89.3
하주석,0.254,0.300,0.364,0.664,0.296,64.3
하주석,0.262,0.307,0.383,0.690,0.307,73.5
오선진,0.133,0.161,0.167,0.328,0.159,-16.7
오선진,0.263,0.299,0.360,0.659,0.290,60.0
오선진,0.199,0.247,0.222,0.469,0.223,21.6
오선진,0.206,0.265,0.234,0.499,0.240,35.8
오선진,0.263,0.316,0.346,0.662,0.306,87.7
오선진,0.230,0.315,0.301,0.616,0.296,68.8
오선진,0.163,0.280,0.163,0.443,0.224,11.5
오선진,0.310,0.371,0.402,0.773,0.346,99.0
오선진,0.226,0.290,0.278,0.568,0.261,42.0
오선진,0.242,0.301,0.307,0.608,0.282,58.9
정경운,0.236,0.291,0.302,0.593,0.264,44.1
