이름,타율,출루,장타,ops,wOBA,wRC+
박세혁,0.2645333333333333,0.34006666666666663,0.38833333333333336,0.7285333333333335,0.3241333333333334,86.94
장승현,0.385,0.429,0.385,0.813,0.333,88.9
양의지,0.3065555555555555,0.38706666666666667,0.4938222222222223,0.8810444444444445,0.3876222222222222,131.93555555555554
허경민,0.28967857142857145,0.35650000000000004,0.38171428571428573,0.7381785714285715,0.3346071428571429,91.17857142857143
오재원,0.2768333333333334,0.3537179487179487,0.38816666666666666,0.7419230769230768,0.3372307692307692,95.82051282051282
오재일,0.2665256410256411,0.34714102564102567,0.47923076923076924,0.8260897435897437,0.3616025641025641,116.57820512820514
전민재,0.375,0.375,0.500,0.875,0.385,125.2
김재호,0.27965151515151515,0.3583636363636364,0.388530303030303,0.7469848484848485,0.3376212121212121,95.33484848484848
최주환,0.29686111111111113,0.35963888888888884,0.4545555555555556,0.8139444444444444,0.35991666666666666,110.80277777777778
이병휘,0.273,0.333,0.318,0.652,0.305,71.2
류지혁,0.30933333333333335,0.37306666666666666,0.37440000000000007,0.7474666666666667,0.34273333333333333,98.16000000000001
정수빈,0.2938444444444444,0.3592888888888889,0.39039999999999997,0.7498,0.33899999999999997,94.91555555555554
김재환,0.2860555555555555,0.36383333333333334,0.5232777777777777,0.8872222222222221,0.3821388888888889,129.5638888888889
김인태,0.22133333333333333,0.275,0.3373333333333333,0.612,0.2733333333333333,52.55
