이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,홈런,볼넷,고4,사구,삼진,보크,폭투,WHIP,ERA+,FIP+
린드블럼,110.0,3.0,1.0,110.0,50.0,31.0,0.0,0.0,695.2,294.0,282.0,2887.0,653.0,85.0,193.0,0.0,33.0,622.0,2.0,34.0,1.22,138.1,110.9
후랭코프,37.0,0.0,0.0,37.0,21.0,6.0,0.0,0.0,203.0,84.0,82.0,852.0,172.0,15.0,68.0,2.0,30.0,182.0,0.0,15.0,1.18,134.7,112.4
이용찬,316.0,4.0,1.0,76.0,47.0,39.0,90.0,4.0,693.2,310.0,280.0,2965.0,694.0,51.0,245.0,5.0,35.0,533.0,5.0,34.0,1.35,126.6,114.0
장원준,374.0,13.0,5.0,329.0,129.0,111.0,0.0,4.0,1917.2,991.0,899.0,8398.0,1983.0,170.0,798.0,27.0,107.0,1344.0,2.0,59.0,1.45,107.9,102.3
이영하,68.0,0.0,0.0,28.0,18.0,6.0,0.0,2.0,211.0,109.0,105.0,928.0,218.0,23.0,95.0,2.0,16.0,138.0,0.0,13.0,1.48,108.8,89.6
김승회,533.0,0.0,0.0,48.0,42.0,47.0,28.0,67.0,823.1,444.0,408.0,3573.0,861.0,82.0,303.0,15.0,46.0,546.0,3.0,42.0,1.41,101.7,101.1
김강률,257.0,0.0,0.0,1.0,15.0,6.0,14.0,33.0,304.2,154.0,141.0,1332.0,310.0,25.0,138.0,3.0,11.0,260.0,0.0,40.0,1.47,110.3,104.2
박치국,107.0,0.0,0.0,3.0,3.0,7.0,5.0,22.0,116.1,70.0,66.0,524.0,144.0,10.0,33.0,5.0,15.0,97.0,1.0,4.0,1.52,95.3,112.3
함덕주,235.0,0.0,0.0,24.0,24.0,16.0,42.0,23.0,319.2,147.0,135.0,1415.0,293.0,20.0,184.0,9.0,11.0,333.0,2.0,16.0,1.49,125.9,114.7
권혁,714.0,0.0,0.0,14.0,55.0,43.0,31.0,146.0,834.0,374.0,342.0,3568.0,757.0,81.0,365.0,22.0,35.0,737.0,5.0,37.0,1.35,123.9,109.9
최대성,225.0,0.0,0.0,3.0,14.0,16.0,2.0,26.0,244.1,136.0,122.0,1097.0,254.0,16.0,125.0,5.0,21.0,202.0,1.0,28.0,1.55,98.1,107.1
홍상삼,226.0,0.0,0.0,49.0,25.0,21.0,11.0,37.0,441.2,260.0,238.0,1961.0,404.0,62.0,258.0,4.0,21.0,392.0,2.0,43.0,1.5,96.3,89.1
이현호,143.0,0.0,0.0,16.0,8.0,3.0,1.0,2.0,216.1,138.0,126.0,992.0,262.0,24.0,87.0,1.0,10.0,175.0,0.0,26.0,1.61,88.0,94.2
강동연,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.1,20.0,17.0,100.0,25.0,5.0,11.0,0.0,0.0,15.0,0.0,0.0,1.61,71.5,70.3
변진수,111.0,0.0,0.0,0.0,7.0,1.0,1.0,11.0,116.0,62.0,59.0,490.0,104.0,7.0,45.0,1.0,20.0,76.0,2.0,6.0,1.28,100.9,101.3
