date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-01,한화,11말,윤규진,A,1 국해성,B,0-2,포수 땅볼,1사 1루 6:4
2017-04-02,한화,11말,안영명,A,6 국해성,B,2-1,국해성/10172 : 삼진 아웃,2사  4:4
2017-04-08,넥센,9말,김정훈,A,5 국해성,B,1-0,우익수 안타,1사 1루 13:7
2017-04-09,넥센,2말,최원태,A,5 국해성,B,0-2,1루수 뜬공,1사  10:0
2017-04-09,넥센,5말,최원태,A,5 국해성,B,2-1,국해성/10172 : 삼진 아웃,무사 1루 13:0
2017-04-09,넥센,7말,최원태,A,5 국해성,B,2-3,볼넷,1사  13:0
2017-04-09,넥센,9말,양훈,A,5 국해성,B,0-0,중견수 뜬공,무사  13:2
2017-04-11,KIA,6말,박진태,A,4 국해성,B,0-0,중견수 2루타,"1사 1,2루 4:12"
2017-04-11,KIA,8말,박지훈,A,4 국해성,B,1-0,중견수 희생플라이,1사 3루 4:15
2017-04-12,KIA,8말,심동섭,A,7 국해성,B,2-2,국해성/10172 : 삼진 아웃,2사 1루 8:4
2017-04-15,NC,2초,구창모,A,7 국해성,B,2-1,몸에 맞는 볼,무사  0:0
2017-04-15,NC,3초,구창모,A,7 국해성,B,2-1,중견수 안타,"무사 1,2루 4:0"
2017-04-15,NC,5초,강장산,A,7 국해성,B,2-1,국해성/10172 : 삼진 아웃,무사  8:1
2017-04-15,NC,7초,강장산,A,7 국해성,B,0-1,2루수 땅볼,1사  8:2
2017-04-15,NC,9초,이민호,A,7 국해성,B,2-1,중견수 안타,1사 2루 8:2
2017-04-16,NC,9초,이민호,A,8 국해성,B,1-1,국해성/10172 : 좌익수 직선타 아웃,1사  0:4
2017-04-18,삼성,11말,심창민,A,2 국해성,B,0-1,유격수 땅볼,1사 만루 3:2
2017-04-20,삼성,6말,윤성환,A,7 국해성,B,0-0,국해성/10172 : 투수 직선타 아웃,2사 만루 2:2
2017-04-20,삼성,8말,김승현,A,7 국해성,B,2-2,국해성/10172 : 삼진 아웃,"1사 1,2루 2:4"
2017-04-21,SK,9초,서진용,A,3 국해성,B,2-1,1루수 땅볼,2사  4:9
2017-05-02,삼성,9초,김승현,A,3 국해성,B,2-3,국해성/10172 : 삼진 아웃,1사  5:2
2017-05-04,삼성,1초,김대우,A,2 국해성,B,2-3,몸에 맞는 볼,무사 1루 0:0
2017-05-04,삼성,2초,김대우,A,2 국해성,B,2-3,2루수 땅볼,무사  6:2
2017-05-04,삼성,4초,김동호,A,2 국해성,B,2-3,몸에 맞는 볼,무사  7:2
2017-05-04,삼성,5초,김동호,A,2 국해성,B,0-1,중견수 안타,무사  11:2
2017-05-04,삼성,7초,김현우,A,2 국해성,B,2-3,우익수 홈런,무사  12:2
2017-05-04,삼성,8초,이승현,A,2 국해성,B,2-3,국해성/10172 : 삼진 아웃,1사  17:2
2017-05-05,LG,8말,윤지웅,A,2 국해성,B,2-3,3루수 땅볼,2사  3:1
2017-05-06,LG,2말,김대현,A,7 국해성,B,2-3,우익수 뜬공,무사  0:1
2017-05-06,LG,5말,김대현,A,7 국해성,B,2-3,좌익수 뜬공,무사  7:1
2017-05-06,LG,7말,정찬헌,A,7 국해성,B,2-2,국해성/10172 : 삼진 아웃,무사  7:4
2017-05-06,LG,9말,최동환,A,7 국해성,B,1-1,유격수 뜬공,1사 1루 7:5
2017-05-30,한화,9초,정우람,A,9 국해성,B,2-0,국해성/10172 : 삼진 아웃,무사  2:5
2017-05-31,한화,9초,정우람,A,9 국해성,B,2-1,우익수 뜬공,2사 1루 1:3
2017-06-02,넥센,2초,최원태,A,8 국해성,B,1-3,좌익수 2루타,"1사 2,3루 0:0"
2017-06-02,넥센,3초,최원태,A,8 국해성,B,1-3,우익수 안타,무사 3루 8:0
2017-06-02,넥센,4초,하영민,A,8 국해성,B,0-0,3루수 병살타,1사 만루 9:0
2017-06-02,넥센,6초,박종윤,A,8 국해성,B,2-3,볼넷,무사 1루 12:0
2017-06-02,넥센,8초,박종윤,A,8 국해성,B,2-2,국해성/10172 : 삼진 아웃,무사 1루 13:2
2017-06-03,넥센,2초,신재영,A,6 국해성,B,2-0,중견수 뜬공,1사 2루 0:0
2017-06-03,넥센,3초,신재영,A,6 국해성,B,1-2,1루수 땅볼,"2사 1,2루 1:3"
2017-06-03,넥센,5초,신재영,A,6 국해성,B,2-2,우익수 홈런,"2사 2,3루 1:7"
2017-06-03,넥센,7초,오주원,A,6 국해성,B,0-0,1루수 뜬공,1사 2루 5:8
2017-06-03,넥센,9초,김상수,A,6 국해성,B,2-2,국해성/10172 : 삼진 아웃,2사 1루 5:8
2017-06-04,넥센,2초,브리검,A,9 국해성,B,2-3,국해성/10172 : 삼진 아웃,"2사 1,2루 0:1"
2017-06-04,넥센,5초,브리검,A,9 국해성,B,2-2,좌익수 뜬공,1사  0:1
2017-06-06,삼성,7말,김승현,A,6 국해성,B,2-2,국해성/10172 : 삼진 아웃,1사 1루 4:7
2017-06-06,삼성,8말,장필준,A,6 국해성,B,2-3,좌익수 뜬공,"2사 1,2루 10:10"
2017-06-10,롯데,5초,강동호,A,1 국해성,B,2-2,우익수 홈런,2사 2루 2:4
2017-06-10,롯데,8초,장시환,A,1 국해성,B,1-3,2루수 땅볼,무사  4:6
2017-06-10,롯데,10초,손승락,A,1 국해성,B,2-0,삼진,무사  6:6
2017-06-13,LG,8말,진해수,A,2 국해성,B,1-1,중견수 뜬공,무사  4:2
2017-06-15,LG,9말,윤지웅,A,1 국해성,B,2-2,유격수 땅볼,1사  12:6
2017-06-17,NC,8말,최금강,A,6 국해성,B,2-2,1루수 땅볼,무사 1루 4:13
2017-06-21,KIA,8초,박경태,A,6 국해성,B,2-1,3루수 땅볼,무사  8:17
2017-06-23,롯데,8말,차재용,A,4 국해성,B,2-2,3루수 뜬공,1사  1:9
2017-06-24,롯데,2말,레일리,A,8 국해성,B,1-3,볼넷,"무사 1,3루 0:1"
2017-06-24,롯데,4말,레일리,A,8 국해성,B,2-0,유격수 땅볼 실책[실책포함],무사 1루 1:4
2017-06-24,롯데,7말,레일리,A,8 국해성,B,0-0,중견수 안타,무사  1:4
2017-06-25,롯데,6말,박세웅,A,6 국해성,B,2-2,1루수 땅볼,"2사 1,2루 1:0"
2017-06-25,롯데,8말,장시환,A,6 국해성,B,0-1,우익수 뜬공,무사 1루 4:2
2017-06-27,SK,9말,박정배,A,2 국해성,B,1-1,좌익수 뜬공,1사 2루 5:1
2017-06-28,SK,2말,켈리,A,8 국해성,B,0-0,국해성/10172 : 1루수 직선타 아웃,1사 2루 0:0
2017-06-28,SK,4말,켈리,A,8 국해성,B,2-3,국해성/10172 : 삼진 아웃,"2사 2,3루 2:0"
2017-06-28,SK,7말,켈리,A,8 국해성,B,2-1,국해성/10172 : 삼진 아웃,1사  2:0
2017-06-30,한화,9초,정우람,A,9 국해성,B,2-2,국해성/10172 : 삼진 아웃,무사  8:13
2017-07-01,한화,8초,송창식,A,4 국해성,B,2-0,우익수 안타,무사  3:9
2017-07-04,kt,8말,배우열,A,1 국해성,B,2-1,국해성/10172 : 삼진 아웃,2사 1루 1:8
2017-07-07,NC,4초,장현식,A,1 국해성,B,2-1,국해성/10172 : 삼진 아웃,1사  3:1
2017-07-09,NC,1초,강윤구,A,2 국해성,B,2-1,몸에 맞는 볼,1사  0:0
2017-07-09,NC,3초,강윤구,A,2 국해성,B,2-0,중견수 안타,1사 3루 1:3
2017-07-09,NC,5초,원종현,A,2 국해성,B,1-3,볼넷,2사  2:3
2017-07-09,NC,7초,김진성,A,2 국해성,B,2-0,3루수 파울 뜬공,무사 2루 3:8
2017-07-09,NC,9초,임창민,A,2 국해성,B,1-0,중견수 뜬공,무사  3:9
2017-07-12,넥센,1말,최원태,A,2 국해성,B,2-2,국해성/10172 : 삼진 아웃,1사  0:0
2017-07-12,넥센,4말,최원태,A,2 국해성,B,2-2,우익수 2루타,무사  3:0
2017-07-12,넥센,6말,최원태,A,2 국해성,B,2-0,유격수 뜬공,무사  3:1
2017-07-13,넥센,1말,금민철,A,2 국해성,B,0-0,유격수 땅볼,무사 1루 0:0
2017-07-13,넥센,2말,금민철,A,2 국해성,B,2-2,국해성/10172 : 삼진 아웃,2사  1:3
2017-07-13,넥센,4말,윤영삼,A,2 국해성,B,2-1,유격수 땅볼,무사  2:7
2017-07-13,넥센,6말,김성민,A,2 국해성,B,1-1,3루수 땅볼,2사 1루 2:7
2017-07-13,넥센,8말,오주원,A,2 국해성,B,1-1,포수 파울 뜬공,"2사 1,2루 2:8"
2017-08-06,LG,9초,정찬헌,A,6 국해성,B,0-1,우익수 안타,무사 2루 9:3
2017-08-09,한화,9말,심수창,A,9 국해성,B,2-1,국해성/10172 : 삼진 아웃,1사  12:6
2017-09-07,kt,6말,이종혁,A,8 국해성,B,1-1,투수 땅볼,2사 1루 2:2
2017-09-08,kt,2말,피어밴드,A,8 국해성,B,2-3,볼넷,2사 1루 0:0
2017-09-08,kt,5말,피어밴드,A,8 국해성,B,2-1,유격수 땅볼,무사  1:0
2017-09-10,LG,9초,임정우,A,4 국해성,B,1-1,국해성/10172 : 1루수 직선타 아웃,"2사 1,2루 5:1"
2017-09-15,SK,9말,다이아몬드,A,1 국해성,B,1-0,유격수 병살타,무사 1루 5:0
2017-09-16,삼성,9초,김시현,A,1 국해성,B,0-1,중견수 안타,2사  9:4
2017-09-20,NC,3초,장현식,A,8 국해성,B,1-1,좌익수 파울 뜬공,무사  0:1
2017-09-20,NC,5초,장현식,A,8 국해성,B,2-3,국해성/10172 : 우익수 직선타 아웃,2사  0:1
2017-09-20,NC,7초,장현식,A,8 국해성,B,0-2,중견수 안타,2사  2:2
2017-09-20,NC,9초,김진성,A,8 국해성,B,2-2,우익수 안타,"2사 1,2루 2:2"
2017-09-27,kt,5초,류희운,A,1 국해성,B,2-1,국해성/10172 : 삼진 아웃,1사  0:3
2017-09-27,kt,7초,윤근영,A,1 국해성,B,1-3,3루수 땅볼,무사  1:3
2017-10-20,NC,9초,최금강,A,3 국해성,B,2-2,삼진,1사  14:3
2017-10-30,KIA,8말,김세현,A,9 국해성,B,2-3,우익수 안타,무사  7:6
2016-05-14,넥센,9초,박정준,A,8 국해성,B,0-1,1루수 땅볼,무사  12:2
2016-05-17,KIA,5말,지크,A,1 국해성,B,2-3,3루수 파울 뜬공,2사 2루 1:2
2016-06-12,롯데,2말,레일리,A,7 국해성,B,2-1,유격수 땅볼,무사  1:1
2016-06-12,롯데,4말,레일리,A,7 국해성,B,0-0,중견수 안타,"무사 1,2루 2:2"
2016-06-12,롯데,5말,레일리,A,7 국해성,B,2-1,국해성/10172 : 삼진 아웃,2사 1루 2:4
2016-06-12,롯데,8말,레일리,A,7 국해성,B,1-1,좌익수 안타,무사  2:4
2016-06-12,롯데,10말,손승락,A,7 국해성,B,2-2,국해성/10172 : 삼진 아웃,무사  4:4
2016-06-14,KIA,8초,홍건희,A,7 국해성,B,1-1,중견수 뜬공,1사  4:6
2016-06-15,KIA,8초,정용운,A,7 국해성,B,0-0,좌익수 뜬공,1사 1루 5:3
2016-06-16,KIA,2초,정동현,A,7 국해성,B,0-0,좌익수 뜬공,무사 1루 2:0
2016-06-16,KIA,4초,정동현,A,7 국해성,B,1-3,좌익수 홈런,2사  2:3
2016-06-16,KIA,5초,이준영,A,7 국해성,B,1-2,중견수 안타,"2사 1,3루 6:3"
2016-06-16,KIA,7초,전상현,A,7 국해성,B,2-2,국해성/10172 : 삼진 아웃,1사  8:3
2016-06-16,KIA,8초,정용운,A,7 국해성,B,1-2,우익수 뜬공,2사 1루 11:3
