date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-05-20,KIA,9초,정용운,A,2 김민혁,B,2-2,김민혁/12970 : 삼진 아웃,무사  6:0
2017-06-15,LG,8말,이동현,A,5 김민혁,B,2-0,삼진,무사 2루 10:4
2017-06-16,NC,8말,임정호,A,5 김민혁,B,2-0,중견수 안타[실책포함],무사  10:2
2017-06-16,NC,9말,원종현,A,5 김민혁,B,0-0,3루수 병살타,무사 1루 11:5
2017-06-17,NC,8말,최금강,A,7 김민혁,B,1-2,중견수 뜬공,1사 2루 4:13
2017-06-21,KIA,7초,박경태,A,2 김민혁,B,2-2,김민혁/12970 : 삼진 아웃,"1사 1,2루 6:17"
2017-06-21,KIA,9초,김광수,A,2 김민혁,B,1-0,우익수 뜬공,2사  8:20
2017-06-22,KIA,9초,심동섭,A,2 김민혁,B,2-2,좌익수 뜬공,1사 1루 5:11
2017-07-19,SK,8초,임준혁,A,7 김민혁,B,2-1,좌익수 2루타,"1사 1,2루 3:12"
2017-07-19,SK,9초,김주한,A,7 김민혁,B,1-1,우익수 2루타,2사 2루 7:12
2017-07-22,한화,8말,박상원,A,2 김민혁,B,2-1,2루수 뜬공,2사  1:17
2017-08-24,넥센,6말,밴헤켄,A,5 김민혁,B,2-1,유격수 땅볼,1사  2:2
2017-08-25,넥센,6말,오주원,A,2 김민혁,B,1-0,1루수 파울 뜬공,2사 2루 2:2
2017-08-26,LG,7말,진해수,A,2 김민혁,B,1-0,중견수 안타,1사  2:4
2017-08-27,LG,3말,허프,A,8 김민혁,B,2-2,김민혁/12970 : 삼진 아웃,무사  0:0
2017-08-27,LG,6말,허프,A,8 김민혁,B,1-2,중견수 뜬공,무사  1:0
2017-08-31,KIA,6초,팻딘,A,9 김민혁,B,0-0,김민혁/12970 : 유격수 직선타 아웃,2사 2루 3:7
2017-08-31,KIA,8초,고효준,A,9 김민혁,B,1-2,유격수 땅볼,2사  4:9
2017-09-02,삼성,8말,백정현,A,1 김민혁,B,2-1,김민혁/12970 : 삼진 아웃,1사  3:2
2017-09-05,한화,9초,정우람,A,7 김민혁,B,2-0,김민혁/12970 : 삼진 아웃,1사  4:6
2017-09-12,NC,9초,임창민,A,2 김민혁,B,1-3,투수 땅볼,2사 1루 14:13
