date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-04-05,kt,8초,배우열,A,8 이흥련,B,2-1,이흥련/11108 : 삼진 아웃,무사  1:8
2016-04-05,kt,9초,김사율,A,8 이흥련,B,2-0,3루수 내야안타,2사 2루 3:8
2016-04-06,kt,9초,배우열,A,8 이흥련,B,0-0,중견수 2루타,무사  11:6
2016-04-07,kt,2초,엄상백,A,8 이흥련,B,2-2,유격수 땅볼,2사 1루 0:0
2016-04-07,kt,4초,엄상백,A,8 이흥련,B,1-0,1루수 파울 뜬공,1사 3루 2:0
2016-04-09,롯데,8초,김성배,A,8 이흥련,B,0-0,좌익수 안타,1사 1루 4:7
2016-04-10,롯데,2초,박세웅,A,8 이흥련,B,0-1,3루수 땅볼,무사  1:0
2016-04-10,롯데,4초,박세웅,A,8 이흥련,B,1-3,좌익수 안타,무사  1:3
2016-04-10,롯데,6초,정대현,A,8 이흥련,B,2-3,볼넷,무사  1:3
2016-04-10,롯데,8초,윤길현,A,8 이흥련,B,2-3,투수 땅볼,무사  1:5
2016-04-12,NC,8말,박민석,A,8 이흥련,B,2-1,몸에 맞는 볼,무사  5:16
2016-04-13,NC,2말,해커,A,8 이흥련,B,2-0,2루수 땅볼,1사  3:1
2016-04-13,NC,4말,해커,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,2사  3:2
2016-04-13,NC,7말,해커,A,8 이흥련,B,0-0,포수 번트 땅볼,무사 1루 3:2
2016-04-15,두산,3초,유희관,A,8 이흥련,B,1-0,3루수 땅볼,무사  0:3
2016-04-15,두산,5초,유희관,A,8 이흥련,B,1-0,중견수 뜬공,2사  0:4
2016-04-17,두산,3초,보우덴,A,8 이흥련,B,2-0,좌익수 안타,1사  0:1
2016-04-17,두산,6초,보우덴,A,8 이흥련,B,2-1,1루수 땅볼,무사  0:5
2016-04-21,KIA,9초,홍건희,A,8 이흥련,B,0-0,좌익수 2루타,2사  8:0
2016-04-22,kt,7말,김민수,A,8 이흥련,B,1-0,유격수 땅볼,무사  12:2
2016-04-22,kt,9말,김민수,A,8 이흥련,B,1-2,우익수 뜬공,1사  13:3
2016-04-23,kt,1말,마리몬,A,8 이흥련,B,2-2,중견수 안타,2사 만루 0:2
2016-04-23,kt,4말,마리몬,A,8 이흥련,B,1-1,3루수 파울 뜬공,무사  5:4
2016-04-29,한화,3초,심수창,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,무사  0:0
2016-04-29,한화,5초,박정진,A,8 이흥련,B,1-0,좌익수 뜬공,무사  3:0
2016-04-29,한화,6초,권혁,A,8 이흥련,B,2-3,이흥련/11108 : 삼진 아웃,2사 만루 4:1
2016-05-04,넥센,2말,코엘로,A,8 이흥련,B,2-3,볼넷,1사  1:2
2016-05-04,넥센,4말,코엘로,A,8 이흥련,B,0-0,유격수 뜬공,2사  2:2
2016-05-05,넥센,2말,신재영,A,8 이흥련,B,2-0,좌익수 안타,2사 1루 0:1
2016-05-05,넥센,4말,신재영,A,8 이흥련,B,2-1,좌익수 뜬공,1사 1루 0:3
2016-05-05,넥센,6말,하영민,A,8 이흥련,B,0-1,우익수 뜬공,1사  1:5
2016-05-08,SK,2말,박종훈,A,8 이흥련,B,0-0,좌익수 안타[실책포함],"2사 1,2루 4:0"
2016-05-08,SK,4말,박종훈,A,8 이흥련,B,2-3,이흥련/11108 : 삼진 아웃,1사  5:1
2016-05-08,SK,6말,김승회,A,8 이흥련,B,0-0,3루수 땅볼,무사  5:3
2016-05-08,SK,7말,박정배,A,8 이흥련,B,0-0,3루수 뜬공,2사 1루 5:6
2016-05-11,LG,3초,소사,A,8 이흥련,B,2-0,우익수 2루타,무사  0:2
2016-05-11,LG,4초,소사,A,8 이흥련,B,2-1,이흥련/11108 : 삼진 아웃,2사 1루 0:7
2016-05-11,LG,7초,소사,A,8 이흥련,B,2-1,1루수 땅볼,1사  0:16
2016-05-11,LG,9초,최성훈,A,8 이흥련,B,0-2,2루수 땅볼,무사  2:16
2016-05-13,롯데,9말,이정민,A,6 이흥련,B,0-1,우익수 파울 뜬공,무사 1루 14:8
2016-05-15,롯데,8말,윤길현,A,6 이흥련,B,2-1,우익수 뜬공,2사 2루 8:3
2016-05-17,한화,3말,이태양,A,8 이흥련,B,0-0,투수 땅볼,무사  0:0
2016-05-17,한화,4말,이태양,A,8 이흥련,B,2-2,우익수 안타,2사 만루 2:0
2016-05-17,한화,6말,윤규진,A,8 이흥련,B,2-3,볼넷,2사  3:2
2016-05-18,한화,8말,정재원,A,6 이흥련,B,2-2,우익수 안타,"2사 1,3루 2:10"
2016-05-20,NC,8초,김선규,A,8 이흥련,B,2-2,중견수 안타,무사  12:2
2016-05-22,NC,2초,스튜어트,A,8 이흥련,B,1-1,1루수 파울 뜬공,2사 2루 0:0
2016-05-22,NC,4초,스튜어트,A,8 이흥련,B,2-1,이흥련/11108 : 삼진 아웃,1사  4:0
2016-05-22,NC,6초,최금강,A,8 이흥련,B,2-1,이흥련/11108 : 쓰리번트 아웃,"무사 1,2루 4:2"
2016-05-25,KIA,8말,박준표,A,6 이흥련,B,2-2,몸에 맞는 볼,1사  3:6
2016-05-26,KIA,2말,헥터,A,8 이흥련,B,2-1,이흥련/11108 : 삼진 아웃,2사 3루 3:1
2016-05-26,KIA,5말,헥터,A,8 이흥련,B,1-0,유격수 땅볼,1사 1루 8:1
2016-05-26,KIA,7말,곽정철,A,8 이흥련,B,0-0,3루수 내야안타,1사 2루 8:1
2016-05-27,SK,9초,김승회,A,7 이흥련,B,2-2,이흥련/11108 : 3루수 직선타 아웃,2사 2루 2:8
2016-05-28,SK,2초,문승원,A,8 이흥련,B,1-1,3루수 땅볼,무사  4:0
2016-05-28,SK,4초,문승원,A,8 이흥련,B,0-2,우익수 안타,1사 1루 4:0
2016-05-28,SK,5초,문광은,A,8 이흥련,B,2-3,유격수 땅볼,2사  9:1
2016-05-28,SK,7초,문광은,A,8 이흥련,B,0-0,3루수 병살타,1사 1루 11:1
2016-05-28,SK,9초,박민호,A,8 이흥련,B,0-0,3루수 땅볼,무사  15:1
2016-06-01,넥센,2초,박주현,A,8 이흥련,B,0-0,유격수 땅볼,1사  2:1
2016-06-01,넥센,4초,박주현,A,8 이흥련,B,2-2,중견수 뜬공,2사 3루 3:2
2016-06-01,넥센,7초,김상수,A,8 이흥련,B,2-3,볼넷,2사  3:5
2016-06-01,넥센,9초,김세현,A,8 이흥련,B,2-1,투수 땅볼,2사  4:6
2016-06-02,넥센,8초,마정길,A,8 이흥련,B,0-1,좌익수 뜬공,"무사 1,2루 13:5"
2016-06-03,한화,2말,이태양,A,8 이흥련,B,2-3,중견수 안타,1사 2루 2:0
2016-06-03,한화,4말,이태양,A,8 이흥련,B,0-0,3루수 희생번트,"무사 1,2루 2:0"
2016-06-03,한화,6말,송창식,A,8 이흥련,B,2-2,포수 파울 뜬공,무사  2:2
2016-06-08,LG,9초,이승현,A,8 이흥련,B,2-2,몸에 맞는 볼,무사 1루 6:12
2016-06-09,LG,3초,소사,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,무사  0:1
2016-06-09,LG,5초,소사,A,8 이흥련,B,2-1,이흥련/11108 : 삼진 아웃,1사  0:1
2016-06-15,SK,2말,문승원,A,8 이흥련,B,0-1,중견수 홈런,무사  8:2
2016-06-15,SK,4말,김승회,A,8 이흥련,B,2-2,투수 병살타,1사 1루 10:3
2016-06-15,SK,7말,정영일,A,8 이흥련,B,2-1,이흥련/11108 : 삼진 아웃,2사  13:3
2016-06-18,두산,9말,이현승,A,6 이흥련,B,0-0,좌익수 2루타,무사  6:1
2016-07-13,롯데,6말,박시영,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,1사 1루 8:12
2016-07-13,롯데,9말,손승락,A,8 이흥련,B,2-2,3루수 땅볼,무사  13:12
2016-07-23,kt,2초,정대현,A,8 이흥련,B,1-0,투수 희생번트,무사 1루 0:0
2016-07-23,kt,3초,엄상백,A,8 이흥련,B,1-2,좌익수 안타,1사 2루 3:0
2016-07-23,kt,5초,정성곤,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,1사  5:0
2016-07-23,kt,8초,조무근,A,8 이흥련,B,2-2,중견수 안타,무사  6:2
2016-07-23,kt,9초,조무근,A,8 이흥련,B,1-2,좌익수 홈런,무사 2루 10:2
2016-07-24,kt,8초,김재윤,A,7 이흥련,B,2-3,이흥련/11108 : 삼진 아웃,2사 1루 1:2
2016-07-26,NC,9말,임창민,A,5 이흥련,B,2-1,투수 땅볼,"2사 1,3루 5:4"
2016-07-28,NC,1말,정수민,A,8 이흥련,B,2-3,이흥련/11108 : 삼진 아웃,"2사 1,2루 0:3"
2016-07-28,NC,4말,구창모,A,8 이흥련,B,1-1,유격수 땅볼,1사  1:3
2016-07-28,NC,5말,장현식,A,8 이흥련,B,0-1,우익수 뜬공,"2사 1,2루 1:5"
2016-07-29,넥센,2말,맥그레거,A,8 이흥련,B,2-1,3루수 병살타,1사 1루 2:0
2016-07-29,넥센,4말,맥그레거,A,8 이흥련,B,2-3,좌익수 안타,"2사 1,3루 3:1"
2016-07-29,넥센,7말,김상수,A,8 이흥련,B,2-1,이흥련/11108 : 삼진 아웃,무사  5:2
2016-07-29,넥센,8말,김세현,A,8 이흥련,B,1-0,좌익수 뜬공,1사 2루 5:4
2016-07-29,넥센,10말,마정길,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,2사 1루 5:5
2016-08-03,SK,9초,박희수,A,8 이흥련,B,2-3,삼진,2사  4:8
2016-08-05,KIA,2말,양현종,A,8 이흥련,B,1-0,투수 희생번트,무사 1루 0:1
2016-08-05,KIA,4말,양현종,A,8 이흥련,B,2-2,투수 땅볼,무사  2:4
2016-08-05,KIA,5말,양현종,A,8 이흥련,B,2-0,유격수 병살타,"1사 1,2루 2:5"
2016-08-05,KIA,7말,김명찬,A,8 이흥련,B,1-2,유격수 땅볼,무사  4:8
2016-08-06,KIA,6말,곽정철,A,8 이흥련,B,1-3,볼넷,1사 1루 13:2
2016-08-06,KIA,8말,박준표,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,무사  13:5
2016-08-10,한화,9초,황재규,A,8 이흥련,B,0-1,우익수 뜬공,2사 1루 16:4
2016-08-14,LG,2말,류제국,A,8 이흥련,B,2-1,삼진,무사  0:2
2016-08-14,LG,4말,류제국,A,8 이흥련,B,0-0,투수 희생번트,무사 1루 0:3
2016-08-14,LG,6말,이동현,A,8 이흥련,B,0-1,3루수 희생번트,무사 1루 1:4
2016-08-14,LG,7말,윤지웅,A,8 이흥련,B,2-3,우익수 뜬공,"1사 2,3루 1:6"
2016-08-17,NC,8초,이민호,A,8 이흥련,B,0-0,중견수 희생플라이,"1사 1,3루 4:8"
2016-08-19,kt,2초,정대현,A,8 이흥련,B,2-2,중견수 2루타,무사  4:0
2016-08-19,kt,3초,정성곤,A,8 이흥련,B,2-3,이흥련/11108 : 삼진 아웃,1사  9:0
2016-08-19,kt,6초,정성곤,A,8 이흥련,B,2-0,유격수 땅볼,무사  9:6
2016-08-19,kt,8초,홍성용,A,8 이흥련,B,2-2,이흥련/11108 : 삼진 아웃,무사  11:6
2016-08-20,넥센,2초,신재영,A,8 이흥련,B,2-0,우익수 뜬공,1사 1루 2:3
2016-08-20,넥센,5초,신재영,A,8 이흥련,B,1-0,2루수 뜬공,무사  2:6
2016-08-24,SK,3말,김광현,A,8 이흥련,B,1-1,유격수 땅볼,무사  1:1
2016-08-24,SK,5말,김광현,A,8 이흥련,B,1-0,좌익수 뜬공,2사  2:1
2016-08-24,SK,7말,채병용,A,8 이흥련,B,2-1,우익수 뜬공,무사  4:3
2016-08-24,SK,9말,박희수,A,8 이흥련,B,2-1,유격수 땅볼,무사  4:3
