date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-01,한화,11말,윤규진,A,8 최주환,B,0-1,좌익수 파울 뜬공,무사  6:4
2017-04-02,한화,12말,안영명,A,7 최주환,B,1-2,좌익수 안타,무사  4:4
2017-04-06,kt,5초,고영표,A,3 최주환,B,2-0,삼진,"2사 1,3루 1:1"
2017-04-06,kt,8초,심재민,A,3 최주환,B,2-2,삼진,무사  1:5
2017-04-07,넥센,9말,이보근,A,2 최주환,B,2-3,2루수 땅볼,무사  7:3
2017-04-08,넥센,8말,이보근,A,7 최주환,B,2-1,우익수 안타,무사  10:7
2017-04-08,넥센,9말,김정훈,A,7 최주환,B,2-2,유격수 땅볼,1사 만루 13:7
2017-04-09,넥센,6말,최원태,A,2 최주환,B,1-3,볼넷,2사 2루 13:0
2017-04-09,넥센,8말,양훈,A,2 최주환,B,0-1,유격수 땅볼,무사 1루 13:2
2017-04-15,NC,1초,구창모,A,2 최주환,B,2-2,유격수 내야안타,1사  0:0
2017-04-15,NC,2초,구창모,A,2 최주환,B,1-1,우익수 안타,"2사 1,3루 0:0"
2017-04-15,NC,3초,구창모,A,2 최주환,B,2-1,최주환/10182 : 삼진 아웃,1사 1루 8:0
2017-04-15,NC,5초,강장산,A,2 최주환,B,1-2,1루수 땅볼,"2사 1,3루 8:1"
2017-04-15,NC,8초,강장산,A,2 최주환,B,1-0,유격수 땅볼,1사  8:2
2017-04-15,NC,9초,임정호,A,2 최주환,B,1-0,우익수 안타,2사 1루 11:2
2017-04-16,NC,6초,원종현,A,8 최주환,B,2-2,유격수 병살타,1사 만루 0:3
2017-04-18,삼성,11말,심창민,A,8 최주환,B,1-2,2루수 뜬공,무사 2루 3:2
2017-04-19,삼성,7말,권오준,A,2 최주환,B,2-2,최주환/10182 : 삼진 아웃,2사 만루 0:1
2017-04-20,삼성,1말,윤성환,A,2 최주환,B,0-1,좌익수 2루타,1사  0:0
2017-04-20,삼성,3말,윤성환,A,2 최주환,B,1-1,2루수 뜬공,2사  2:1
2017-04-20,삼성,6말,윤성환,A,2 최주환,B,2-2,중견수 뜬공,무사  2:2
2017-04-20,삼성,8말,장필준,A,2 최주환,B,2-0,유격수 내야안타,무사  2:2
2017-04-21,SK,9초,서진용,A,1 최주환,B,0-0,중견수 뜬공,무사  4:9
2017-04-22,SK,2초,박종훈,A,7 최주환,B,1-1,우익수 안타,무사 1루 1:1
2017-04-22,SK,3초,박종훈,A,7 최주환,B,2-1,좌익수 안타,2사 2루 2:1
2017-04-22,SK,5초,박종훈,A,7 최주환,B,2-3,유격수 내야안타,2사  4:4
2017-04-22,SK,8초,박희수,A,7 최주환,B,1-2,2루수 땅볼,무사  4:7
2017-04-23,SK,1초,켈리,A,2 최주환,B,2-1,최주환/10182 : 삼진 아웃,무사 1루 0:0
2017-04-23,SK,3초,켈리,A,2 최주환,B,2-3,볼넷,무사  1:0
2017-04-23,SK,4초,켈리,A,2 최주환,B,1-2,2루수 땅볼,"1사 1,2루 4:0"
2017-04-23,SK,6초,김성민,A,2 최주환,B,2-2,최주환/10182 : 삼진 아웃,1사  6:4
2017-04-23,SK,8초,김주한,A,2 최주환,B,1-3,볼넷,무사  7:4
2017-04-25,넥센,2초,밴헤켄,A,6 최주환,B,2-0,2루수 땅볼,무사  1:3
2017-04-25,넥센,3초,밴헤켄,A,6 최주환,B,1-2,우익수 안타,2사 2루 4:4
2017-04-25,넥센,5초,밴헤켄,A,6 최주환,B,1-0,좌익수 뜬공,2사 1루 5:8
2017-04-26,넥센,1초,한현희,A,2 최주환,B,0-0,중견수 안타,1사  0:0
2017-04-26,넥센,3초,한현희,A,2 최주환,B,2-2,최주환/10182 : 삼진 아웃,2사  0:0
2017-04-26,넥센,5초,한현희,A,2 최주환,B,0-0,2루수 땅볼,무사 2루 3:0
2017-04-26,넥센,7초,금민철,A,2 최주환,B,2-2,유격수 뜬공,"1사 1,2루 3:0"
2017-04-27,넥센,2초,최원태,A,6 최주환,B,1-0,우익수 뜬공,1사  1:0
2017-04-27,넥센,4초,최원태,A,6 최주환,B,1-1,우익수 안타,"1사 1,3루 1:2"
2017-04-27,넥센,6초,최원태,A,6 최주환,B,2-0,중견수 뜬공,2사 1루 2:7
2017-04-27,넥센,9초,김상수,A,6 최주환,B,1-0,우익수 뜬공,1사  3:7
2017-04-28,롯데,2말,박세웅,A,6 최주환,B,1-2,2루수 병살타,무사 1루 0:0
2017-04-28,롯데,4말,박세웅,A,6 최주환,B,2-0,최주환/10182 : 삼진 아웃,1사 1루 0:0
2017-04-28,롯데,6말,박세웅,A,6 최주환,B,0-0,좌익수 희생플라이,1사 만루 0:0
2017-04-28,롯데,8말,윤길현,A,6 최주환,B,1-0,중견수 뜬공,1사 2루 0:2
2017-04-29,롯데,2말,레일리,A,6 최주환,B,1-1,중견수 뜬공,무사  1:0
2017-04-29,롯데,4말,레일리,A,6 최주환,B,0-1,중견수 안타,1사  1:0
2017-04-29,롯데,7말,장시환,A,6 최주환,B,2-3,볼넷,무사  3:0
2017-04-29,롯데,8말,배장호,A,6 최주환,B,1-2,우익수 뜬공,무사  3:4
2017-04-30,롯데,1말,김원중,A,2 최주환,B,1-2,2루수 내야안타,1사  2:0
2017-04-30,롯데,3말,김원중,A,2 최주환,B,2-2,최주환/10182 : 삼진 아웃,2사  2:0
