date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,두산,3초,니퍼트,A,8 강경학,B,2-2,강경학/10676 : 삼진 아웃,무사  0:0
2017-03-31,두산,5초,니퍼트,A,8 강경학,B,1-2,투수 번트 아웃,1사  0:1
2017-04-01,두산,8초,이용찬,A,9 강경학,B,0-0,우익수 뜬공,1사 1루 4:4
2017-04-01,두산,10초,이현승,A,9 강경학,B,0-0,1루수 땅볼,1사 2루 4:4
2017-04-01,두산,11초,홍상삼,A,9 강경학,B,2-3,1루수 땅볼,"2사 2,3루 6:4"
2017-04-02,두산,2초,고원준,A,8 강경학,B,2-1,강경학/10676 : 삼진 아웃,2사  0:0
2017-04-02,두산,4초,고원준,A,8 강경학,B,0-0,2루수 땅볼,"1사 1,2루 0:0"
2017-04-02,두산,6초,김명신,A,8 강경학,B,0-1,우익수 안타,무사 3루 2:0
2017-04-02,두산,7초,김승회,A,8 강경학,B,0-0,강경학/10676 : 우익수 직선타 아웃,2사 만루 3:0
2017-04-02,두산,10초,이현승,A,8 강경학,B,2-3,강경학/10676 : 삼진 아웃,무사  3:3
2017-04-02,두산,12초,김성배,A,8 강경학,B,0-1,3루수 뜬공,1사  4:4
2017-04-04,NC,2말,최금강,A,8 강경학,B,1-3,볼넷,2사 1루 0:0
2017-04-04,NC,3말,최금강,A,8 강경학,B,1-3,중견수 안타,1사 만루 0:3
2017-04-04,NC,6말,배재환,A,8 강경학,B,0-0,중견수 안타,무사  0:6
2017-04-06,NC,2말,해커,A,8 강경학,B,2-0,강경학/10676 : 삼진 아웃,"1사 1,2루 0:1"
2017-04-06,NC,4말,해커,A,8 강경학,B,2-3,1루수 땅볼,2사 1루 3:1
2017-04-07,KIA,7초,헥터,A,9 강경학,B,2-3,강경학/10676 : 삼진 아웃,2사 3루 0:4
2017-04-08,KIA,9초,임창용,A,9 강경학,B,2-1,2루수 땅볼,무사  2:3
2017-04-14,SK,6말,윤희상,A,3 강경학,B,2-1,강경학/10676 : 삼진 아웃,"2사 1,2루 5:0"
2017-04-14,SK,8말,김성민,A,3 강경학,B,2-2,강경학/10676 : 삼진 아웃,1사 1루 6:2
2017-04-15,SK,7말,임준혁,A,1 강경학,B,0-0,중견수 뜬공,무사  10:2
2017-04-15,SK,8말,임준혁,A,1 강경학,B,2-3,볼넷,"2사 1,2루 12:3"
2017-04-16,SK,9말,서진용,A,7 강경학,B,2-0,투수 땅볼,1사  10:1
2017-04-22,kt,2초,정성곤,A,8 강경학,B,2-0,2루수 땅볼,2사 2루 0:0
2017-04-22,kt,4초,정성곤,A,8 강경학,B,1-1,강경학/10676 : 중견수 직선타 아웃,"2사 1,2루 1:4"
2017-04-22,kt,6초,이상화,A,8 강경학,B,1-1,투수 번트 파울 뜬공,무사  5:6
2017-04-23,KT,3초,고영표,A,9 강경학,B,2-0,2루수 땅볼,무사 1루 0:0
2017-04-23,KT,4초,고영표,A,9 강경학,B,0-3,볼넷,1사 2루 3:0
2017-04-23,KT,5초,배제성,A,9 강경학,B,0-0,유격수 땅볼,1사 1루 7:0
2017-04-23,KT,7초,조무근,A,9 강경학,B,0-0,우익수 2루타,무사  8:0
2017-04-23,KT,7초,주권,A,9 강경학,B,2-1,좌익수 안타,"2사 1,2루 13:0"
2017-04-23,KT,9초,주권,A,9 강경학,B,0-0,1루수 땅볼,1사 2루 13:1
2017-04-25,롯데,3초,송승준,A,9 강경학,B,2-3,2루수 땅볼,무사  1:1
2017-04-25,롯데,6초,송승준,A,9 강경학,B,2-2,2루수 땅볼,무사  1:3
2017-04-25,롯데,8초,박시영,A,9 강경학,B,0-0,중견수 안타,무사 1루 1:3
2017-04-26,롯데,9초,김유영,A,5 강경학,B,2-0,2루수 땅볼,무사  2:8
2017-04-28,넥센,3말,신재영,A,9 강경학,B,0-2,중견수 안타,2사  2:0
2017-04-28,넥센,6말,신재영,A,9 강경학,B,2-1,강경학/10676 : 유격수 직선타 아웃,무사  10:0
