date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-04-29,NC,9말,임창민,A,8 김민하,B,2-1,김민하/10777 : 삼진 아웃,2사 1루 6:3
2016-05-05,KIA,8초,배힘찬,A,1 김민하,B,2-1,2루수 땅볼,1사  1:17
2016-05-07,두산,9초,고봉재,A,5 김민하,B,2-1,2루수 뜬공,2사  5:0
2016-05-08,두산,8초,오현택,A,1 김민하,B,1-0,투수 희생번트,"무사 1,2루 13:10"
2016-05-08,두산,9초,이현호,A,1 김민하,B,1-0,유격수 땅볼,"2사 2,3루 17:10"
2016-05-11,넥센,8말,오주원,A,3 김민하,B,2-2,김민하/10777 : 삼진 아웃,1사 2루 14:2
2016-05-13,삼성,9초,박민규,A,4 김민하,B,2-1,좌익수 2루타,무사  14:8
2016-06-30,삼성,1말,차우찬,A,2 김민하,B,2-3,좌익수 안타,1사  0:0
2016-06-30,삼성,4말,차우찬,A,2 김민하,B,2-0,김민하/10777 : 삼진 아웃,무사  0:0
2016-06-30,삼성,6말,차우찬,A,2 김민하,B,2-2,김민하/10777 : 삼진 아웃,1사 1루 5:1
2016-06-30,삼성,8말,차우찬,A,2 김민하,B,2-1,3루수 병살타,무사 1루 6:4
2016-06-30,삼성,9말,김대우,A,2 김민하,B,1-0,김민하/10777 : 3루수 직선타 아웃,"2사 1,3루 6:6"
2016-07-06,NC,8초,임정호,A,3 김민하,B,1-1,몸에 맞는 볼,무사 1루 0:12
2016-07-06,NC,9초,박준영,A,3 김민하,B,1-0,유격수 땅볼,2사  3:12
2016-07-09,LG,8말,봉중근,A,2 김민하,B,0-0,중견수 홈런,1사  12:11
2016-07-09,LG,9말,김지용,A,2 김민하,B,2-1,김민하/10777 : 삼진 아웃,1사 만루 12:12
2016-07-09,LG,11말,김지용,A,2 김민하,B,2-1,김민하/10777 : 삼진 아웃,"무사 1,2루 12:12"
2016-07-10,LG,6말,우규민,A,5 김민하,B,2-2,김민하/10777 : 삼진 아웃,2사  5:0
2016-07-10,LG,8말,진해수,A,5 김민하,B,2-1,2루수 뜬공,2사  6:0
2016-07-12,삼성,2초,차우찬,A,8 김민하,B,2-3,좌익수 안타,2사 1루 1:0
2016-07-12,삼성,3초,차우찬,A,8 김민하,B,2-0,김민하/10777 : 삼진 아웃,"2사 1,2루 3:0"
2016-07-12,삼성,6초,차우찬,A,8 김민하,B,2-2,2루수 뜬공,1사  3:8
2016-07-14,삼성,8초,백정현,A,2 김민하,B,0-0,우익수 뜬공,1사  2:1
2016-07-14,삼성,10초,심창민,A,2 김민하,B,2-2,김민하/10777 : 삼진 아웃,2사 1루 2:2
2016-07-19,KIA,8말,정동현,A,7 김민하,B,2-0,중견수 안타,1사 1루 5:1
2016-07-21,KIA,8말,정동현,A,5 김민하,B,1-2,3루수 뜬공,1사 3루 1:10
2016-07-24,한화,9말,정대훈,A,1 김민하,B,2-0,우익수 안타,1사  8:1
2016-07-26,LG,6초,이동현,A,1 김민하,B,2-1,김민하/10777 : 삼진 아웃,"1사 1,2루 11:7"
2016-07-26,LG,8초,김지용,A,1 김민하,B,2-3,볼넷,2사  12:10
2016-07-31,kt,3초,피어밴드,A,8 김민하,B,0-0,유격수 땅볼,무사  0:1
2016-07-31,kt,5초,피어밴드,A,8 김민하,B,2-3,김민하/10777 : 삼진 아웃,2사 1루 0:1
2016-07-31,kt,8초,피어밴드,A,8 김민하,B,0-0,중견수 안타,2사  0:2
2016-08-17,넥센,8초,오주원,A,2 김민하,B,2-0,중견수 안타,1사  0:7
2016-08-18,KIA,1말,고효준,A,2 김민하,B,2-1,김민하/10777 : 삼진 아웃,1사  1:0
2016-08-18,KIA,3말,고효준,A,2 김민하,B,2-0,김민하/10777 : 삼진 아웃,"2사 2,3루 1:0"
2016-08-20,SK,7말,박정배,A,2 김민하,B,2-2,김민하/10777 : 삼진 아웃,"1사 1,2루 2:2"
2016-08-21,SK,1말,라라,A,2 김민하,B,2-1,유격수 땅볼,1사  0:0
2016-08-21,SK,3말,라라,A,2 김민하,B,2-2,좌익수 뜬공,1사 1루 2:0
2016-08-21,SK,5말,라라,A,2 김민하,B,2-1,유격수 병살타,"1사 1,3루 2:0"
2016-08-24,kt,1말,피어밴드,A,2 김민하,B,2-1,김민하/10777 : 삼진 아웃,1사  0:0
2016-08-24,kt,4말,피어밴드,A,2 김민하,B,2-2,김민하/10777 : 삼진 아웃,무사  2:0
2016-08-31,LG,7말,전인환,A,7 김민하,B,2-1,중견수 뜬공,무사  1:9
2016-09-01,NC,2말,스튜어트,A,7 김민하,B,2-1,유격수 땅볼,1사 1루 0:0
2016-09-01,NC,4말,스튜어트,A,7 김민하,B,2-1,삼진,1사  1:0
2016-09-01,NC,6말,이민호,A,7 김민하,B,0-0,투수 희생번트,무사 1루 2:2
2016-09-03,KIA,2초,양현종,A,7 김민하,B,2-1,김민하/10777 : 삼진 아웃,1사  0:0
2016-09-03,KIA,5초,양현종,A,7 김민하,B,0-0,우익수 뜬공,무사  0:0
2016-09-03,KIA,6초,양현종,A,7 김민하,B,1-1,우익수 안타,2사 1루 2:0
2016-09-09,삼성,8말,장필준,A,9 김민하,B,2-3,김민하/10777 : 삼진 아웃,2사 2루 7:5
2015-03-28,kt,7말,이창재,A,7 김민하,B,1-1,김민하/10777 : 유격수 직선타 아웃,1사 1루 8:11
2015-03-29,kt,2말,시스코,A,7 김민하,B,2-0,김민하/10777 : 삼진 아웃,무사 1루 2:1
2015-03-29,kt,3말,시스코,A,7 김민하,B,0-0,좌익수 안타,2사 만루 2:2
2015-03-29,kt,5말,장시환,A,7 김민하,B,2-0,김민하/10777 : 삼진 아웃,2사  2:5
