date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-06-03,LG,8초,김지용,A,9 김종민,B,2-0,김종민/11327 : 삼진 아웃,2사 1루 4:2
2017-06-04,LG,9초,김지용,A,8 김종민,B,1-0,2루수 땅볼,1사 1루 6:5
2017-06-06,롯데,7말,윤길현,A,9 김종민,B,0-0,유격수 뜬공,무사  5:3
2017-06-06,롯데,9말,손승락,A,9 김종민,B,2-1,2루수 내야안타,1사  5:4
2017-06-08,롯데,8말,강동호,A,9 김종민,B,2-2,3루수 땅볼,"1사 2,3루 0:15"
2017-06-09,kt,10말,김재윤,A,7 김종민,B,1-0,우익수 파울 뜬공,무사  5:5
2017-06-11,kt,2말,정성곤,A,8 김종민,B,2-1,3루수 병살타,"무사 1,2루 0:2"
2017-06-11,kt,4말,정성곤,A,8 김종민,B,0-0,투수 땅볼,2사  0:3
2017-06-11,kt,6말,배제성,A,8 김종민,B,2-1,2루수 땅볼,2사 1루 0:5
2017-06-14,넥센,6초,하영민,A,9 김종민,B,0-3,볼넷,"무사 2,3루 3:4"
2017-06-14,넥센,8초,오주원,A,9 김종민,B,0-0,중견수 안타,"1사 1,2루 3:8"
2017-06-15,넥센,10초,하영민,A,9 김종민,B,2-3,볼넷,무사  7:7
2017-06-17,두산,3초,장원준,A,9 김종민,B,2-1,3루수 땅볼,무사  1:7
2017-06-17,두산,4초,장원준,A,9 김종민,B,0-0,2루수 뜬공,2사 1루 2:7
2017-06-17,두산,7초,김승회,A,9 김종민,B,0-1,김종민/11327 : 우익수 직선타 아웃,1사 1루 2:12
2017-06-17,두산,9초,전용훈,A,9 김종민,B,2-1,2루수 땅볼,무사  4:14
2017-06-22,SK,4초,켈리,A,9 김종민,B,2-3,김종민/11327 : 삼진 아웃,1사 1루 2:13
2017-06-22,SK,7초,채병용,A,9 김종민,B,0-0,유격수 땅볼,무사 1루 2:13
2017-06-22,SK,8초,서진용,A,9 김종민,B,0-1,중견수 뜬공,2사  6:13
