date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-22,kt,7초,심재민,A,8 오선진,B,2-2,오선진/10557 : 삼진 아웃,"1사 2,3루 7:9"
2017-06-03,SK,9말,박희수,A,9 오선진,B,1-2,우익수 뜬공,무사  5:2
2017-06-04,SK,9말,박희수,A,7 오선진,B,2-0,3루수 땅볼,1사  7:4
2017-06-08,KIA,9초,김윤동,A,9 오선진,B,0-0,중견수 뜬공,2사  4:8
2017-06-11,삼성,2말,레나도,A,9 오선진,B,2-2,오선진/10557 : 삼진 아웃,2사  0:1
2017-06-11,삼성,5말,레나도,A,9 오선진,B,1-0,좌익수 뜬공,무사  1:2
2017-06-18,kt,8초,이상화,A,3 오선진,B,2-0,우익수 2루타,1사  10:3
2017-06-20,넥센,2말,최원태,A,8 오선진,B,2-2,1루수 파울 뜬공,무사  0:3
2017-06-20,넥센,4말,최원태,A,8 오선진,B,2-1,2루수 땅볼,무사  4:5
2017-06-20,넥센,6말,최원태,A,8 오선진,B,0-0,유격수 땅볼,2사 1루 5:5
2017-06-20,넥센,8말,윤영삼,A,8 오선진,B,1-1,3루수 뜬공,2사  5:6
2017-06-25,삼성,11초,김동호,A,9 오선진,B,0-3,볼넷,무사  7:7
2017-06-27,kt,6말,피어밴드,A,8 오선진,B,2-2,2루수 땅볼,무사  1:4
2017-06-27,kt,8말,강장산,A,8 오선진,B,2-1,오선진/10557 : 삼진 아웃,2사  1:4
2017-06-28,kt,7말,고영표,A,9 오선진,B,0-3,볼넷,2사 1루 4:2
2017-06-28,kt,9말,김재윤,A,9 오선진,B,2-2,오선진/10557 : 2루수 직선타 아웃,무사  4:3
2017-06-28,kt,10말,이상화,A,9 오선진,B,1-1,투수 땅볼,2사 3루 5:4
2017-08-02,NC,3초,해커,A,9 오선진,B,0-0,투수 희생번트,무사 1루 0:0
2017-08-02,NC,5초,해커,A,9 오선진,B,1-0,3루수 병살타,1사 1루 1:0
2017-08-02,NC,7초,해커,A,9 오선진,B,2-2,2루수 야수선택,"1사 2,3루 3:0"
2017-08-03,NC,2초,구창모,A,9 오선진,B,1-1,좌익수 안타,"2사 1,2루 0:0"
2017-08-03,NC,4초,구창모,A,9 오선진,B,2-1,오선진/10557 : 2루수 직선타 아웃,무사 1루 2:6
2017-08-03,NC,6초,이민호,A,9 오선진,B,1-2,우익수 뜬공,2사  2:7
2017-08-03,NC,9초,임정호,A,9 오선진,B,2-2,좌익수 안타,1사 1루 2:10
2017-08-04,KIA,1말,헥터,A,2 오선진,B,1-0,1루수 땅볼,1사  0:0
2017-08-04,KIA,2말,헥터,A,2 오선진,B,2-3,중견수 안타,2사 2루 0:3
2017-08-04,KIA,4말,헥터,A,2 오선진,B,2-2,중견수 2루타,2사  0:4
2017-08-04,KIA,6말,심동섭,A,2 오선진,B,2-2,우익수 안타,2사 2루 3:5
2017-08-04,KIA,8말,홍건희,A,2 오선진,B,2-1,삼진,1사  3:6
2017-08-05,KIA,1말,팻딘,A,2 오선진,B,2-3,2루수 땅볼,무사 2루 1:0
2017-08-05,KIA,3말,팻딘,A,2 오선진,B,1-0,좌익수 2루타,2사  2:1
2017-08-05,KIA,6말,팻딘,A,2 오선진,B,2-0,중견수 안타,무사  6:1
2017-08-05,KIA,8말,김윤동,A,2 오선진,B,1-1,좌익수 안타,2사  6:1
2017-08-08,두산,3초,니퍼트,A,9 오선진,B,0-1,1루수 희생번트,무사 1루 1:2
2017-08-08,두산,5초,니퍼트,A,9 오선진,B,2-3,볼넷,2사  1:8
2017-08-08,두산,7초,니퍼트,A,9 오선진,B,2-1,오선진/10557 : 삼진 아웃,1사 1루 1:8
2017-08-08,두산,9초,이현호,A,9 오선진,B,2-2,좌익수 뜬공,1사 2루 1:8
2017-08-11,삼성,8말,안성무,A,2 오선진,B,1-3,몸에 맞는 볼,1사 1루 2:8
2017-08-12,넥센,7초,신재영,A,3 오선진,B,2-3,3루수 땅볼,2사  5:0
2017-08-13,넥센,3초,최원태,A,9 오선진,B,0-0,투수 땅볼,1사 2루 0:1
2017-08-13,넥센,5초,최원태,A,9 오선진,B,2-2,2루수 땅볼,2사  1:1
2017-08-13,넥센,7초,최원태,A,9 오선진,B,2-0,유격수 땅볼,2사 1루 1:5
2017-08-13,넥센,9초,김정인,A,9 오선진,B,0-1,오선진/10557 : 우익수 직선타 아웃,"1사 1,2루 1:9"
2017-08-16,SK,2말,백인식,A,9 오선진,B,0-0,중견수 뜬공,무사  0:3
2017-08-16,SK,4말,백인식,A,9 오선진,B,2-3,3루수 병살타,무사 1루 3:4
2017-08-16,SK,6말,문광은,A,9 오선진,B,1-3,볼넷,"2사 2,3루 4:4"
2017-08-16,SK,8말,채병용,A,9 오선진,B,2-2,오선진/10557 : 삼진 아웃,무사  4:7
2017-08-17,NC,9초,임창민,A,9 오선진,B,2-2,유격수 땅볼,2사  1:3
2017-08-18,NC,1초,해커,A,1 오선진,B,2-1,오선진/10557 : 삼진 아웃,무사  0:0
2017-08-18,NC,3초,해커,A,1 오선진,B,1-1,우익수 안타,무사  0:0
2017-08-18,NC,5초,해커,A,1 오선진,B,2-1,좌익수 안타,무사  3:5
2017-08-18,NC,6초,원종현,A,1 오선진,B,1-0,3루수 땅볼,1사 2루 5:5
2017-08-18,NC,8초,최금강,A,1 오선진,B,2-3,몸에 맞는 볼,1사  7:5
2017-08-18,NC,9초,최성영,A,1 오선진,B,2-2,우익수 뜬공,무사  12:9
2017-08-19,롯데,3말,박세웅,A,9 오선진,B,1-1,2루수 땅볼,무사  0:1
2017-08-19,롯데,5말,박세웅,A,9 오선진,B,1-2,우익수 뜬공,2사  0:1
2017-08-19,롯데,8말,장시환,A,9 오선진,B,1-1,우익수 뜬공,무사  0:2
2017-08-20,롯데,2말,김원중,A,9 오선진,B,2-2,유격수 땅볼,1사 2루 0:2
2017-08-20,롯데,4말,김원중,A,9 오선진,B,2-3,우익수 안타,1사 1루 1:2
2017-08-20,롯데,6말,김원중,A,9 오선진,B,2-1,오선진/10557 : 삼진 아웃,2사  1:2
2017-08-20,롯데,8말,박진형,A,9 오선진,B,1-2,중견수 안타,"1사 2,3루 3:3"
2017-08-22,kt,1초,피어밴드,A,2 오선진,B,1-2,중견수 안타,1사  0:0
2017-08-22,kt,3초,피어밴드,A,2 오선진,B,1-0,유격수 땅볼,무사  2:0
2017-08-22,kt,5초,피어밴드,A,2 오선진,B,1-0,중견수 안타,1사  3:0
2017-08-22,kt,7초,엄상백,A,2 오선진,B,2-2,2루수 땅볼,1사  3:2
2017-08-23,kt,1초,류희운,A,1 오선진,B,2-3,볼넷,무사  0:0
2017-08-23,kt,2초,류희운,A,1 오선진,B,1-1,좌익수 안타,2사 2루 2:4
2017-08-23,kt,4초,류희운,A,1 오선진,B,0-0,중견수 희생플라이,"1사 1,3루 4:7"
2017-08-23,kt,6초,이종혁,A,1 오선진,B,0-1,중견수 안타,1사 3루 8:7
2017-08-23,kt,8초,홍성용,A,1 오선진,B,1-2,포수 파울 뜬공,1사  9:7
2017-08-23,kt,11초,김재윤,A,1 오선진,B,1-1,유격수 내야안타,무사  9:9
2017-08-25,KIA,1말,팻딘,A,1 오선진,B,2-0,유격수 땅볼,무사  0:0
2017-08-25,KIA,3말,팻딘,A,1 오선진,B,2-1,우익수 안타,1사  2:1
2017-08-25,KIA,5말,팻딘,A,1 오선진,B,1-2,유격수 땅볼,무사  3:1
2017-08-25,KIA,7말,임창용,A,1 오선진,B,2-3,좌익수 안타,무사  3:3
2017-08-25,KIA,8말,김윤동,A,1 오선진,B,1-1,좌익수 홈런,"2사 1,2루 3:3"
2017-08-26,SK,2초,백인식,A,6 오선진,B,2-3,우익수 안타,무사  0:0
2017-08-26,SK,4초,백인식,A,6 오선진,B,2-2,오선진/10557 : 삼진 아웃,1사  0:0
2017-08-26,SK,7초,채병용,A,6 오선진,B,1-1,좌익수 안타,무사  0:1
2017-08-26,SK,9초,박정배,A,6 오선진,B,2-1,오선진/10557 : 삼진 아웃,1사 1루 0:2
2017-08-27,SK,1초,박종훈,A,2 오선진,B,1-0,1루수 땅볼,무사 1루 0:0
2017-08-27,SK,3초,박종훈,A,2 오선진,B,2-3,볼넷,2사 2루 0:1
2017-08-27,SK,6초,박종훈,A,2 오선진,B,1-0,투수 땅볼,무사  0:3
2017-08-27,SK,9초,임준혁,A,2 오선진,B,0-1,우익수 2루타,무사  0:4
2017-08-29,LG,1말,임찬규,A,2 오선진,B,2-2,유격수 땅볼,1사  0:0
2017-08-29,LG,3말,임찬규,A,2 오선진,B,1-3,중견수 안타,무사  1:0
2017-08-29,LG,5말,임찬규,A,2 오선진,B,1-0,좌익수 안타,무사  1:2
2017-08-29,LG,7말,신정락,A,2 오선진,B,1-3,볼넷,1사  3:3
2017-08-29,LG,8말,김지용,A,2 오선진,B,0-2,좌익수 희생플라이,"1사 2,3루 4:5"
2017-08-30,LG,1말,차우찬,A,1 오선진,B,0-3,볼넷,무사  0:0
2017-08-30,LG,2말,차우찬,A,1 오선진,B,0-1,유격수 땅볼,2사 1루 0:0
2017-08-30,LG,5말,차우찬,A,1 오선진,B,1-3,볼넷,무사  0:1
2017-08-30,LG,6말,유원상,A,1 오선진,B,1-0,좌익수 안타,1사 1루 2:4
2017-08-30,LG,8말,정찬헌,A,1 오선진,B,2-1,삼진,1사  4:4
2017-08-31,kt,1말,로치,A,2 오선진,B,1-1,2루수 땅볼,1사  0:0
2017-08-31,kt,3말,로치,A,2 오선진,B,1-1,3루수 땅볼,1사  1:0
2017-08-31,kt,4말,로치,A,2 오선진,B,0-0,2루수 땅볼,2사 2루 1:2
2017-08-31,kt,6말,로치,A,2 오선진,B,1-0,좌익수 안타,"2사 1,3루 1:3"
2017-08-31,kt,8말,홍성용,A,2 오선진,B,1-1,좌익수 2루타,1사 1루 1:6
2017-09-01,kt,1말,정성곤,A,1 오선진,B,2-2,포수 파울 뜬공,무사  1:0
2017-09-01,kt,3말,정성곤,A,1 오선진,B,2-0,3루수 땅볼,1사  3:0
2017-09-01,kt,6말,정성곤,A,1 오선진,B,2-2,좌익수 뜬공,무사  4:0
2017-09-01,kt,8말,엄상백,A,1 오선진,B,2-0,3루수 땅볼,무사  4:1
2017-09-02,롯데,1초,린드블럼,A,1 오선진,B,2-2,3루수 땅볼,무사  0:0
2017-09-02,롯데,3초,린드블럼,A,1 오선진,B,1-1,우익수 안타,1사  0:0
2017-09-02,롯데,5초,린드블럼,A,1 오선진,B,2-2,오선진/10557 : 삼진 아웃,1사  0:3
2017-09-02,롯데,7초,장시환,A,1 오선진,B,2-1,오선진/10557 : 2루수 직선타 아웃,무사  0:8
2017-09-02,롯데,9초,진명호,A,1 오선진,B,2-1,우익수 뜬공,2사 1루 0:9
2017-09-03,롯데,1초,레일리,A,1 오선진,B,2-1,2루수 땅볼,무사  0:0
2017-09-03,롯데,3초,레일리,A,1 오선진,B,2-3,볼넷,무사  2:3
2017-09-03,롯데,4초,레일리,A,1 오선진,B,1-1,2루수 뜬공,2사 1루 2:3
2017-09-03,롯데,7초,박진형,A,1 오선진,B,2-1,유격수 병살타,무사 1루 2:4
2017-09-05,두산,1말,함덕주,A,1 오선진,B,0-1,우익수 뜬공,무사  0:0
2017-09-05,두산,3말,함덕주,A,1 오선진,B,2-1,2루수 땅볼,무사 1루 3:0
2017-09-05,두산,4말,함덕주,A,1 오선진,B,2-0,삼진,2사  3:4
2017-09-05,두산,6말,김명신,A,1 오선진,B,2-2,몸에 맞는 볼,1사 2루 3:6
2017-09-05,두산,8말,고원준,A,1 오선진,B,1-0,우익수 안타,2사  3:6
2017-09-06,두산,1말,니퍼트,A,1 오선진,B,1-2,중견수 뜬공,무사  0:0
2017-09-06,두산,3말,니퍼트,A,1 오선진,B,0-1,오선진/10557 : 2루수 직선타 아웃,무사  4:1
2017-09-06,두산,4말,니퍼트,A,1 오선진,B,1-3,볼넷,2사 1루 5:3
2017-09-06,두산,6말,김승회,A,1 오선진,B,0-2,중견수 안타,1사 3루 6:6
2017-09-06,두산,7말,김강률,A,1 오선진,B,2-1,2루수 땅볼,2사 3루 7:9
2017-09-07,KIA,1초,김진우,A,1 오선진,B,1-3,좌익수 2루타,무사  0:0
2017-09-07,KIA,2초,홍건희,A,1 오선진,B,1-0,좌익수 2루타,무사  4:0
2017-09-07,KIA,3초,홍건희,A,1 오선진,B,1-1,중견수 안타,"2사 1,2루 6:0"
2017-09-07,KIA,6초,김광수,A,1 오선진,B,2-1,우익수 안타,무사  6:1
2017-09-07,KIA,7초,남재현,A,1 오선진,B,1-3,좌익수 안타,무사  10:1
2017-09-08,KIA,1초,양현종,A,1 오선진,B,2-1,오선진/10557 : 삼진 아웃,무사  0:0
2017-09-08,KIA,3초,양현종,A,1 오선진,B,0-0,3루수 땅볼,무사  1:1
2017-09-08,KIA,5초,양현종,A,1 오선진,B,2-0,2루수 땅볼,2사 1루 1:4
2017-09-08,KIA,7초,양현종,A,1 오선진,B,0-0,투수 희생번트,무사 1루 5:4
2017-09-09,NC,1말,맨쉽,A,1 오선진,B,2-1,유격수 땅볼,무사  0:0
2017-09-09,NC,2말,맨쉽,A,1 오선진,B,1-1,2루수 뜬공,"2사 1,2루 0:0"
2017-09-09,NC,4말,맨쉽,A,1 오선진,B,1-2,우익수 안타,무사 1루 1:3
2017-09-09,NC,6말,맨쉽,A,1 오선진,B,0-0,2루수 땅볼,2사 1루 2:3
2017-09-09,NC,8말,윤수호,A,1 오선진,B,2-2,3루수 땅볼,1사  3:6
2017-09-10,NC,1말,구창모,A,1 오선진,B,1-3,중견수 뜬공,무사  0:0
2017-09-10,NC,2말,구창모,A,1 오선진,B,1-2,좌익수 뜬공,"2사 1,2루 0:1"
2017-09-10,NC,5말,구창모,A,1 오선진,B,2-1,2루수 뜬공,1사  3:1
2017-09-10,NC,7말,이민호,A,1 오선진,B,2-3,중견수 뜬공,1사  3:4
2017-09-12,삼성,1초,정인욱,A,1 오선진,B,2-1,오선진/10557 : 삼진 아웃,무사  0:0
2017-09-12,삼성,2초,정인욱,A,1 오선진,B,2-2,우익수 2루타,"2사 2,3루 2:0"
2017-09-12,삼성,4초,정인욱,A,1 오선진,B,1-2,좌익수 뜬공,2사  4:1
2017-09-12,삼성,6초,최충연,A,1 오선진,B,0-3,몸에 맞는 볼,1사  5:1
2017-09-12,삼성,8초,이승현,A,1 오선진,B,0-0,유격수 땅볼,2사  6:2
2017-09-13,삼성,1초,윤성환,A,1 오선진,B,2-2,오선진/10557 : 삼진 아웃,무사  0:0
2017-09-13,삼성,3초,윤성환,A,1 오선진,B,2-1,오선진/10557 : 삼진 아웃,"무사 1,2루 0:6"
2017-09-14,넥센,2말,한현희,A,9 오선진,B,0-1,2루수 땅볼,"2사 1,3루 0:0"
2017-09-14,넥센,4말,한현희,A,9 오선진,B,1-0,유격수 땅볼,2사 1루 2:1
2017-09-14,넥센,6말,윤영삼,A,9 오선진,B,2-3,좌익수 홈런,2사  2:2
2017-09-14,넥센,7말,금민철,A,9 오선진,B,1-1,좌익수 안타,무사 2루 2:9
2017-09-15,넥센,1말,밴헤켄,A,1 오선진,B,2-1,우익수 안타,무사  0:0
2017-09-15,넥센,3말,밴헤켄,A,1 오선진,B,2-1,중견수 안타,1사  3:0
2017-09-15,넥센,4말,밴헤켄,A,1 오선진,B,2-3,볼넷,"1사 1,2루 3:2"
2017-09-15,넥센,6말,밴헤켄,A,1 오선진,B,2-3,볼넷,2사  4:4
2017-09-15,넥센,8말,윤영삼,A,1 오선진,B,2-3,볼넷,1사 2루 4:5
2017-09-16,LG,1초,차우찬,A,1 오선진,B,2-2,2루수 땅볼,무사  0:0
2017-09-16,LG,4초,차우찬,A,1 오선진,B,2-1,2루수 땅볼,무사  0:0
2017-09-16,LG,6초,차우찬,A,1 오선진,B,0-0,3루수 땅볼,1사  0:0
2017-09-16,LG,8초,이동현,A,1 오선진,B,0-0,좌익수 2루타,1사 2루 1:1
2017-09-17,LG,1초,소사,A,1 오선진,B,1-0,유격수 뜬공,무사  0:0
2017-09-17,LG,3초,소사,A,1 오선진,B,2-0,오선진/10557 : 삼진 아웃,1사 1루 0:0
2017-09-17,LG,6초,소사,A,1 오선진,B,2-0,2루수 땅볼,1사  0:4
2017-09-20,LG,1초,김대현,A,1 오선진,B,2-1,우익수 안타,무사  0:0
