date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-11,삼성,6초,김대우,A,7 이성열,B,0-0,우익수 안타,1사 1루 4:8
2017-04-11,삼성,7초,김승현,A,7 이성열,B,2-0,중견수 안타,2사  7:8
2017-04-11,삼성,9초,심창민,A,7 이성열,B,0-0,중견수 뜬공,2사  8:8
2017-04-12,삼성,2초,페트릭,A,6 이성열,B,2-2,이성열/10168 : 삼진 아웃,2사  0:0
2017-04-12,삼성,4초,페트릭,A,6 이성열,B,2-1,좌익수 희생플라이,"1사 1,3루 2:0"
2017-04-12,삼성,6초,페트릭,A,6 이성열,B,0-0,2루수 땅볼,2사 1루 4:0
2017-04-12,삼성,9초,박근홍,A,6 이성열,B,2-2,이성열/10168 : 삼진 아웃,무사  5:1
2017-04-13,삼성,2초,우규민,A,6 이성열,B,2-2,우익수 2루타,1사  0:0
2017-04-13,삼성,5초,우규민,A,6 이성열,B,1-1,중견수 홈런,무사  0:0
2017-04-13,삼성,7초,백정현,A,6 이성열,B,2-3,볼넷,무사  1:0
2017-04-14,SK,3말,윤희상,A,7 이성열,B,1-0,우익수 안타,무사  2:0
2017-04-14,SK,5말,윤희상,A,7 이성열,B,0-0,1루수 땅볼,2사 2루 4:0
2017-04-14,SK,7말,윤희상,A,7 이성열,B,2-3,볼넷,2사  6:1
2017-04-14,SK,9말,채병용,A,7 이성열,B,2-1,삼진,2사  6:2
2017-04-15,SK,2말,문승원,A,7 이성열,B,2-1,좌익수 안타,2사  2:1
2017-04-15,SK,4말,문승원,A,7 이성열,B,2-0,투수 내야안타,1사  8:1
2017-04-15,SK,6말,문승원,A,7 이성열,B,2-2,좌익수 뜬공,무사  10:2
2017-04-15,SK,8말,임준혁,A,7 이성열,B,2-2,이성열/10168 : 삼진 아웃,1사 1루 12:2
2017-04-15,SK,9말,전유수,A,7 이성열,B,0-0,1루수 땅볼 실책[실책포함],"2사 1,2루 12:3"
2017-04-16,SK,1말,박종훈,A,5 이성열,B,2-1,이성열/10168 : 삼진 아웃,"2사 1,3루 0:0"
2017-04-16,SK,4말,박종훈,A,5 이성열,B,1-1,1루수 땅볼,무사  3:0
2017-04-16,SK,6말,박정배,A,5 이성열,B,0-1,중견수 뜬공,1사 1루 5:1
2017-04-18,LG,2말,소사,A,7 이성열,B,1-1,좌익수 3루타,2사 1루 2:0
2017-04-18,LG,4말,소사,A,7 이성열,B,0-0,좌익수 뜬공,"1사 1,2루 2:1"
2017-04-18,LG,7말,소사,A,7 이성열,B,2-2,스트라이크낫아웃 출루,무사  2:2
2017-04-18,LG,9말,최성훈,A,7 이성열,B,2-1,투수 땅볼 실책[실책포함],"1사 1,2루 2:2"
2017-04-19,LG,2말,김대현,A,5 이성열,B,0-1,1루수 땅볼,1사  0:0
2017-04-19,LG,4말,김대현,A,5 이성열,B,0-0,중견수 안타,2사  0:1
2017-04-19,LG,6말,최성훈,A,5 이성열,B,1-3,볼넷,1사 만루 0:1
2017-04-19,LG,8말,최동환,A,5 이성열,B,0-0,중견수 안타,2사  0:3
2017-04-20,LG,1말,류제국,A,7 이성열,B,2-1,이성열/10168 : 삼진 아웃,"2사 2,3루 1:2"
2017-04-20,LG,4말,류제국,A,7 이성열,B,2-1,이성열/10168 : 삼진 아웃,무사  3:2
2017-04-20,LG,6말,윤지웅,A,7 이성열,B,1-0,1루수 땅볼,1사  4:3
2017-04-23,KT,2초,고영표,A,5 이성열,B,2-2,이성열/10168 : 삼진 아웃,무사 1루 0:0
2017-04-23,KT,4초,고영표,A,5 이성열,B,0-0,투수 내야안타,무사  1:0
2017-04-23,KT,4초,고영표,A,5 이성열,B,2-0,이성열/10168 : 삼진 아웃,"2사 1,2루 6:0"
2017-04-23,KT,6초,배제성,A,5 이성열,B,2-3,볼넷,1사 2루 7:0
2017-04-23,KT,7초,주권,A,5 이성열,B,0-1,중견수 2루타,1사 1루 11:0
2017-04-23,KT,8초,주권,A,5 이성열,B,1-2,몸에 맞는 볼,2사 1루 13:0
2017-04-25,롯데,2초,송승준,A,7 이성열,B,1-2,우익수 홈런,2사  0:0
2017-04-25,롯데,5초,송승준,A,7 이성열,B,2-2,3루수 파울 뜬공,1사  1:3
2017-04-25,롯데,7초,장시환,A,7 이성열,B,1-2,유격수 땅볼,2사 2루 1:3
2017-04-25,롯데,9초,손승락,A,7 이성열,B,0-1,2루수 뜬공,1사 2루 2:4
2017-05-21,삼성,2말,윤성환,A,7 이성열,B,0-3,볼넷,2사 3루 0:0
2017-05-21,삼성,4말,김승현,A,7 이성열,B,1-0,중견수 뜬공,무사  0:1
2017-05-21,삼성,6말,권오준,A,7 이성열,B,0-1,1루수 땅볼,"무사 1,3루 2:1"
2017-05-21,삼성,7말,장필준,A,7 이성열,B,1-1,중견수 안타,2사  7:4
2017-05-21,삼성,9말,심창민,A,7 이성열,B,0-0,우익수 홈런,1사  8:6
2017-05-23,KIA,2말,팻딘,A,6 이성열,B,0-1,좌익수 뜬공,1사  0:0
2017-05-23,KIA,5말,팻딘,A,6 이성열,B,2-0,3루수 홈런,무사  10:0
2017-05-23,KIA,6말,팻딘,A,6 이성열,B,0-1,중견수 뜬공,1사 1루 11:2
2017-05-23,KIA,7말,정용운,A,6 이성열,B,2-2,중견수 안타,1사  13:7
2017-05-23,KIA,9말,한승혁,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,무사 1루 13:8
2017-05-24,KIA,2말,임기영,A,6 이성열,B,1-1,몸에 맞는 볼,1사  2:0
2017-05-24,KIA,4말,임기영,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,"1사 1,2루 7:0"
2017-05-24,KIA,7말,임기영,A,6 이성열,B,0-1,1루수 땅볼,무사  8:1
2017-05-24,KIA,9말,홍건희,A,6 이성열,B,1-1,좌익수 뜬공,"무사 1,2루 9:1"
2017-05-25,KIA,2말,헥터,A,7 이성열,B,2-1,이성열/10168 : 삼진 아웃,2사 1루 0:0
2017-05-25,KIA,5말,헥터,A,7 이성열,B,2-0,2루수 땅볼,무사  4:1
2017-05-25,KIA,7말,헥터,A,7 이성열,B,0-0,타격방해[실책포함],2사 1루 4:1
2017-05-25,KIA,9말,김윤동,A,7 이성열,B,2-3,이성열/10168 : 삼진 아웃,무사  6:4
2017-05-26,NC,1초,이재학,A,6 이성열,B,0-1,좌익수 뜬공,"2사 1,2루 1:0"
2017-05-26,NC,3초,이재학,A,6 이성열,B,2-0,중견수 안타,2사  2:0
2017-05-26,NC,5초,이재학,A,6 이성열,B,0-0,1루수 희생번트,무사 1루 2:0
2017-05-26,NC,7초,임정호,A,6 이성열,B,2-3,중견수 안타,2사 1루 2:1
2017-05-26,NC,9초,임창민,A,6 이성열,B,0-1,우익수 안타,"2사 1,3루 2:5"
2017-05-27,NC,2초,구창모,A,6 이성열,B,0-0,우익수 안타,2사  0:1
2017-05-27,NC,4초,구창모,A,6 이성열,B,2-2,이성열/10168 : 삼진 아웃,"1사 1,2루 0:1"
2017-05-27,NC,6초,원종현,A,6 이성열,B,1-1,좌익수 안타,"무사 1,2루 1:1"
2017-05-27,NC,7초,이민호,A,6 이성열,B,0-0,우익수 파울 뜬공,"2사 1,2루 4:1"
2017-05-28,NC,2초,해커,A,6 이성열,B,0-0,좌익수 안타,1사 1루 0:0
2017-05-28,NC,3초,해커,A,6 이성열,B,1-3,볼넷,2사  4:0
2017-05-28,NC,6초,해커,A,6 이성열,B,2-0,삼진,무사  4:1
2017-05-28,NC,7초,윤수호,A,6 이성열,B,2-1,우익수 안타,1사 1루 6:1
2017-05-28,NC,9초,정수민,A,6 이성열,B,1-0,좌익수 안타,1사  8:1
2017-05-30,두산,1말,함덕주,A,6 이성열,B,2-1,유격수 땅볼,2사 2루 0:2
2017-05-30,두산,3말,함덕주,A,6 이성열,B,0-1,이성열/10168 : 1루수 직선타 아웃,무사  0:5
2017-05-30,두산,5말,이영하,A,6 이성열,B,2-0,이성열/10168 : 삼진 아웃,무사  0:5
2017-05-30,두산,7말,김강률,A,6 이성열,B,0-0,좌익수 뜬공,1사  1:5
2017-05-31,두산,1말,장원준,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,2사 1루 0:2
2017-05-31,두산,4말,장원준,A,6 이성열,B,0-0,이성열/10168 : 좌익수 직선타 아웃,무사 1루 0:2
2017-05-31,두산,6말,장원준,A,6 이성열,B,0-0,중견수 안타,"1사 1,2루 1:2"
2017-05-31,두산,8말,이현승,A,6 이성열,B,0-2,투수 희생번트,무사 1루 1:3
2017-06-01,두산,2말,유희관,A,6 이성열,B,2-2,투수 내야안타,무사  4:2
2017-06-01,두산,4말,유희관,A,6 이성열,B,0-1,중견수 2루타,1사  4:2
2017-06-01,두산,6말,유희관,A,6 이성열,B,0-0,2루수 땅볼,2사 1루 6:2
2017-06-01,두산,8말,유희관,A,6 이성열,B,1-1,중견수 홈런,2사 2루 8:4
2017-06-02,SK,1말,문승원,A,6 이성열,B,2-3,중견수 뜬공,2사 2루 0:2
2017-06-02,SK,4말,문승원,A,6 이성열,B,2-2,좌익수 안타,무사  1:2
2017-06-02,SK,5말,박정배,A,6 이성열,B,2-1,이성열/10168 : 1루수 직선타 아웃,"1사 2,3루 3:3"
2017-06-02,SK,7말,채병용,A,6 이성열,B,1-3,볼넷,2사 1루 4:3
2017-06-02,SK,9말,서진용,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,1사 1루 4:4
2017-06-03,SK,1말,박종훈,A,6 이성열,B,2-2,3루수 땅볼,"2사 2,3루 0:1"
2017-06-03,SK,4말,박종훈,A,6 이성열,B,1-1,좌익수 안타[실책포함],무사  5:1
2017-06-03,SK,6말,김태훈,A,6 이성열,B,1-2,3루수 번트안타,1사  5:1
2017-06-03,SK,8말,박정배,A,6 이성열,B,0-2,우익수 홈런,1사  5:1
2017-06-04,SK,2말,켈리,A,6 이성열,B,0-0,2루수 땅볼,2사  1:0
2017-06-04,SK,4말,켈리,A,6 이성열,B,0-0,우익수 2루타,무사 2루 1:2
2017-06-04,SK,6말,켈리,A,6 이성열,B,1-3,볼넷,1사  3:4
2017-06-04,SK,9말,박희수,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,무사  7:4
2017-06-07,KIA,2초,임기영,A,6 이성열,B,1-0,1루수 땅볼,2사  0:0
2017-06-07,KIA,5초,임기영,A,6 이성열,B,2-0,이성열/10168 : 삼진 아웃,무사  0:1
2017-06-07,KIA,7초,임기영,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,1사 1루 0:5
2017-06-07,KIA,9초,임기영,A,6 이성열,B,1-1,좌익수 뜬공,2사  0:7
2017-06-08,KIA,1초,헥터,A,5 이성열,B,0-0,중견수 희생플라이,"1사 1,3루 1:0"
2017-06-08,KIA,3초,헥터,A,5 이성열,B,2-3,이성열/10168 : 삼진 아웃,1사  2:6
2017-06-08,KIA,6초,헥터,A,5 이성열,B,0-0,이성열/10168 : 유격수 직선타 아웃,무사 1루 2:6
2017-06-08,KIA,8초,심동섭,A,5 이성열,B,2-1,중견수 안타,1사 2루 3:8
2017-06-09,삼성,2말,백정현,A,6 이성열,B,1-2,우익수 2루타,무사 2루 2:0
2017-06-09,삼성,3말,백정현,A,6 이성열,B,2-1,좌익수 뜬공,1사 1루 2:4
2017-06-09,삼성,6말,백정현,A,6 이성열,B,1-0,좌익수 홈런,1사  2:4
2017-06-09,삼성,8말,최충연,A,6 이성열,B,2-3,이성열/10168 : 삼진 아웃,무사 1루 4:5
2017-06-10,삼성,1말,페트릭,A,3 이성열,B,2-1,2루수 땅볼,무사 2루 0:1
2017-06-10,삼성,2말,페트릭,A,3 이성열,B,0-1,몸에 맞는 볼,2사  0:4
2017-06-11,삼성,1말,레나도,A,3 이성열,B,2-3,볼넷,1사 2루 0:0
2017-06-11,삼성,3말,레나도,A,3 이성열,B,0-0,중견수 2루타,2사  0:1
2017-06-11,삼성,5말,레나도,A,3 이성열,B,2-1,2루수 내야안타,2사 1루 1:2
2017-06-11,삼성,7말,심창민,A,3 이성열,B,2-2,1루수 땅볼,무사  3:4
2017-06-11,삼성,9말,장필준,A,3 이성열,B,1-2,이성열/10168 : 2루수 직선타 아웃,"무사 1,3루 7:4"
2017-06-13,SK,2초,다이아몬드,A,6 이성열,B,2-2,좌익수 안타,1사  0:0
2017-06-13,SK,4초,다이아몬드,A,6 이성열,B,2-2,중견수 뜬공,"1사 1,2루 1:4"
2017-06-13,SK,5초,다이아몬드,A,6 이성열,B,2-1,우익수 2루타,"2사 2,3루 4:6"
2017-06-13,SK,7초,채병용,A,6 이성열,B,0-0,투수 희생번트,"무사 1,2루 6:8"
2017-06-13,SK,8초,박정배,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,2사  9:8
2017-06-14,SK,1초,문승원,A,3 이성열,B,1-1,우익수 안타,무사 1루 1:0
2017-06-14,SK,3초,문승원,A,3 이성열,B,2-3,좌익수 뜬공,1사 2루 1:1
2017-06-14,SK,5초,문승원,A,3 이성열,B,1-2,2루수 땅볼,"2사 1,2루 1:1"
2017-06-14,SK,8초,서진용,A,3 이성열,B,0-0,유격수 땅볼,1사  2:5
2017-06-15,SK,1초,박종훈,A,3 이성열,B,1-1,좌익수 뜬공,2사  0:0
2017-06-15,SK,3초,박종훈,A,3 이성열,B,2-0,이성열/10168 : 삼진 아웃,1사  2:3
2017-06-15,SK,6초,박종훈,A,3 이성열,B,2-1,3루수 땅볼,무사  2:4
2017-06-15,SK,8초,박정배,A,3 이성열,B,2-3,투수 땅볼,2사  2:4
2017-06-16,kt,1초,주권,A,3 이성열,B,1-1,중견수 안타,1사 1루 0:0
2017-06-16,kt,2초,주권,A,3 이성열,B,0-2,중견수 뜬공,1사 1루 4:0
2017-06-16,kt,4초,정대현,A,3 이성열,B,2-2,이성열/10168 : 삼진 아웃,2사  6:2
2017-06-16,kt,6초,배제성,A,3 이성열,B,0-0,좌익수 안타,"1사 2,3루 7:10"
2017-06-16,kt,7초,강장산,A,3 이성열,B,2-1,좌익수 뜬공,무사  14:10
2017-06-16,kt,9초,심재민,A,3 이성열,B,1-0,투수 번트 실책[실책포함],무사  15:14
2017-06-17,kt,2초,정성곤,A,7 이성열,B,2-3,이성열/10168 : 삼진 아웃,"1사 1,2루 0:0"
2017-06-17,kt,4초,정성곤,A,7 이성열,B,0-0,유격수 땅볼,2사 1루 3:1
2017-06-17,kt,6초,정성곤,A,7 이성열,B,1-1,2루수 땅볼,2사  5:1
2017-06-17,kt,8초,배우열,A,7 이성열,B,2-1,이성열/10168 : 삼진 아웃,무사  8:1
2017-06-18,kt,2초,김사율,A,6 이성열,B,2-2,삼진,1사  0:0
2017-06-18,kt,3초,김사율,A,6 이성열,B,2-1,중견수 2루타,무사 1루 5:0
2017-06-18,kt,4초,류희운,A,6 이성열,B,1-3,우익수 홈런,2사  8:3
2017-06-18,kt,6초,이상화,A,6 이성열,B,1-2,유격수 뜬공,무사 1루 10:3
2017-06-18,kt,8초,심재민,A,6 이성열,B,1-1,2루수 땅볼,2사  12:3
2017-06-20,넥센,1말,최원태,A,3 이성열,B,1-1,몸에 맞는 볼,1사 1루 0:0
2017-06-20,넥센,2말,최원태,A,3 이성열,B,1-2,1루수 땅볼,2사  0:5
2017-06-20,넥센,5말,최원태,A,3 이성열,B,2-2,3루수 파울 뜬공,1사  5:5
2017-06-20,넥센,7말,조상우,A,3 이성열,B,1-2,포수 파울 뜬공,"1사 1,2루 5:5"
2017-06-21,넥센,1말,신재영,A,3 이성열,B,2-1,2루수 땅볼,"무사 1,3루 0:0"
2017-06-21,넥센,3말,신재영,A,3 이성열,B,0-0,3루수 땅볼,"무사 1,2루 3:3"
2017-06-21,넥센,5말,신재영,A,3 이성열,B,1-0,좌익수 뜬공,무사  5:5
2017-06-21,넥센,7말,하영민,A,3 이성열,B,1-3,1루수 땅볼,2사 2루 5:5
2017-06-22,넥센,1말,브리검,A,5 이성열,B,2-0,이성열/10168 : 삼진 아웃,2사  2:2
2017-06-22,넥센,3말,브리검,A,5 이성열,B,2-1,이성열/10168 : 삼진 아웃,"1사 1,2루 4:3"
2017-06-22,넥센,5말,브리검,A,5 이성열,B,1-0,중견수 안타,무사  11:6
2017-06-22,넥센,6말,조상우,A,5 이성열,B,2-3,볼넷,2사 2루 12:7
2017-06-22,넥센,8말,하영민,A,5 이성열,B,2-0,좌익수 안타,1사  12:9
2017-06-22,넥센,10말,김상수,A,5 이성열,B,2-3,우익수 홈런,1사  12:12
2017-06-23,삼성,1초,페트릭,A,5 이성열,B,2-3,볼넷,"1사 1,2루 1:0"
2017-06-23,삼성,3초,페트릭,A,5 이성열,B,2-0,우익수 뜬공,2사 1루 1:4
2017-06-23,삼성,6초,페트릭,A,5 이성열,B,2-0,이성열/10168 : 삼진 아웃,2사  1:5
2017-06-23,삼성,8초,심창민,A,5 이성열,B,0-0,1루수 땅볼,1사  3:5
2017-06-24,삼성,2초,윤성환,A,6 이성열,B,2-2,1루수 땅볼,1사  1:0
2017-06-24,삼성,5초,윤성환,A,6 이성열,B,0-0,3루수 번트안타,무사  1:7
2017-06-24,삼성,7초,윤성환,A,6 이성열,B,2-3,몸에 맞는 볼,2사  2:8
2017-06-25,삼성,1초,우규민,A,3 이성열,B,0-0,1루수 희생번트 실책[실책포함],"무사 1,2루 0:0"
2017-06-25,삼성,2초,우규민,A,3 이성열,B,2-2,우익수 2루타,1사 1루 4:3
2017-06-25,삼성,4초,장원삼,A,3 이성열,B,2-3,좌익수 희생플라이,"1사 2,3루 5:4"
2017-06-25,삼성,7초,최충연,A,3 이성열,B,2-2,이성열/10168 : 삼진 아웃,무사  6:6
2017-06-25,삼성,9초,장필준,A,3 이성열,B,0-0,중견수 안타,1사  7:7
2017-06-27,kt,2말,피어밴드,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,1사  1:1
2017-06-27,kt,4말,피어밴드,A,6 이성열,B,2-1,이성열/10168 : 삼진 아웃,1사  1:1
2017-06-27,kt,5말,피어밴드,A,6 이성열,B,2-0,2루수 땅볼 실책[실책포함],2사 만루 1:2
2017-06-27,kt,8말,강장산,A,6 이성열,B,2-2,좌익수 뜬공,무사  1:4
2017-06-28,kt,2말,고영표,A,5 이성열,B,2-2,몸에 맞는 볼,1사  1:0
2017-06-28,kt,4말,고영표,A,5 이성열,B,0-1,좌익수 뜬공,무사  4:2
2017-06-28,kt,6말,고영표,A,5 이성열,B,0-0,좌익수 뜬공,2사 1루 4:2
2017-06-29,kt,2말,류희운,A,5 이성열,B,2-2,중견수 뜬공,무사  0:0
2017-06-29,kt,4말,류희운,A,5 이성열,B,0-0,좌익수 희생플라이,"1사 1,3루 0:0"
2017-06-29,kt,6말,배우열,A,5 이성열,B,0-0,2루수 땅볼,2사  5:1
2017-06-29,kt,7말,심재민,A,5 이성열,B,2-2,이성열/10168 : 삼진 아웃,2사  5:7
