date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-10-03,NC,9말,임창민,A,4 이창열,B,0-0,우익수 뜬공,무사  8:8
2015-09-18,NC,9말,이혜천,A,8 이창열,B,2-2,2루수 뜬공,1사  15:2
2015-09-20,두산,8말,오현택,A,1 이창열,B,1-3,중견수 2루타,1사 2루 16:3
2014-07-13,두산,9초,정재훈,A,9 이창열,B,0-1,우중간 3루타,2사 2루 1:1
2014-07-22,NC,7말,원종현,A,9 이창열,B,2-2,2루수 땅볼,2사 1루 6:8
2014-07-22,NC,9말,고창성,A,9 이창열,B,0-0,투수 번트 뜬공,무사  11:11
2014-07-23,NC,8말,원종현,A,9 이창열,B,0-1,우익수 오른쪽 2루타,무사  8:1
2014-07-23,NC,9말,이성민,A,9 이창열,B,0-0,중견수 뜬공,"1사 1,2루 8:2"
2014-07-24,NC,2말,이재학,A,9 이창열,B,2-2,이창열/1273 : 삼진 아웃,무사 1루 5:4
2014-07-25,KIA,3말,김병현,A,9 이창열,B,2-3,볼넷,2사  0:0
2014-07-25,KIA,5말,김병현,A,9 이창열,B,0-1,우익수 오른쪽 2루타,1사 1루 3:1
2014-07-25,KIA,6말,최영필,A,9 이창열,B,2-1,1루수 야수선택,"1사 2,3루 3:5"
2014-07-25,KIA,8말,신창호,A,9 이창열,B,0-3,볼넷,2사  3:8
2014-07-26,KIA,1말,송은범,A,1 이창열,B,2-0,투수 땅볼,무사  0:0
2014-07-26,KIA,3말,송은범,A,1 이창열,B,2-3,볼넷,2사 2루 0:0
2014-07-26,KIA,5말,송은범,A,1 이창열,B,0-1,2루수 땅볼,1사 1루 1:0
2014-07-29,넥센,2초,소사,A,9 이창열,B,2-1,이창열/1273 : 삼진 아웃,2사 1루 0:0
2014-07-29,넥센,4초,소사,A,9 이창열,B,2-3,중견수 앞 안타,"1사 1,3루 0:9"
2014-07-29,넥센,6초,마정길,A,9 이창열,B,1-1,1루수 땅볼,1사  2:11
2014-08-01,두산,1말,마야,A,2 이창열,B,2-2,이창열/1273 : 삼진 아웃,1사  0:0
2014-08-01,두산,3말,마야,A,2 이창열,B,0-0,투수 땅볼[실책포함],"무사 1,2루 2:0"
2014-08-01,두산,4말,마야,A,2 이창열,B,2-1,이창열/1273 : 삼진 아웃,2사 1루 2:4
2014-08-01,두산,6말,윤명준,A,2 이창열,B,2-2,1루수 땅볼,2사 2루 6:5
2014-08-05,삼성,3말,밴덴헐크,A,9 이창열,B,2-2,이창열/1273 : 삼진 아웃,무사 1루 4:0
2014-08-05,삼성,5말,밴덴헐크,A,9 이창열,B,1-0,1루수 땅볼,1사  7:0
2014-08-06,삼성,9말,임창용,A,9 이창열,B,2-3,몸에 맞는 볼,무사  2:2
2014-08-06,삼성,11말,권혁,A,9 이창열,B,1-2,투수 땅볼,1사 1루 2:2
2014-08-12,두산,8말,윤명준,A,2 이창열,B,2-1,이창열/1273 : 삼진 아웃,무사 1루 9:6
