date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-06-11,LG,2말,이준형,A,9 장운호,B,2-3,유격수 땅볼,"1사 2,3루 1:1"
2016-06-11,LG,4말,이준형,A,9 장운호,B,1-0,우익수 안타,2사  1:2
2016-06-11,LG,6말,진해수,A,9 장운호,B,0-0,3루수 희생번트,무사 1루 1:3
2016-06-11,LG,8말,신승현,A,9 장운호,B,1-1,우익수 뜬공,1사  4:3
2016-06-14,kt,7초,심재민,A,9 장운호,B,2-3,볼넷,무사 1루 2:5
2016-06-14,kt,8초,김재윤,A,9 장운호,B,2-1,중견수 뜬공,2사 1루 3:5
2016-06-16,kt,4초,주권,A,9 장운호,B,1-1,좌익수 안타,2사 1루 4:5
2016-06-16,kt,7초,주권,A,9 장운호,B,0-1,중견수 안타,1사  4:7
2016-06-16,kt,9초,김재윤,A,9 장운호,B,2-2,우익수 뜬공,무사  4:7
2016-06-17,넥센,2말,피어밴드,A,9 장운호,B,1-1,좌익수 안타,"2사 1,2루 2:0"
2016-06-17,넥센,4말,피어밴드,A,9 장운호,B,0-1,좌익수 뜬공,2사  3:3
2016-06-17,넥센,6말,피어밴드,A,9 장운호,B,1-3,3루수 땅볼,1사 2루 5:6
2016-06-17,넥센,8말,오주원,A,9 장운호,B,0-0,중견수 안타,2사 3루 5:7
2016-06-18,넥센,2말,박종윤,A,9 장운호,B,1-2,중견수 뜬공,1사 1루 1:1
2016-06-18,넥센,4말,오주원,A,9 장운호,B,2-0,장운호/11122 : 삼진 아웃,1사  1:1
2016-06-18,넥센,6말,이보근,A,9 장운호,B,1-3,포수 파울 뜬공,2사  4:2
2016-06-18,넥센,8말,김상수,A,9 장운호,B,0-2,중견수 뜬공,1사  11:6
2016-06-19,넥센,3말,최원태,A,9 장운호,B,0-0,1루수 파울 뜬공,무사  7:1
2016-06-19,넥센,4말,김상수,A,9 장운호,B,1-1,유격수 땅볼,2사  10:3
2016-06-19,넥센,6말,오주원,A,9 장운호,B,2-3,유격수 땅볼,2사  11:5
2016-06-21,NC,3초,이민호,A,8 장운호,B,2-2,장운호/11122 : 삼진 아웃,무사  1:1
2016-06-21,NC,5초,이민호,A,8 장운호,B,2-3,볼넷,무사  2:1
2016-06-21,NC,6초,원종현,A,8 장운호,B,2-2,3루수 땅볼,2사  5:2
2016-06-21,NC,8초,김진성,A,8 장운호,B,0-0,좌익수 3루타,"2사 1,3루 5:2"
2016-06-24,롯데,8말,이명우,A,7 장운호,B,2-1,유격수 땅볼,무사  2:1
2016-06-24,롯데,10말,윤길현,A,7 장운호,B,0-1,유격수 땅볼,무사  4:2
2016-06-25,롯데,8말,박한길,A,6 장운호,B,2-1,우익수 안타,2사 2루 1:7
2016-06-26,롯데,8말,이명우,A,6 장운호,B,0-1,중견수 뜬공,1사  11:4
2016-06-29,넥센,3초,피어밴드,A,9 장운호,B,2-2,장운호/11122 : 삼진 아웃,1사  0:2
2016-06-30,넥센,2초,박주현,A,7 장운호,B,1-3,볼넷,2사 1루 0:0
2016-07-02,두산,3말,유희관,A,9 장운호,B,1-1,우익수 파울 뜬공,무사  1:1
2016-07-02,두산,5말,유희관,A,9 장운호,B,0-1,투수 번트 아웃,1사 1루 2:1
2016-07-09,삼성,7말,권오준,A,5 장운호,B,2-1,유격수 땅볼,무사  1:4
2016-07-09,삼성,9말,심창민,A,5 장운호,B,2-2,장운호/11122 : 삼진 아웃,2사 2루 4:4
2016-08-18,LG,5초,우규민,A,9 장운호,B,0-0,투수 번트안타,"무사 1,2루 2:5"
2016-08-18,LG,7초,이준형,A,9 장운호,B,0-0,유격수 땅볼,무사  6:5
2016-08-18,LG,9초,최동환,A,9 장운호,B,2-1,좌익수 안타,무사  8:5
2016-08-19,LG,2초,허프,A,8 장운호,B,2-3,장운호/11122 : 삼진 아웃,2사 3루 0:0
2016-08-19,LG,5초,허프,A,8 장운호,B,2-1,2루수 뜬공,무사  1:0
2016-08-20,kt,6초,고영표,A,9 장운호,B,2-1,장운호/11122 : 삼진 아웃,2사 1루 4:5
2016-08-25,NC,8말,해커,A,9 장운호,B,2-3,2루수 내야안타,무사  13:1
2016-08-26,NC,5말,임정호,A,6 장운호,B,2-0,장운호/11122 : 삼진 아웃,"1사 1,2루 4:7"
2016-08-26,NC,7말,장현식,A,6 장운호,B,2-2,좌익수 뜬공,2사 1루 4:7
2016-08-27,SK,7초,박민호,A,6 장운호,B,1-1,유격수 땅볼,1사  11:2
2016-08-27,SK,9초,라라,A,6 장운호,B,2-1,장운호/11122 : 삼진 아웃,1사  12:4
2016-08-30,두산,2초,유희관,A,9 장운호,B,1-1,좌익수 뜬공,1사 2루 2:4
2016-08-30,두산,5초,유희관,A,9 장운호,B,1-2,중견수 뜬공,무사  2:4
2016-08-30,두산,6초,유희관,A,9 장운호,B,0-0,포수 희생번트,무사 2루 4:4
2016-09-10,SK,2말,김광현,A,8 장운호,B,0-0,우익수 안타,"2사 2,3루 0:0"
2016-09-10,SK,3말,김광현,A,8 장운호,B,2-3,장운호/11122 : 삼진 아웃,1사 만루 0:5
2016-09-11,SK,3말,켈리,A,8 장운호,B,2-1,장운호/11122 : 삼진 아웃,무사  5:1
2016-09-13,삼성,7초,김대우,A,2 장운호,B,2-2,장운호/11122 : 삼진 아웃,2사 2루 1:3
2016-09-14,삼성,7초,김대우,A,2 장운호,B,0-1,투수 땅볼,무사  6:5
2016-09-14,삼성,9초,심창민,A,2 장운호,B,0-1,몸에 맞는 볼,2사  6:9
2016-09-16,롯데,6말,배장호,A,2 장운호,B,0-0,우익수 뜬공,1사  7:4
2016-09-20,LG,9말,전인환,A,7 장운호,B,1-2,좌익수 뜬공,1사 1루 11:3
2016-09-22,NC,8말,원종현,A,3 장운호,B,1-1,중견수 뜬공,1사  5:2
2016-09-24,LG,3초,류제국,A,2 장운호,B,1-2,투수 희생번트,무사 1루 1:0
2016-09-24,LG,5초,류제국,A,2 장운호,B,1-2,중견수 안타,2사 3루 1:0
2016-09-24,LG,6초,우규민,A,2 장운호,B,2-1,우익수 안타,2사 만루 4:3
2016-09-24,LG,7초,임찬규,A,2 장운호,B,2-3,장운호/11122 : 삼진 아웃,"2사 2,3루 10:4"
2016-09-24,LG,9초,최성훈,A,2 장운호,B,1-1,3루수 땅볼,1사  12:7
2016-09-25,SK,1초,윤희상,A,2 장운호,B,1-1,몸에 맞는 볼,1사  0:0
2016-09-25,SK,3초,윤희상,A,2 장운호,B,0-2,우익수 뜬공,2사 1루 0:6
2016-09-25,SK,5초,윤희상,A,2 장운호,B,2-1,3루수 땅볼,2사  2:6
2016-09-25,SK,8초,김광현,A,2 장운호,B,2-1,중견수 뜬공,2사  2:9
2016-09-27,두산,9말,홍상삼,A,9 장운호,B,0-0,중견수 안타,2사  8:5
2016-09-28,두산,3말,보우덴,A,8 장운호,B,2-2,유격수 땅볼,1사  0:0
2016-09-30,NC,7초,배재환,A,7 장운호,B,2-0,중견수 뜬공,1사  7:0
2016-10-02,넥센,3말,신재영,A,8 장운호,B,1-0,우익수 뜬공,무사  1:0
