date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,두산,8초,니퍼트,A,8 정근우,B,1-1,2루수 파울 뜬공,무사  0:3
2017-04-01,두산,2초,유희관,A,9 정근우,B,1-1,2루수 땅볼,2사  1:0
2017-04-01,두산,4초,유희관,A,9 정근우,B,2-0,2루수 땅볼,1사 2루 2:0
2017-04-02,두산,11초,김성배,A,4 정근우,B,0-2,몸에 맞는 볼,1사  4:3
2017-04-04,NC,8말,윤수호,A,8 정근우,B,0-1,3루수 땅볼,1사 2루 0:6
2017-04-06,NC,5말,해커,A,9 정근우,B,2-0,좌익수 뜬공,무사  4:1
2017-04-06,NC,7말,장현식,A,9 정근우,B,2-2,1루수 뜬공,무사  5:2
2017-04-06,NC,9말,임창민,A,9 정근우,B,0-0,중견수 뜬공,1사  5:2
2017-04-07,KIA,2초,헥터,A,8 정근우,B,1-3,유격수 땅볼,"2사 1,2루 0:0"
2017-04-07,KIA,5초,헥터,A,8 정근우,B,0-1,중견수 뜬공,1사  0:1
2017-04-07,KIA,7초,헥터,A,8 정근우,B,2-2,3루수 땅볼,1사 2루 0:4
2017-04-07,KIA,9초,헥터,A,8 정근우,B,2-2,중견수 2루타,무사  2:4
2017-04-08,KIA,2초,팻딘,A,8 정근우,B,0-0,중견수 2루타,"2사 1,2루 0:0"
2017-04-08,KIA,4초,팻딘,A,8 정근우,B,2-3,포수 파울 뜬공,2사  1:2
2017-04-08,KIA,6초,박지훈,A,8 정근우,B,0-3,볼넷,2사 2루 1:2
2017-04-08,KIA,8초,한승혁,A,8 정근우,B,2-3,유격수 땅볼,2사  2:2
2017-04-09,KIA,1초,양현종,A,3 정근우,B,2-2,우익수 안타,1사 2루 0:0
2017-04-09,KIA,4초,양현종,A,3 정근우,B,2-2,좌익수 안타,무사  1:0
2017-04-09,KIA,6초,양현종,A,3 정근우,B,2-1,삼진,2사 1루 1:1
2017-04-09,KIA,8초,한승혁,A,3 정근우,B,2-2,2루수 인필드 뜬공,"1사 1,2루 1:3"
2017-04-11,삼성,1초,장원삼,A,3 정근우,B,2-1,유격수 땅볼,2사  0:0
2017-04-11,삼성,3초,장원삼,A,3 정근우,B,1-1,1루수 땅볼,"1사 1,2루 0:0"
2017-04-11,삼성,5초,장원삼,A,3 정근우,B,0-0,우익수 안타,1사  4:5
2017-04-11,삼성,6초,김승현,A,3 정근우,B,0-1,3루수 내야안타,"2사 1,2루 7:8"
2017-04-11,삼성,8초,심창민,A,3 정근우,B,2-3,중견수 안타,2사 2루 7:8
2017-04-11,삼성,10초,심창민,A,3 정근우,B,0-0,중견수 안타,"2사 1,2루 8:8"
2017-04-12,삼성,1초,페트릭,A,3 정근우,B,0-1,유격수 땅볼,2사  0:0
2017-04-12,삼성,4초,페트릭,A,3 정근우,B,0-1,우익수 안타,"무사 1,3루 0:0"
2017-04-12,삼성,6초,페트릭,A,3 정근우,B,0-0,3루수 땅볼 실책[실책포함],무사 1루 3:0
2017-04-12,삼성,8초,페트릭,A,3 정근우,B,2-3,좌익수 안타,2사  4:0
2017-04-13,삼성,1초,우규민,A,3 정근우,B,1-1,정근우/10103 : 3루수 직선타 아웃,1사 1루 0:0
2017-04-13,삼성,4초,우규민,A,3 정근우,B,1-1,유격수 땅볼,무사  0:0
2017-04-13,삼성,6초,우규민,A,3 정근우,B,2-1,우익수 2루타,2사  1:0
2017-04-13,삼성,9초,심창민,A,3 정근우,B,2-1,정근우/10103 : 삼진 아웃,무사  1:5
2017-04-14,SK,1말,윤희상,A,3 정근우,B,0-0,포수 뜬공,2사  0:0
2017-04-14,SK,4말,윤희상,A,3 정근우,B,0-2,좌익수 뜬공,2사  4:0
2017-04-15,SK,1말,문승원,A,1 정근우,B,2-3,좌익수 안타,무사  0:0
2017-04-15,SK,3말,문승원,A,1 정근우,B,1-0,3루수 뜬공,무사 1루 3:1
2017-04-15,SK,5말,문승원,A,1 정근우,B,1-1,3루수 파울 뜬공,무사  9:1
2017-04-16,SK,1말,박종훈,A,3 정근우,B,2-3,중견수 안타,2사  0:0
2017-04-16,SK,3말,박종훈,A,3 정근우,B,2-0,정근우/10103 : 삼진 아웃,1사  2:0
2017-04-16,SK,6말,박정배,A,3 정근우,B,0-0,중견수 안타,무사 1루 5:0
2017-04-16,SK,8말,김성민,A,3 정근우,B,0-3,볼넷,1사  10:1
2017-04-18,LG,1말,소사,A,3 정근우,B,2-2,3루수 병살타,1사 1루 0:0
2017-04-18,LG,3말,소사,A,3 정근우,B,1-0,중견수 뜬공,2사 1루 2:1
2017-04-18,LG,6말,소사,A,3 정근우,B,1-3,2루수 뜬공,무사  2:1
2017-04-18,LG,8말,진해수,A,3 정근우,B,0-1,3루수 땅볼,2사  2:2
2017-04-19,LG,1말,김대현,A,1 정근우,B,2-2,3루수 땅볼,무사  0:0
2017-04-19,LG,3말,김대현,A,1 정근우,B,2-0,중견수 안타,2사 2루 0:0
2017-04-19,LG,6말,김대현,A,1 정근우,B,0-0,3루수 땅볼,무사  0:1
2017-04-19,LG,7말,고우석,A,1 정근우,B,1-2,우익수 뜬공,1사 1루 0:3
2017-04-20,LG,1말,류제국,A,1 정근우,B,2-3,중견수 안타,무사  1:0
2017-04-20,LG,2말,류제국,A,1 정근우,B,0-0,좌익수 안타,1사 1루 2:2
2017-04-20,LG,5말,류제국,A,1 정근우,B,2-2,정근우/10103 : 삼진 아웃,무사  4:2
2017-04-20,LG,7말,김지용,A,1 정근우,B,2-2,유격수 땅볼,무사  4:3
2017-04-20,LG,9말,신정락,A,1 정근우,B,2-2,정근우/10103 : 삼진 아웃,2사 1루 4:3
2017-04-21,kt,1초,피어밴드,A,1 정근우,B,2-1,좌익수 뜬공,무사  0:0
2017-04-21,kt,3초,피어밴드,A,1 정근우,B,0-1,중견수 뜬공,1사  1:1
2017-04-21,kt,6초,피어밴드,A,1 정근우,B,0-0,투수 희생번트,무사 1루 1:2
2017-04-21,kt,8초,심재민,A,1 정근우,B,0-1,좌익수 안타,무사  3:2
2017-04-21,kt,9초,조무근,A,1 정근우,B,2-1,유격수 땅볼,2사  7:2
