date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,두산,2초,니퍼트,A,5 최진행,B,2-0,2루수 뜬공,무사  0:0
2017-03-31,두산,4초,니퍼트,A,5 최진행,B,2-3,볼넷,2사 1루 0:1
2017-03-31,두산,7초,니퍼트,A,5 최진행,B,2-1,최진행/10578 : 우익수 직선타 아웃,무사  0:2
2017-03-31,두산,9초,김성배,A,5 최진행,B,2-3,최진행/10578 : 삼진 아웃,1사  0:3
2017-04-01,두산,1초,유희관,A,5 최진행,B,0-0,중견수 뜬공,"2사 1,2루 0:0"
2017-04-01,두산,3초,유희관,A,5 최진행,B,2-3,최진행/10578 : 삼진 아웃,"2사 1,2루 1:0"
2017-04-01,두산,5초,유희관,A,5 최진행,B,0-1,중견수 뜬공,2사 2루 2:2
2017-04-02,두산,1초,고원준,A,5 최진행,B,0-2,유격수 땅볼,"2사 1,2루 0:0"
2017-04-02,두산,4초,고원준,A,5 최진행,B,1-3,볼넷,무사  0:0
2017-04-02,두산,5초,김명신,A,5 최진행,B,2-1,유격수 땅볼,"1사 2,3루 1:0"
2017-04-02,두산,7초,김명신,A,5 최진행,B,2-2,몸에 맞는 볼,1사 2루 3:0
2017-04-04,NC,2말,최금강,A,7 최진행,B,2-0,중견수 안타,2사  0:0
2017-04-04,NC,3말,최금강,A,7 최진행,B,2-1,몸에 맞는 볼,"1사 2,3루 0:3"
2017-04-04,NC,5말,배재환,A,7 최진행,B,1-1,3루수 땅볼,2사  0:6
2017-04-04,NC,8말,윤수호,A,7 최진행,B,1-1,중견수 2루타,1사  0:6
2017-04-06,NC,1말,해커,A,3 최진행,B,0-0,좌익수 뜬공,2사  0:0
2017-04-06,NC,3말,해커,A,3 최진행,B,1-3,2루수 뜬공,무사 1루 3:1
2017-04-06,NC,6말,장현식,A,3 최진행,B,2-2,최진행/10578 : 삼진 아웃,무사  5:1
2017-04-06,NC,8말,원종현,A,3 최진행,B,2-3,볼넷,무사  5:2
2017-04-07,KIA,2초,헥터,A,7 최진행,B,1-0,우익수 안타,2사 1루 0:0
2017-04-07,KIA,5초,헥터,A,7 최진행,B,2-0,최진행/10578 : 삼진 아웃,무사  0:1
2017-04-07,KIA,7초,헥터,A,7 최진행,B,1-2,3루수 땅볼,무사 2루 0:4
2017-04-07,KIA,8초,헥터,A,7 최진행,B,0-1,좌익수 뜬공,"2사 1,3루 2:4"
2017-04-08,KIA,2초,팻딘,A,7 최진행,B,1-0,좌익수 안타,2사 1루 0:0
2017-04-08,KIA,4초,팻딘,A,7 최진행,B,2-2,우익수 뜬공,1사  1:2
2017-04-08,KIA,6초,팻딘,A,7 최진행,B,0-0,2루수 땅볼,1사 1루 1:2
2017-04-08,KIA,8초,한승혁,A,7 최진행,B,2-1,최진행/10578 : 삼진 아웃,1사  2:2
2017-04-09,KIA,2초,양현종,A,7 최진행,B,1-1,3루수 땅볼,1사  1:0
2017-04-11,삼성,2초,장원삼,A,6 최진행,B,2-2,좌익수 안타,1사 1루 0:0
2017-04-11,삼성,3초,장원삼,A,6 최진행,B,2-2,최진행/10578 : 삼진 아웃,2사  4:0
2017-04-12,삼성,3초,페트릭,A,7 최진행,B,2-2,중견수 안타,무사  0:0
2017-04-12,삼성,4초,페트릭,A,7 최진행,B,1-0,3루수 땅볼,2사 1루 3:0
2017-04-12,삼성,7초,페트릭,A,7 최진행,B,2-0,중견수 안타,무사  4:0
2017-04-13,삼성,8초,백정현,A,9 최진행,B,2-1,최진행/10578 : 삼진 아웃,무사  1:1
2017-04-14,SK,2말,윤희상,A,4 최진행,B,1-0,투수 땅볼,무사  2:0
2017-04-14,SK,5말,윤희상,A,4 최진행,B,2-1,최진행/10578 : 삼진 아웃,무사  4:0
2017-04-14,SK,7말,윤희상,A,4 최진행,B,1-0,좌익수 홈런,무사  6:0
2017-04-14,SK,8말,채병용,A,4 최진행,B,1-2,1루수 뜬공,2사 1루 6:2
2017-04-15,SK,2말,문승원,A,6 최진행,B,0-1,유격수 땅볼,1사  2:1
2017-04-15,SK,4말,문승원,A,6 최진행,B,1-2,포수 파울 뜬공,무사  8:1
2017-04-15,SK,5말,문승원,A,6 최진행,B,2-2,최진행/10578 : 삼진 아웃,"2사 1,2루 9:2"
2017-04-16,SK,7말,박희수,A,8 최진행,B,1-3,볼넷,1사  10:1
2017-04-16,SK,9말,서진용,A,8 최진행,B,2-3,최진행/10578 : 삼진 아웃,2사  10:1
2017-04-18,LG,2말,소사,A,5 최진행,B,0-1,좌익수 뜬공,1사  2:0
2017-04-18,LG,4말,소사,A,5 최진행,B,2-3,볼넷,무사 1루 2:1
2017-04-18,LG,6말,소사,A,5 최진행,B,2-2,최진행/10578 : 삼진 아웃,1사 2루 2:1
2017-04-18,LG,9말,정찬헌,A,5 최진행,B,1-0,투수 희생번트 실책[실책포함],무사 1루 2:2
2017-04-19,LG,2말,김대현,A,6 최진행,B,1-0,3루수 땅볼,2사  0:0
2017-04-19,LG,4말,김대현,A,6 최진행,B,2-1,최진행/10578 : 삼진 아웃,2사 1루 0:1
2017-04-19,LG,6말,고우석,A,6 최진행,B,1-2,포수 파울 뜬공,1사 만루 0:2
2017-04-20,LG,2말,류제국,A,8 최진행,B,0-0,2루수 땅볼,무사  2:2
2017-04-21,kt,2초,피어밴드,A,6 최진행,B,1-0,중견수 안타,1사  1:0
2017-04-21,kt,5초,피어밴드,A,6 최진행,B,2-2,유격수 땅볼,무사  1:2
2017-04-21,kt,7초,심재민,A,6 최진행,B,1-0,중견수 안타,무사  3:2
2017-04-22,kt,2초,정성곤,A,6 최진행,B,0-1,중견수 뜬공,1사  0:0
2017-04-22,kt,4초,정성곤,A,6 최진행,B,2-1,최진행/10578 : 삼진 아웃,"1사 1,3루 0:4"
2017-04-22,kt,5초,정성곤,A,6 최진행,B,0-1,중견수 2루타,"2사 1,2루 3:4"
2017-04-22,kt,7초,엄상백,A,6 최진행,B,2-1,우익수 안타,1사 1루 6:9
2017-04-22,kt,9초,김재윤,A,6 최진행,B,1-3,2루수 뜬공,무사  9:11
2017-04-23,KT,3초,고영표,A,4 최진행,B,2-2,최진행/10578 : 삼진 아웃,"2사 2,3루 1:0"
2017-04-23,KT,4초,고영표,A,4 최진행,B,1-3,볼넷,2사 1루 6:0
2017-04-23,KT,6초,배제성,A,4 최진행,B,1-3,중견수 2루타,1사  7:0
2017-04-23,KT,7초,조무근,A,4 최진행,B,2-0,최진행/10578 : 삼진 아웃,무사 1루 11:0
2017-04-23,KT,8초,주권,A,4 최진행,B,1-1,좌익수 안타,2사  13:0
2017-04-25,롯데,1초,송승준,A,4 최진행,B,2-1,최진행/10578 : 삼진 아웃,2사 1루 0:0
2017-04-25,롯데,4초,송승준,A,4 최진행,B,2-3,중견수 뜬공,1사  1:1
2017-04-25,롯데,7초,장시환,A,4 최진행,B,0-1,좌익수 안타,무사  1:3
2017-04-25,롯데,8초,손승락,A,4 최진행,B,2-3,최진행/10578 : 삼진 아웃,"2사 2,3루 2:3"
2017-04-26,롯데,1초,박진형,A,4 최진행,B,2-1,우익수 안타,2사 2루 0:0
2017-04-26,롯데,3초,박진형,A,4 최진행,B,2-2,삼진,2사 1루 2:2
2017-04-26,롯데,6초,배장호,A,4 최진행,B,2-1,최진행/10578 : 삼진 아웃,1사  2:5
2017-04-26,롯데,8초,윤길현,A,4 최진행,B,2-0,최진행/10578 : 삼진 아웃,2사 1루 2:8
2017-04-27,롯데,2초,애디튼,A,5 최진행,B,2-2,최진행/10578 : 삼진 아웃,무사 1루 0:0
2017-04-27,롯데,3초,애디튼,A,5 최진행,B,2-2,우익수 안타,1사 2루 4:0
2017-04-27,롯데,5초,강동호,A,5 최진행,B,0-1,좌익수 안타,무사  6:1
2017-04-27,롯데,7초,강동호,A,5 최진행,B,1-0,유격수 땅볼,2사  6:1
2017-04-28,넥센,3말,신재영,A,7 최진행,B,1-0,좌익수 뜬공,무사  2:0
2017-04-28,넥센,5말,신재영,A,7 최진행,B,2-1,중견수 2루타,2사  10:0
2017-04-29,넥센,2말,조상우,A,5 최진행,B,2-1,최진행/10578 : 삼진 아웃,1사  1:0
2017-04-29,넥센,4말,조상우,A,5 최진행,B,2-2,2루수 뜬공,"무사 1,3루 5:1"
2017-04-29,넥센,6말,금민철,A,5 최진행,B,1-1,우익수 2루타,1사 2루 6:2
2017-04-29,넥센,8말,이보근,A,5 최진행,B,2-1,최진행/10578 : 삼진 아웃,1사 1루 7:3
2017-04-30,넥센,2말,양훈,A,6 최진행,B,1-1,3루수 땅볼,1사  3:0
2017-04-30,넥센,4말,양훈,A,6 최진행,B,2-3,2루수 땅볼,1사 2루 3:1
2017-04-30,넥센,7말,오주원,A,6 최진행,B,2-1,포수 파울 뜬공,무사  5:1
2017-04-30,넥센,8말,김세현,A,6 최진행,B,0-0,좌익수 뜬공,2사  5:3
2017-05-02,SK,1초,윤희상,A,5 최진행,B,2-1,최진행/10578 : 삼진 아웃,"1사 1,2루 1:0"
2017-05-02,SK,3초,윤희상,A,5 최진행,B,2-1,최진행/10578 : 삼진 아웃,1사 2루 1:0
2017-05-02,SK,5초,윤희상,A,5 최진행,B,0-1,유격수 땅볼,무사  3:2
2017-05-02,SK,7초,채병용,A,5 최진행,B,1-1,우익수 뜬공,1사  3:3
2017-05-02,SK,9초,서진용,A,5 최진행,B,2-2,최진행/10578 : 삼진 아웃,"1사 1,2루 4:5"
2017-06-27,kt,2말,피어밴드,A,5 최진행,B,1-1,우익수 뜬공,무사  1:1
2017-06-27,kt,4말,피어밴드,A,5 최진행,B,2-3,볼넷,무사  1:1
2017-06-27,kt,5말,피어밴드,A,5 최진행,B,2-0,최진행/10578 : 삼진 아웃,1사 만루 1:2
2017-06-27,kt,7말,강장산,A,5 최진행,B,2-2,최진행/10578 : 삼진 아웃,2사 1루 1:4
2017-06-28,kt,8말,김재윤,A,6 최진행,B,0-0,유격수 땅볼 실책[실책포함],"1사 1,2루 4:3"
2017-06-28,kt,10말,이상화,A,6 최진행,B,2-0,우익수 2루타,무사  5:4
2017-06-29,kt,7말,주권,A,9 최진행,B,1-3,우익수 안타,무사 만루 5:1
2017-06-30,두산,4말,유희관,A,9 최진행,B,0-0,우익수 희생플라이,1사 만루 6:3
2017-07-01,두산,7말,이현승,A,5 최진행,B,2-1,최진행/10578 : 3루수 직선타 아웃,1사  3:9
2017-07-04,넥센,9초,김상수,A,9 최진행,B,2-1,우익수 뜬공,무사 1루 5:7
2017-07-05,넥센,2초,밴헤켄,A,6 최진행,B,2-2,3루수 파울 뜬공,무사  2:0
2017-07-05,넥센,4초,밴헤켄,A,6 최진행,B,1-2,3루수 땅볼,1사  2:2
2017-07-05,넥센,5초,밴헤켄,A,6 최진행,B,2-1,중견수 안타,"2사 1,3루 4:2"
2017-07-06,넥센,9초,윤영삼,A,2 최진행,B,2-1,최진행/10578 : 삼진 아웃,무사 1루 6:13
2017-07-09,LG,2초,허프,A,6 최진행,B,1-2,2루수 땅볼,무사  1:2
2017-07-09,LG,4초,허프,A,6 최진행,B,2-1,유격수 뜬공,2사 2루 1:3
2017-07-18,NC,9말,임창민,A,8 최진행,B,1-3,볼넷,무사 1루 7:4
2017-07-19,NC,9말,최금강,A,3 최진행,B,2-2,우익수 홈런,1사 2루 13:7
2017-07-20,NC,9말,임창민,A,7 최진행,B,1-2,좌익수 홈런,무사  7:3
2017-07-21,두산,2초,니퍼트,A,7 최진행,B,1-1,좌익수 홈런,1사 1루 0:0
2017-07-21,두산,4초,니퍼트,A,7 최진행,B,2-3,좌익수 안타,1사  4:3
2017-07-21,두산,6초,니퍼트,A,7 최진행,B,2-0,스트라이크낫아웃 출루,1사  5:5
2017-07-21,두산,8초,김강률,A,7 최진행,B,2-3,볼넷,1사  6:8
2017-07-22,두산,2초,유희관,A,6 최진행,B,2-2,우익수 뜬공,1사  0:2
2017-07-22,두산,5초,유희관,A,6 최진행,B,2-2,최진행/10578 : 삼진 아웃,무사  0:10
2017-07-22,두산,7초,유희관,A,6 최진행,B,2-2,최진행/10578 : 삼진 아웃,무사 1루 0:14
2017-07-23,두산,8초,김승회,A,8 최진행,B,1-1,좌익수 안타,"1사 1,3루 4:4"
