date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,삼성,1초,페트릭,A,3 김주찬,B,2-2,1루수 뜬공,2사  0:0
2017-03-31,삼성,4초,페트릭,A,3 김주찬,B,2-0,유격수 땅볼,무사  1:0
2017-03-31,삼성,6초,페트릭,A,3 김주찬,B,2-2,3루수 땅볼,1사 2루 1:1
2017-03-31,삼성,8초,백정현,A,3 김주찬,B,0-3,볼넷,1사 1루 2:1
2017-03-31,삼성,9초,박근홍,A,3 김주찬,B,2-3,우익수 홈런,1사  6:1
2017-04-01,삼성,1초,우규민,A,3 김주찬,B,2-1,2루수 뜬공,1사 1루 0:0
2017-04-01,삼성,4초,우규민,A,3 김주찬,B,0-0,좌익수 2루타,1사  0:0
2017-04-01,삼성,6초,우규민,A,3 김주찬,B,2-1,김주찬/10239 : 삼진 아웃,1사  2:0
2017-04-01,삼성,7초,박근홍,A,3 김주찬,B,2-1,투수 땅볼,2사 1루 6:0
2017-04-02,삼성,1초,윤성환,A,3 김주찬,B,2-3,김주찬/10239 : 삼진 아웃,2사  0:0
2017-04-02,삼성,3초,윤성환,A,3 김주찬,B,0-0,3루수 땅볼,2사 1루 0:4
2017-04-02,삼성,5초,윤성환,A,3 김주찬,B,1-1,우익수 뜬공,2사  1:12
2017-04-04,SK,1말,박종훈,A,3 김주찬,B,2-1,3루수 땅볼,1사 2루 0:0
2017-04-04,SK,3말,박종훈,A,3 김주찬,B,1-2,유격수 병살타,1사 1루 1:1
2017-04-04,SK,6말,박종훈,A,3 김주찬,B,1-1,좌익수 안타,1사  1:1
2017-04-04,SK,7말,문광은,A,3 김주찬,B,1-1,유격수 땅볼,1사  1:6
2017-04-06,SK,1말,켈리,A,3 김주찬,B,1-1,중견수 뜬공,1사 2루 0:0
2017-04-06,SK,4말,켈리,A,3 김주찬,B,0-0,우익수 안타,무사  0:0
2017-04-06,SK,5말,켈리,A,3 김주찬,B,0-0,우익수 뜬공,1사 1루 0:3
2017-04-06,SK,7말,박희수,A,3 김주찬,B,0-0,유격수 땅볼,2사 2루 2:3
2017-04-07,한화,1말,비야누에바,A,3 김주찬,B,0-1,중견수 뜬공,2사  0:0
2017-04-07,한화,4말,비야누에바,A,3 김주찬,B,1-1,우익수 뜬공,무사 2루 0:0
2017-04-07,한화,6말,심수창,A,3 김주찬,B,1-0,우익수 뜬공,무사  0:4
2017-04-07,한화,8말,송창식,A,3 김주찬,B,1-2,유격수 땅볼,1사 2루 2:4
2017-04-08,한화,1말,송은범,A,3 김주찬,B,0-1,1루수 땅볼,2사  0:0
2017-04-08,한화,3말,송은범,A,3 김주찬,B,1-0,우익수 파울 뜬공,2사 2루 1:2
2017-04-08,한화,6말,송은범,A,3 김주찬,B,1-2,김주찬/10239 : 투수 직선타 아웃,1사 1루 1:2
2017-04-08,한화,8말,윤규진,A,3 김주찬,B,1-0,3루수 땅볼,"2사 1,2루 2:3"
2017-04-09,한화,1말,이태양,A,3 김주찬,B,0-0,3루수 땅볼,1사 2루 1:0
2017-04-09,한화,3말,이태양,A,3 김주찬,B,1-0,1루수 땅볼,"2사 1,2루 1:0"
2017-04-09,한화,5말,이태양,A,3 김주찬,B,1-0,중견수 뜬공,2사 1루 1:1
2017-04-09,한화,8말,장민재,A,3 김주찬,B,1-2,중견수 안타,무사  1:3
2017-04-11,두산,1초,장원준,A,3 김주찬,B,1-1,좌익수 뜬공,2사  0:0
2017-04-11,두산,3초,장원준,A,3 김주찬,B,2-3,3루수 안타,"2사 1,2루 0:3"
2017-04-11,두산,5초,장원준,A,3 김주찬,B,1-1,유격수 땅볼,무사  4:10
2017-04-12,두산,1초,함덕주,A,3 김주찬,B,2-2,2루수 뜬공,1사 1루 0:0
2017-04-12,두산,3초,함덕주,A,3 김주찬,B,1-1,3루수 땅볼 실책[실책포함],"2사 1,2루 0:0"
2017-04-12,두산,5초,함덕주,A,3 김주찬,B,1-1,중견수 뜬공,1사 2루 2:3
2017-04-12,두산,7초,홍상삼,A,3 김주찬,B,2-0,우익수 안타,무사  5:4
2017-04-12,두산,8초,안규영,A,3 김주찬,B,1-2,우익수 뜬공,"무사 1,2루 8:4"
2017-04-13,두산,9초,이현승,A,9 김주찬,B,2-2,김주찬/10239 : 삼진 아웃,무사  3:2
2017-04-14,넥센,1말,한현희,A,3 김주찬,B,1-1,유격수 땅볼,2사  0:0
2017-04-14,넥센,4말,한현희,A,3 김주찬,B,1-0,중견수 2루타,무사  0:0
2017-04-14,넥센,6말,한현희,A,3 김주찬,B,2-1,유격수 땅볼,1사  2:1
2017-04-14,넥센,8말,오설리반,A,3 김주찬,B,2-3,중견수 2루타,2사  2:2
2017-04-15,넥센,1말,최원태,A,3 김주찬,B,0-0,2루수 땅볼,"무사 1,3루 0:0"
2017-04-15,넥센,2말,최원태,A,3 김주찬,B,0-0,2루수 땅볼,1사 1루 0:4
2017-04-15,넥센,5말,최원태,A,3 김주찬,B,1-1,2루수 땅볼,무사  0:4
2017-04-15,넥센,7말,최원태,A,3 김주찬,B,2-0,유격수 병살타,1사 1루 0:5
2017-04-16,넥센,7말,김상수,A,9 김주찬,B,1-0,좌익수 안타,무사  5:4
2017-04-16,넥센,8말,이보근,A,9 김주찬,B,1-0,유격수 땅볼,"무사 1,2루 5:6"
2017-04-18,kt,1초,고영표,A,3 김주찬,B,2-1,김주찬/10239 : 삼진 아웃,2사  0:0
2017-04-18,kt,4초,고영표,A,3 김주찬,B,1-0,우익수 뜬공,무사 1루 0:0
2017-04-18,kt,5초,고영표,A,3 김주찬,B,2-1,유격수 땅볼,2사  3:0
2017-04-18,kt,7초,심재민,A,3 김주찬,B,0-1,김주찬/10239 : 좌익수 직선타 아웃,2사 1루 4:0
2017-04-18,kt,9초,이상화,A,3 김주찬,B,1-1,2루수 병살타,1사 만루 5:0
2017-04-19,kt,1초,로치,A,3 김주찬,B,2-1,유격수 땅볼,1사 2루 0:0
2017-04-19,kt,3초,로치,A,3 김주찬,B,1-0,우익수 2루타,무사  1:1
2017-04-19,kt,5초,로치,A,3 김주찬,B,0-1,3루수 땅볼,무사  1:1
2017-04-19,kt,7초,로치,A,3 김주찬,B,2-1,김주찬/10239 : 중견수 직선타 아웃,1사 1루 1:3
2017-04-19,kt,9초,김재윤,A,3 김주찬,B,1-0,유격수 땅볼,2사  1:3
2017-04-20,kt,1초,정대현,A,3 김주찬,B,2-2,유격수 땅볼,"무사 1,3루 0:0"
2017-04-20,kt,2초,정대현,A,3 김주찬,B,1-0,유격수 병살타,1사 1루 5:1
2017-04-20,kt,4초,정대현,A,3 김주찬,B,1-2,좌익수 안타,2사 3루 5:1
2017-04-20,kt,6초,주권,A,3 김주찬,B,1-1,유격수 땅볼,2사  8:2
2017-04-20,kt,9초,배제성,A,3 김주찬,B,2-3,김주찬/10239 : 삼진 아웃,무사  9:2
2017-04-21,LG,9초,신정락,A,9 김주찬,B,2-1,김주찬/10239 : 투수 직선타 아웃,2사 1루 2:6
2017-04-22,LG,1초,차우찬,A,3 김주찬,B,1-0,중견수 뜬공,1사 1루 0:0
2017-04-22,LG,3초,차우찬,A,3 김주찬,B,0-0,우익수 2루타,2사 1루 0:0
2017-04-22,LG,6초,차우찬,A,3 김주찬,B,2-1,삼진,무사  1:2
2017-04-22,LG,8초,고우석,A,3 김주찬,B,1-3,볼넷,무사  3:2
2017-04-26,삼성,8말,김현우,A,7 김주찬,B,1-3,중견수 뜬공,무사  0:7
2017-04-27,삼성,1말,최충연,A,3 김주찬,B,0-2,3루수 땅볼,2사  1:0
2017-04-27,삼성,2말,최충연,A,3 김주찬,B,0-1,2루수 인필드 뜬공,"1사 1,2루 1:5"
2017-04-27,삼성,3말,최충연,A,3 김주찬,B,1-2,3루수 땅볼,"2사 1,3루 1:9"
2017-04-27,삼성,5말,권오준,A,3 김주찬,B,0-1,몸에 맞는 볼,"1사 1,2루 5:10"
2017-04-27,삼성,6말,권오준,A,3 김주찬,B,1-1,중견수 2루타,"2사 2,3루 7:14"
2017-04-28,NC,1말,장현식,A,3 김주찬,B,0-2,우익수 뜬공,"무사 1,2루 1:0"
2017-04-28,NC,2말,이민호,A,3 김주찬,B,2-0,좌익수 안타,2사 3루 1:3
2017-04-28,NC,4말,이민호,A,3 김주찬,B,2-0,우익수 뜬공,2사 2루 1:4
2017-04-28,NC,6말,이형범,A,3 김주찬,B,0-0,유격수 땅볼,무사  2:8
2017-04-28,NC,8말,이형범,A,3 김주찬,B,0-1,좌익수 안타,2사 1루 3:8
2017-04-29,NC,1말,해커,A,3 김주찬,B,2-3,김주찬/10239 : 삼진 아웃,1사 2루 1:0
2017-04-29,NC,4말,해커,A,3 김주찬,B,2-2,유격수 땅볼,무사 2루 1:0
2017-04-29,NC,6말,해커,A,3 김주찬,B,2-0,유격수 땅볼,무사  5:3
2017-04-29,NC,8말,김진성,A,3 김주찬,B,2-0,좌익수 뜬공,무사  5:5
2017-04-29,NC,11말,임창민,A,3 김주찬,B,2-2,김주찬/10239 : 삼진 아웃,무사  5:5
2017-04-30,NC,1말,맨쉽,A,3 김주찬,B,1-0,3루수 병살타,1사 1루 0:0
2017-04-30,NC,3말,맨쉽,A,3 김주찬,B,2-1,김주찬/10239 : 삼진 아웃,2사 1루 1:1
2017-04-30,NC,6말,맨쉽,A,3 김주찬,B,0-3,볼넷,2사  4:1
2017-04-30,NC,9말,이형범,A,3 김주찬,B,1-3,볼넷,무사 1루 12:1
2017-05-02,넥센,1초,한현희,A,3 김주찬,B,0-1,중견수 안타,1사 2루 0:0
2017-05-02,넥센,2초,한현희,A,3 김주찬,B,1-1,3루수 땅볼,2사  5:1
2017-05-02,넥센,4초,한현희,A,3 김주찬,B,2-0,3루수 땅볼,"1사 1,2루 6:1"
2017-05-02,넥센,6초,박정준,A,3 김주찬,B,1-0,중견수 뜬공,1사  7:1
2017-05-02,넥센,9초,김홍빈,A,3 김주찬,B,1-0,우익수 안타,무사  7:3
2017-05-03,넥센,1초,최원태,A,3 김주찬,B,2-0,김주찬/10239 : 삼진 아웃,2사  0:0
2017-05-03,넥센,3초,최원태,A,3 김주찬,B,1-1,2루수 뜬공,"2사 1,2루 1:0"
2017-05-03,넥센,6초,최원태,A,3 김주찬,B,2-1,3루수 땅볼,무사 2루 1:0
2017-05-03,넥센,8초,김상수,A,3 김주찬,B,0-2,3루수 땅볼,1사  2:0
2017-05-04,넥센,1초,신재영,A,3 김주찬,B,2-1,김주찬/10239 : 삼진 아웃,2사  0:0
2017-05-04,넥센,4초,신재영,A,3 김주찬,B,0-0,중견수 홈런,2사  0:1
2017-05-04,넥센,6초,신재영,A,3 김주찬,B,1-0,3루수 땅볼,1사 1루 1:3
2017-05-04,넥센,8초,금민철,A,3 김주찬,B,2-3,중견수 뜬공,무사 1루 1:8
2017-05-05,롯데,1초,레일리,A,3 김주찬,B,2-0,김주찬/10239 : 삼진 아웃,2사  0:0
2017-05-05,롯데,3초,레일리,A,3 김주찬,B,2-2,유격수 뜬공,"2사 1,2루 0:0"
2017-05-05,롯데,5초,레일리,A,3 김주찬,B,0-1,좌익수 2루타,2사  2:0
2017-05-05,롯데,7초,박시영,A,3 김주찬,B,2-0,투수 땅볼,"1사 1,3루 2:2"
2017-05-05,롯데,9초,윤길현,A,3 김주찬,B,2-1,김주찬/10239 : 삼진 아웃,1사  3:3
2017-05-07,롯데,8초,장시환,A,6 김주찬,B,2-0,중견수 뜬공,1사 2루 3:3
2017-05-09,kt,1말,정대현,A,6 김주찬,B,2-1,투수 땅볼,2사 만루 0:0
2017-05-09,kt,3말,정대현,A,6 김주찬,B,0-0,좌익수 안타,무사  1:5
2017-05-09,kt,4말,정대현,A,6 김주찬,B,0-0,좌익수 뜬공,무사  1:9
2017-05-09,kt,6말,배제성,A,6 김주찬,B,1-0,3루수 땅볼,1사  3:9
2017-05-09,kt,8말,홍성용,A,6 김주찬,B,2-2,우익수 뜬공,2사 1루 4:9
2017-05-10,kt,2말,피어밴드,A,6 김주찬,B,0-0,2루수 뜬공,1사 1루 2:0
2017-05-10,kt,5말,피어밴드,A,6 김주찬,B,2-2,3루수 땅볼 실책[실책포함],무사 1루 2:0
2017-05-10,kt,7말,피어밴드,A,6 김주찬,B,2-0,김주찬/10239 : 삼진 아웃,2사  2:0
2017-05-10,kt,9말,김재윤,A,6 김주찬,B,2-1,김주찬/10239 : 삼진 아웃,2사 3루 3:0
2017-05-11,kt,2말,주권,A,6 김주찬,B,2-3,볼넷,2사  0:0
2017-05-11,kt,4말,주권,A,6 김주찬,B,2-3,2루수 뜬공,2사  4:1
2017-05-11,kt,7말,엄상백,A,6 김주찬,B,0-1,2루수 뜬공,1사  4:1
2017-05-11,kt,9말,김재윤,A,6 김주찬,B,2-0,유격수 병살타,"1사 1,3루 4:2"
2017-05-12,SK,9초,서진용,A,9 김주찬,B,2-2,우익수 뜬공,2사 2루 2:8
2017-05-13,SK,8초,박희수,A,1 김주찬,B,2-3,1루수 땅볼,2사 2루 1:3
2017-05-14,SK,1초,김태훈,A,1 김주찬,B,1-1,3루수 땅볼,무사  0:0
2017-05-14,SK,3초,김태훈,A,1 김주찬,B,2-3,좌익수 뜬공,무사  0:0
2017-05-14,SK,4초,김태훈,A,1 김주찬,B,2-1,우익수 뜬공,"2사 2,3루 2:0"
2017-05-14,SK,7초,문광은,A,1 김주찬,B,2-2,2루수 땅볼,1사  3:2
2017-05-16,LG,1말,차우찬,A,3 김주찬,B,1-3,볼넷,무사 2루 0:1
2017-05-16,LG,3말,차우찬,A,3 김주찬,B,2-2,김주찬/10239 : 삼진 아웃,무사  0:1
2017-05-16,LG,5말,차우찬,A,3 김주찬,B,2-0,김주찬/10239 : 삼진 아웃,1사 2루 2:1
2017-05-16,LG,8말,최동환,A,3 김주찬,B,1-0,유격수 땅볼,무사  2:2
2017-05-16,LG,10말,신정락,A,3 김주찬,B,1-0,유격수 땅볼,1사  2:2
2017-05-17,LG,1말,소사,A,3 김주찬,B,0-1,우익수 뜬공,2사  0:0
2017-05-17,LG,3말,소사,A,3 김주찬,B,1-0,3루수 땅볼,무사  2:3
2017-05-17,LG,4말,소사,A,3 김주찬,B,1-0,2루수 땅볼,2사 2루 2:6
2017-05-17,LG,7말,윤지웅,A,3 김주찬,B,1-3,볼넷,무사  2:6
2017-05-17,LG,8말,유재유,A,3 김주찬,B,0-0,투수 땅볼,1사  2:8
2017-05-18,LG,1말,김대현,A,3 김주찬,B,2-2,우익수 뜬공,2사  0:0
2017-05-18,LG,3말,김대현,A,3 김주찬,B,0-1,우익수 안타,1사 1루 1:1
2017-05-18,LG,4말,김대현,A,3 김주찬,B,1-1,우익수 2루타,2사  1:7
2017-05-18,LG,6말,유재유,A,3 김주찬,B,2-2,좌익수 안타,"1사 1,2루 1:7"
2017-05-18,LG,7말,유재유,A,3 김주찬,B,1-0,2루수 땅볼,2사 만루 3:9
2017-05-19,두산,1말,박치국,A,3 김주찬,B,2-2,김주찬/10239 : 삼진 아웃,2사  0:0
