date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,삼성,2초,페트릭,A,7 김주형,B,2-2,3루수 땅볼,2사  1:0
2017-03-31,삼성,5초,페트릭,A,7 김주형,B,0-0,1루수 파울 뜬공,무사  1:1
2017-03-31,삼성,7초,페트릭,A,7 김주형,B,2-1,김주형/10650 : 좌익수 직선타 아웃,무사 1루 2:1
2017-03-31,삼성,8초,김승현,A,7 김주형,B,1-1,중견수 뜬공,1사 1루 6:1
2017-04-01,삼성,2초,우규민,A,7 김주형,B,2-3,2루수 땅볼,2사  0:0
2017-04-01,삼성,4초,우규민,A,7 김주형,B,1-0,좌익수 안타,"2사 2,3루 1:0"
2017-04-01,삼성,7초,우규민,A,7 김주형,B,1-0,투수 번트 실책[실책포함],무사 1루 3:0
2017-04-01,삼성,8초,이승현,A,7 김주형,B,2-2,2루수 뜬공,무사 만루 6:0
2017-04-01,삼성,10초,심창민,A,7 김주형,B,0-0,중견수 뜬공,무사 1루 7:7
2017-04-02,삼성,2초,윤성환,A,7 김주형,B,2-0,3루수 땅볼,"1사 1,2루 0:0"
2017-04-02,삼성,4초,윤성환,A,7 김주형,B,2-2,좌익수 2루타,1사 1루 1:4
2017-04-02,삼성,6초,윤성환,A,7 김주형,B,0-0,중견수 뜬공,1사 2루 2:15
2017-04-02,삼성,8초,김승현,A,7 김주형,B,2-1,좌익수 안타,1사  3:15
2017-04-04,SK,2말,박종훈,A,8 김주형,B,1-2,3루수 파울 뜬공,1사 1루 1:1
2017-04-04,SK,5말,박종훈,A,8 김주형,B,0-0,중견수 뜬공,1사  1:1
2017-04-04,SK,6말,채병용,A,8 김주형,B,2-1,좌익수 2루타,2사 2루 1:4
2017-04-06,SK,2말,켈리,A,8 김주형,B,0-1,3루수 땅볼,2사 1루 0:0
2017-04-06,SK,4말,켈리,A,8 김주형,B,0-1,우익수 안타,"2사 2,3루 0:1"
2017-04-06,SK,6말,켈리,A,8 김주형,B,0-0,중견수 뜬공,2사 1루 1:3
2017-04-06,SK,8말,서진용,A,8 김주형,B,2-2,김주형/10650 : 삼진 아웃,1사 2루 4:5
2017-04-07,한화,3말,비야누에바,A,8 김주형,B,2-2,김주형/10650 : 삼진 아웃,무사 2루 0:0
2017-04-07,한화,5말,비야누에바,A,8 김주형,B,2-2,중견수 안타,"무사 2,3루 0:1"
