date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,넥센,2초,밴헤켄,A,9 문선재,B,2-1,유격수 땅볼,2사 2루 1:0
2017-03-31,넥센,5초,밴헤켄,A,9 문선재,B,0-0,좌익수 뜬공,무사  2:0
2017-04-06,삼성,7말,박근홍,A,1 문선재,B,0-0,우익수 뜬공,2사  0:4
2017-04-09,롯데,3초,애디튼,A,9 문선재,B,1-3,볼넷,2사  0:0
2017-04-09,롯데,5초,애디튼,A,9 문선재,B,2-1,투수 땅볼,2사  0:3
2017-04-09,롯데,7초,배장호,A,9 문선재,B,1-1,3루수 땅볼,2사  1:6
2017-05-03,NC,2말,구창모,A,7 문선재,B,2-2,문선재/10468 : 삼진 아웃,무사  0:2
2017-05-03,NC,3말,장현식,A,7 문선재,B,1-3,볼넷,1사 3루 0:5
2017-05-03,NC,5말,장현식,A,7 문선재,B,2-1,문선재/10468 : 삼진 아웃,무사  0:8
2017-05-03,NC,6말,이형범,A,7 문선재,B,2-3,볼넷,1사  0:11
2017-05-03,NC,8말,윤수호,A,7 문선재,B,2-1,유격수 땅볼,"1사 1,2루 0:12"
2017-05-04,NC,2말,이민호,A,9 문선재,B,2-1,중견수 희생플라이,"1사 1,3루 0:1"
2017-05-04,NC,4말,이민호,A,9 문선재,B,0-1,3루수 땅볼,1사  0:3
2017-05-04,NC,7말,김진성,A,9 문선재,B,0-0,우익수 뜬공,1사  3:3
2017-05-05,두산,2초,장원준,A,7 문선재,B,2-1,문선재/10468 : 삼진 아웃,1사  0:0
2017-05-05,두산,5초,장원준,A,7 문선재,B,1-2,몸에 맞는 볼,무사  0:0
2017-05-06,두산,3초,함덕주,A,7 문선재,B,1-0,좌익수 안타,무사  0:1
2017-05-06,두산,4초,함덕주,A,7 문선재,B,2-2,포수 파울 뜬공,"무사 2,3루 4:1"
2017-05-06,두산,5초,박치국,A,7 문선재,B,2-3,2루수 땅볼,2사  7:1
2017-05-06,두산,8초,박치국,A,7 문선재,B,1-0,2루수 파울 뜬공,2사  7:5
2017-09-05,KIA,1말,팻딘,A,1 문선재,B,0-0,1루수 뜬공,무사  0:0
2017-09-05,KIA,2말,팻딘,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,"2사 1,2루 0:1"
2017-09-05,KIA,5말,팻딘,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,2사  3:1
2017-09-05,KIA,8말,김윤동,A,1 문선재,B,0-1,좌익수 안타,1사  3:1
2017-09-05,KIA,9말,김세현,A,1 문선재,B,1-3,중견수 뜬공,2사 1루 3:3
2017-09-06,KIA,1말,심동섭,A,1 문선재,B,2-0,우익수 뜬공,무사  0:0
2017-09-06,KIA,2말,심동섭,A,1 문선재,B,2-2,좌익수 안타,2사  0:1
2017-09-06,KIA,4말,박진태,A,1 문선재,B,2-3,3루수 내야안타,1사  0:2
2017-09-06,KIA,5말,한승혁,A,1 문선재,B,1-0,1루수 파울 뜬공,"2사 2,3루 0:5"
2017-09-06,KIA,7말,김광수,A,1 문선재,B,0-0,중견수 뜬공,2사  0:6
2017-09-07,넥센,1초,브리검,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,무사  0:0
2017-09-07,넥센,3초,브리검,A,1 문선재,B,1-1,좌익수 2루타,1사  0:1
2017-09-07,넥센,6초,브리검,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,무사  0:1
2017-09-08,넥센,1초,김정인,A,1 문선재,B,1-1,투수 내야안타,무사  0:0
2017-09-08,넥센,2초,신재영,A,1 문선재,B,2-3,문선재/10468 : 삼진 아웃,2사  2:0
2017-09-08,넥센,5초,이영준,A,1 문선재,B,0-0,투수 희생번트,무사 1루 2:3
2017-09-08,넥센,6초,이보근,A,1 문선재,B,2-2,우익수 안타,"2사 2,3루 4:4"
2017-09-08,넥센,7초,윤영삼,A,1 문선재,B,2-3,문선재/10468 : 삼진 아웃,"2사 1,2루 9:4"
2017-09-09,두산,1말,장원준,A,1 문선재,B,1-2,중견수 뜬공,무사  2:0
2017-09-09,두산,3말,장원준,A,1 문선재,B,1-0,우익수 뜬공,무사  3:1
2017-09-09,두산,4말,장원준,A,1 문선재,B,2-2,우익수 뜬공,2사  3:3
2017-09-09,두산,6말,장원준,A,1 문선재,B,2-1,2루수 땅볼,2사  3:4
2017-09-10,두산,1말,함덕주,A,1 문선재,B,2-3,볼넷,무사  0:0
2017-09-10,두산,2말,함덕주,A,1 문선재,B,2-1,좌익수 뜬공,2사  0:1
2017-09-10,두산,4말,김명신,A,1 문선재,B,1-2,중견수 안타,"1사 1,2루 3:1"
2017-09-10,두산,6말,김강률,A,1 문선재,B,2-0,중견수 뜬공,2사 1루 3:1
2017-09-10,두산,8말,이용찬,A,1 문선재,B,2-2,문선재/10468 : 3루수 직선타 아웃,1사 만루 5:1
2017-09-12,롯데,1말,레일리,A,1 문선재,B,0-0,우익수 뜬공,무사  2:0
2017-09-12,롯데,3말,레일리,A,1 문선재,B,0-0,유격수 땅볼,2사  2:0
2017-09-12,롯데,6말,레일리,A,1 문선재,B,2-2,문선재/10468 : 삼진 아웃,무사 1루 2:0
2017-09-12,롯데,8말,레일리,A,1 문선재,B,2-3,좌익수 2루타,2사  2:0
2017-09-13,롯데,1말,박세웅,A,2 문선재,B,2-3,투수 땅볼,무사 2루 0:0
2017-09-13,롯데,3말,박세웅,A,2 문선재,B,2-3,문선재/10468 : 삼진 아웃,"1사 1,3루 0:1"
2017-09-14,kt,1초,피어밴드,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,무사  0:0
2017-09-14,kt,2초,피어밴드,A,1 문선재,B,0-0,좌익수 2루타,"2사 2,3루 2:0"
2017-09-14,kt,4초,김사율,A,1 문선재,B,1-0,좌익수 2루타,1사  5:4
2017-09-14,kt,6초,심재민,A,1 문선재,B,1-0,좌익수 2루타,무사  7:11
2017-09-14,kt,7초,주권,A,1 문선재,B,2-2,문선재/10468 : 삼진 아웃,2사 1루 8:11
2017-09-14,kt,9초,이상화,A,1 문선재,B,0-0,우익수 뜬공,1사  11:11
2017-09-15,kt,1초,정성곤,A,1 문선재,B,2-1,좌익수 안타,무사  0:0
2017-09-15,kt,3초,정성곤,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,1사 1루 0:0
2017-09-15,kt,5초,정성곤,A,1 문선재,B,0-0,문선재/10468 : 좌익수 직선타 아웃,무사  3:2
2017-09-17,한화,1말,오간도,A,1 문선재,B,1-0,3루수 땅볼,무사  0:0
2017-09-17,한화,3말,오간도,A,1 문선재,B,1-3,볼넷,1사 1루 0:0
2017-09-17,한화,4말,오간도,A,1 문선재,B,2-0,우익수 안타,2사 2루 0:3
2017-09-17,한화,6말,오간도,A,1 문선재,B,2-1,투수 내야안타,2사 1루 0:4
2017-09-17,한화,7말,박상원,A,1 문선재,B,2-3,볼넷,1사 만루 0:7
2017-09-19,kt,3말,류희운,A,9 문선재,B,2-2,문선재/10468 : 삼진 아웃,무사  0:1
2017-09-19,kt,5말,류희운,A,9 문선재,B,0-0,투수 희생번트,무사 1루 0:1
2017-09-19,kt,6말,김사율,A,9 문선재,B,1-1,좌익수 뜬공,2사  0:3
2017-09-21,삼성,9초,심창민,A,1 문선재,B,2-3,볼넷,2사 1루 4:8
2017-09-22,삼성,1초,백정현,A,1 문선재,B,2-3,3루수 땅볼,무사  0:0
2017-09-22,삼성,3초,백정현,A,1 문선재,B,0-0,유격수 땅볼 실책[실책포함],2사 1루 0:0
2017-09-22,삼성,5초,백정현,A,1 문선재,B,0-1,좌익수 홈런,2사 3루 0:0
2017-09-22,삼성,7초,임대한,A,1 문선재,B,1-1,좌익수 번트안타,무사 1루 4:1
2017-09-22,삼성,8초,김시현,A,1 문선재,B,0-1,우익수 뜬공,"1사 1,2루 5:3"
2017-09-23,NC,1초,맨쉽,A,1 문선재,B,1-3,볼넷,무사  0:0
2017-09-23,NC,2초,정수민,A,1 문선재,B,0-0,문선재/10468 : 3루수 직선타 아웃,무사  3:3
2017-09-23,NC,4초,정수민,A,1 문선재,B,1-0,3루수 땅볼,2사  3:5
2017-09-23,NC,5초,김진성,A,1 문선재,B,2-0,중견수 안타,"2사 1,2루 7:5"
2017-09-23,NC,7초,민태호,A,1 문선재,B,1-2,좌익수 안타,1사  10:6
2017-09-23,NC,9초,이민호,A,1 문선재,B,0-1,중견수 뜬공,무사 2루 11:7
2017-09-24,NC,1초,해커,A,1 문선재,B,2-0,문선재/10468 : 삼진 아웃,무사  0:0
2017-09-24,NC,3초,해커,A,1 문선재,B,2-1,2루수 뜬공,2사  1:0
2017-09-24,NC,6초,해커,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,1사  1:0
2017-09-26,KIA,1초,양현종,A,1 문선재,B,2-2,우익수 안타,무사  0:0
2017-09-26,KIA,3초,양현종,A,1 문선재,B,2-1,문선재/10468 : 삼진 아웃,1사 1루 0:0
