date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-04-05,LG,8말,진해수,A,2 박찬호,B,2-2,유격수 땅볼,무사  1:4
2016-04-21,삼성,8말,백정현,A,4 박찬호,B,1-1,1루수 땅볼,2사 2루 8:0
2016-04-23,롯데,6초,박진형,A,9 박찬호,B,2-2,투수 땅볼,2사 1루 12:4
2016-04-23,롯데,8초,김성배,A,9 박찬호,B,2-2,2루수 땅볼,2사  15:7
2016-04-28,한화,9초,정우람,A,7 박찬호,B,2-2,박찬호/11261 : 삼진 아웃,무사  2:2
2016-06-12,삼성,2말,차우찬,A,9 박찬호,B,2-1,2루수 내야안타,1사 만루 0:0
2016-06-12,삼성,4말,차우찬,A,9 박찬호,B,2-1,2루수 병살타,1사 1루 3:4
2016-06-16,두산,8말,진야곱,A,8 박찬호,B,2-2,박찬호/11261 : 삼진 아웃,1사 2루 11:4
2016-06-21,롯데,6말,김성배,A,8 박찬호,B,0-0,중견수 뜬공,1사 2루 5:9
2016-06-21,롯데,8말,홍성민,A,8 박찬호,B,1-2,3루수 땅볼,2사  6:9
2016-06-22,롯데,8말,박시영,A,6 박찬호,B,2-1,박찬호/11261 : 삼진 아웃,2사  16:4
2016-06-25,NC,6초,원종현,A,9 박찬호,B,2-1,1루수 땅볼 실책[실책포함],1사 만루 3:0
2016-06-25,NC,7초,김선규,A,9 박찬호,B,1-3,볼넷,"2사 2,3루 8:0"
2016-06-25,NC,9초,민태호,A,9 박찬호,B,2-3,볼넷,1사  9:0
2016-07-12,SK,8말,전유수,A,9 박찬호,B,2-2,박찬호/11261 : 삼진 아웃,2사  2:3
2016-07-21,롯데,9초,홍성민,A,6 박찬호,B,1-1,우익수 안타,1사  1:10
2016-07-26,kt,8말,이상화,A,5 박찬호,B,2-2,중견수 안타,1사 2루 0:13
2016-07-28,kt,8말,홍성용,A,8 박찬호,B,1-1,중견수 안타,1사  3:8
2016-08-02,한화,9말,정우람,A,9 박찬호,B,2-2,우익수 안타,2사 만루 9:9
