date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-05-14,삼성,3초,최지광,A,9 유재신,B,2-1,3루수 땅볼,1사  0:1
2017-05-14,삼성,4초,최지광,A,9 유재신,B,2-2,유재신/10401 : 삼진 아웃,"2사 2,3루 2:1"
2017-05-14,삼성,6초,김승현,A,9 유재신,B,0-1,2루수 땅볼,2사  4:3
2017-05-14,삼성,9초,장필준,A,9 유재신,B,2-2,투수 땅볼,1사  5:3
2017-06-03,두산,8말,김성배,A,6 유재신,B,2-2,우익수 안타,"1사 1,2루 5:8"
2017-06-04,두산,2말,함덕주,A,9 유재신,B,2-3,우익수 안타,1사 1루 0:1
2017-06-04,두산,3말,이영하,A,9 유재신,B,1-0,1루수 땅볼,2사 만루 0:1
2017-06-08,SK,9초,김대유,A,6 유재신,B,1-2,중견수 안타,"2사 1,3루 5:2"
2017-06-09,KIA,9초,임창용,A,9 유재신,B,2-1,유재신/10401 : 삼진 아웃,"무사 1,2루 4:4"
2017-06-10,KIA,8초,한승혁,A,6 유재신,B,2-2,유재신/10401 : 삼진 아웃,"2사 2,3루 8:2"
2017-06-13,NC,9말,최성영,A,1 유재신,B,2-0,1루수 파울 뜬공,무사  14:5
2017-06-14,NC,8말,최성영,A,9 유재신,B,0-2,우익수 뜬공,무사  4:8
2017-07-06,한화,8말,강승현,A,5 유재신,B,2-1,삼진,무사 2루 6:12
2017-07-07,삼성,9초,권오준,A,6 유재신,B,2-3,3루수 땅볼,2사 1루 9:2
2017-07-08,삼성,9초,김대우,A,6 유재신,B,2-0,유재신/10401 : 삼진 아웃,2사 3루 10:8
2017-08-19,SK,7말,임준혁,A,7 유재신,B,1-3,볼넷,2사  13:0
2017-08-19,SK,9말,정영일,A,7 유재신,B,2-2,중견수 안타,2사  13:1
2017-08-26,NC,9초,윤수호,A,1 유재신,B,0-1,좌익수 뜬공,2사 1루 8:3
2017-09-28,한화,9초,박상원,A,9 유재신,B,0-0,1루수 희생번트,무사 1루 6:4
2017-10-01,kt,8초,조무근,A,4 유재신,B,2-0,삼진,2사 1루 2:20
2016-04-02,롯데,2말,레일리,A,9 유재신,B,0-1,중견수 안타,2사  0:2
2016-04-02,롯데,5말,레일리,A,9 유재신,B,2-0,2루수 땅볼,2사  0:2
2016-04-03,롯데,6말,김성배,A,2 유재신,B,1-1,유격수 땅볼,"2사 1,2루 1:5"
2016-04-09,두산,10초,김강률,A,2 유재신,B,0-0,1루수 희생번트,무사 1루 9:9
2016-04-09,두산,12초,정재훈,A,2 유재신,B,2-1,3루수 땅볼,1사  9:9
2016-04-10,두산,1초,장원준,A,2 유재신,B,0-0,1루수 파울 뜬공,1사  0:0
2016-04-10,두산,4초,장원준,A,2 유재신,B,2-2,유재신/10401 : 삼진 아웃,무사  0:1
2016-04-10,두산,6초,장원준,A,2 유재신,B,2-0,유재신/10401 : 삼진 아웃,무사  1:4
2016-04-19,SK,9초,박민호,A,9 유재신,B,1-0,좌익수 뜬공,무사  3:1
2016-04-24,LG,9말,임정우,A,3 유재신,B,2-1,유재신/10401 : 삼진 아웃,2사  5:3
2016-04-28,NC,9초,최금강,A,9 유재신,B,2-2,좌익수 뜬공,1사  4:2
2016-04-29,SK,3말,세든,A,9 유재신,B,2-1,유재신/10401 : 삼진 아웃,무사  1:1
2016-04-29,SK,4말,세든,A,9 유재신,B,2-3,볼넷,"2사 2,3루 3:3"
2016-04-29,SK,7말,세든,A,9 유재신,B,2-0,1루수 파울 뜬공,무사  4:3
2016-04-30,SK,2말,김광현,A,9 유재신,B,0-1,유격수 땅볼,2사  2:1
2016-04-30,SK,5말,김광현,A,9 유재신,B,1-3,볼넷,2사  5:1
2016-04-30,SK,8말,채병용,A,9 유재신,B,0-1,중견수 안타,무사  5:1
2016-05-01,SK,2말,켈리,A,9 유재신,B,2-1,유격수 뜬공,2사  1:2
2016-05-01,SK,5말,켈리,A,9 유재신,B,1-1,중견수 안타,1사 1루 1:2
2016-05-01,SK,6말,정영일,A,9 유재신,B,1-3,볼넷,2사 3루 1:4
2016-05-01,SK,7말,전유수,A,9 유재신,B,1-2,우익수 뜬공,2사 1루 1:9
2016-05-04,삼성,9초,임대한,A,9 유재신,B,1-1,유격수 땅볼,1사  6:3
2016-05-05,삼성,3초,장원삼,A,8 유재신,B,2-1,2루수 땅볼,1사  0:1
2016-05-05,삼성,6초,장원삼,A,8 유재신,B,1-3,중견수 뜬공,무사  1:5
2016-05-06,KIA,7말,정용운,A,4 유재신,B,2-1,유격수 땅볼,1사  4:14
2016-05-06,KIA,8말,박준표,A,4 유재신,B,2-3,볼넷,"2사 1,3루 5:15"
2016-05-07,KIA,2말,양현종,A,9 유재신,B,1-0,3루수 땅볼,2사 3루 0:1
2016-05-07,KIA,4말,양현종,A,9 유재신,B,1-0,2루수 땅볼,1사  2:2
2016-05-07,KIA,7말,양현종,A,9 유재신,B,1-0,유격수 뜬공,무사  3:3
2016-05-08,KIA,9말,홍건희,A,3 유재신,B,2-3,중견수 뜬공,"무사 1,2루 6:6"
2016-05-11,롯데,8초,박시영,A,6 유재신,B,2-3,투수 땅볼,"2사 1,2루 14:2"
2016-05-14,두산,9말,홍영현,A,1 유재신,B,2-2,유격수 땅볼,"1사 1,2루 12:2"
2016-05-27,kt,8초,주권,A,9 유재신,B,2-2,유격수 땅볼,"2사 1,2루 0:8"
2016-05-29,kt,3초,정대현,A,9 유재신,B,1-3,볼넷,무사  0:0
2016-05-29,kt,5초,정대현,A,9 유재신,B,2-2,유재신/10401 : 삼진 아웃,2사  0:0
2016-05-29,kt,7초,정대현,A,9 유재신,B,0-2,유격수 땅볼,2사  3:0
2016-05-29,kt,9초,조무근,A,9 유재신,B,1-2,우익수 뜬공,2사 2루 5:1
2016-06-03,KIA,7초,박준표,A,2 유재신,B,2-2,유재신/10401 : 삼진 아웃,무사 2루 4:0
2016-06-03,KIA,8초,한기주,A,2 유재신,B,2-3,볼넷,2사  9:1
2016-06-05,KIA,9초,김광수,A,6 유재신,B,2-2,중견수 뜬공,무사  4:3
2016-06-09,NC,7초,최성영,A,3 유재신,B,0-2,좌익수 안타,"2사 1,3루 3:16"
2016-06-10,kt,10말,심재민,A,4 유재신,B,0-1,중견수 안타,1사  4:4
2016-06-12,kt,8말,최원재,A,7 유재신,B,1-0,우익수 안타,"1사 1,3루 1:4"
2016-06-15,롯데,8말,홍성민,A,3 유재신,B,0-1,중견수 안타,2사 2루 11:5
2016-06-18,한화,8초,이동걸,A,2 유재신,B,2-3,볼넷,1사  7:5
2016-06-18,한화,9초,이재우,A,2 유재신,B,1-0,3루수 땅볼,2사  11:6
2016-06-19,한화,9초,정대훈,A,7 유재신,B,2-1,유재신/10401 : 삼진 아웃,무사  11:5
2016-06-21,삼성,8말,권오준,A,7 유재신,B,1-0,중견수 안타,1사 3루 8:11
2016-06-22,삼성,7말,윤성환,A,7 유재신,B,0-0,3루수 번트 아웃,무사 2루 0:3
2016-06-25,LG,9초,이동현,A,8 유재신,B,2-3,우익수 안타,무사 2루 6:5
2016-06-25,LG,10초,임정우,A,8 유재신,B,2-1,좌익수 안타,"2사 1,2루 7:6"
2016-06-26,LG,3초,류제국,A,9 유재신,B,2-3,유재신/10401 : 삼진 아웃,무사  1:2
2016-06-26,LG,6초,류제국,A,9 유재신,B,0-1,우익수 안타,무사  1:2
2016-06-28,한화,9말,장민재,A,1 유재신,B,1-0,투수 땅볼,무사  13:3
2016-07-01,KIA,7말,이준영,A,8 유재신,B,2-3,투수 땅볼,무사  2:10
2016-07-02,KIA,7말,최영필,A,8 유재신,B,2-1,우익수 안타,1사 1루 5:8
2016-07-03,KIA,9말,임창용,A,4 유재신,B,2-3,볼넷,2사 2루 6:4
2016-07-03,KIA,11말,한기주,A,4 유재신,B,0-0,3루수 번트안타,"무사 1,2루 6:6"
2016-07-13,kt,9초,김재윤,A,5 유재신,B,1-0,투수 야수선택(희번)[실책포함],"무사 1,2루 10:8"
2016-07-14,kt,9초,채선관,A,4 유재신,B,0-2,우익수 안타,1사 1루 9:5
