date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-04-02,NC,8초,강장산,A,7 윤해진,B,1-1,투수 희생번트,무사 1루 4:1
2016-04-05,LG,3말,류제국,A,9 윤해진,B,2-1,윤완주/10816 : 삼진 아웃,2사  1:0
2016-04-14,SK,8초,신재웅,A,1 윤해진,B,2-1,윤완주/10816 : 삼진 아웃,"1사 1,2루 6:4"
2016-04-19,삼성,8말,김대우,A,7 윤해진,B,1-1,우익수 안타,2사 1루 1:3
2016-04-21,삼성,9말,장필준,A,5 윤해진,B,2-0,윤완주/10816 : 삼진 아웃,무사  8:0
2016-04-23,롯데,9초,김성배,A,3 윤해진,B,0-0,중견수 안타,1사 1루 15:9
2016-04-24,롯데,8초,김유영,A,7 윤해진,B,1-0,3루수 땅볼,1사  11:2
2016-04-26,한화,9초,정우람,A,9 윤해진,B,2-3,윤완주/10816 : 삼진 아웃,1사 2루 2:4
2016-04-28,한화,11초,권혁,A,7 윤해진,B,2-0,윤완주/10816 : 삼진 아웃,무사  2:2
2016-04-30,두산,2말,장원준,A,9 윤해진,B,2-0,유격수 땅볼,2사 3루 1:2
2016-04-30,두산,5말,장원준,A,9 윤해진,B,1-2,좌익수 홈런,1사  5:2
2016-05-01,두산,9말,이현승,A,6 윤해진,B,0-0,유격수 땅볼,무사  4:1
2016-05-04,롯데,6말,이명우,A,6 윤해진,B,1-2,3루수 땅볼,무사  2:2
2016-05-04,롯데,8말,윤길현,A,6 윤해진,B,1-2,1루수 번트 아웃,1사 1루 2:2
2016-05-05,롯데,5말,김성배,A,6 윤해진,B,1-3,볼넷,2사  0:13
2016-05-05,롯데,7말,김성배,A,6 윤해진,B,0-0,중견수 안타,2사  1:13
2016-05-05,롯데,8말,박진형,A,6 윤해진,B,2-3,3루수 땅볼,1사  1:17
2016-05-06,넥센,2초,피어밴드,A,8 윤해진,B,0-0,우익수 안타,2사  2:6
2016-05-06,넥센,4초,피어밴드,A,8 윤해진,B,2-1,투수 땅볼,1사 3루 2:11
2016-05-06,넥센,6초,피어밴드,A,8 윤해진,B,1-0,우익수 뜬공,2사 2루 3:13
2016-05-06,넥센,8초,정회찬,A,8 윤해진,B,0-0,2루수 땅볼,2사  5:14
2016-05-14,한화,8말,김용주,A,3 윤해진,B,1-0,유격수 땅볼,1사  0:8
2016-05-15,한화,6말,윤규진,A,6 윤해진,B,2-3,볼넷,"2사 2,3루 5:6"
2016-06-22,롯데,8말,박시영,A,4 윤해진,B,0-0,유격수 땅볼,무사  16:4
