date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2015-05-03,NC,2말,이태양,A,8 이창진,B,1-0,우익수 파울 뜬공,1사 1루 2:2
2015-05-03,NC,4말,이재학,A,8 이창진,B,2-1,이창진/11233 : 삼진 아웃,2사  5:2
2015-05-03,NC,7말,임정호,A,8 이창진,B,1-1,포수 땅볼,무사 1루 11:2
2015-05-03,NC,9말,임창민,A,8 이창진,B,0-0,이창진/11233 : 중견수 직선타 아웃,2사  11:2
2015-05-05,한화,9초,박정진,A,5 이창진,B,0-2,우익수 뜬공,무사  8:15
2015-05-07,한화,6초,박정진,A,9 이창진,B,2-0,이창진/11233 : 삼진 아웃,2사 1루 4:3
2015-05-10,LG,9말,봉중근,A,8 이창진,B,2-3,볼넷,2사  6:2
2015-05-14,KIA,9초,최영필,A,5 이창진,B,2-1,중견수 안타,2사  2:10
2015-05-15,롯데,12말,김성배,A,7 이창진,B,2-2,이창진/11233 : 삼진 아웃,2사 만루 11:10
2015-05-29,두산,1말,장원준,A,6 이창진,B,2-2,이창진/11233 : 삼진 아웃,2사 1루 2:2
2015-05-29,두산,4말,장원준,A,6 이창진,B,0-0,좌익수 뜬공,1사  2:2
2015-05-29,두산,6말,장원준,A,6 이창진,B,2-2,이창진/11233 : 삼진 아웃,2사  2:2
2015-06-21,KIA,7초,양현종,A,8 이창진,B,0-0,1루수 뜬공,"2사 1,3루 0:7"
2015-08-05,삼성,8말,김건한,A,6 이창진,B,2-0,중견수 안타,1사 1루 11:1
2015-08-06,KIA,8초,임기준,A,8 이창진,B,1-2,1루수 땅볼,1사 3루 6:2
2015-08-08,SK,2초,김광현,A,9 이창진,B,1-0,좌익수 2루타,무사  3:0
2015-08-08,SK,3초,김광현,A,9 이창진,B,1-1,2루수 땅볼,2사 2루 5:3
2015-08-08,SK,5초,김광현,A,9 이창진,B,2-1,이창진/11233 : 삼진 아웃,1사 3루 7:3
2015-08-08,SK,8초,신재웅,A,9 이창진,B,2-2,2루수 뜬공,무사  7:10
2015-08-08,SK,9초,정우람,A,9 이창진,B,2-0,2루수 땅볼,2사 만루 8:11
2014-08-12,넥센,8말,김세현,A,6 이창진,B,1-0,좌익수 왼쪽 2루타,2사 1루 10:1
2014-10-14,넥센,9말,송신영,A,4 이창진,B,2-2,삼진,1사  12:4
