date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-07-08,kt,4초,배제성,A,2 최정민,B,0-1,중견수 안타,무사 1루 13:0
2017-07-08,kt,5초,배우열,A,2 최정민,B,2-2,최정민/10808 : 삼진 아웃,2사 2루 16:0
2017-07-08,kt,7초,주권,A,2 최정민,B,1-0,2루수 땅볼,2사 2루 17:3
2017-07-08,kt,9초,류희운,A,2 최정민,B,2-2,중견수 2루타,1사 2루 19:8
2017-07-26,SK,10말,김주한,A,9 최정민,B,2-0,최정민/10808 : 삼진 아웃,"2사 1,3루 7:7"
2017-08-19,SK,3말,문승원,A,8 최정민,B,2-2,최정민/10808 : 삼진 아웃,1사  11:0
2017-08-19,SK,5말,문승원,A,8 최정민,B,1-1,좌익수 안타,2사  11:0
2017-08-19,SK,7말,임준혁,A,8 최정민,B,2-2,삼진,2사 1루 13:0
2017-08-19,SK,9말,정영일,A,8 최정민,B,0-0,유격수 땅볼,2사 1루 13:1
2016-04-19,넥센,7말,김상수,A,9 최정민,B,2-1,삼진,무사  2:1
2016-04-20,넥센,2말,양훈,A,8 최정민,B,0-2,중견수 뜬공,1사  0:2
2016-04-20,넥센,4말,양훈,A,8 최정민,B,2-2,좌익수 2루타,1사  0:4
2016-04-20,넥센,6말,하영민,A,8 최정민,B,2-1,좌익수 안타,무사 3루 0:7
2016-04-20,넥센,8말,하영민,A,8 최정민,B,1-2,중견수 안타,무사 2루 0:8
2016-04-21,넥센,3말,코엘로,A,8 최정민,B,1-0,좌익수 안타,무사 1루 2:0
2016-04-21,넥센,5말,코엘로,A,8 최정민,B,1-1,3루수 번트안타,무사  2:3
2016-04-21,넥센,7말,마정길,A,8 최정민,B,0-1,1루수 땅볼,1사  2:3
2016-04-22,NC,3말,이태양,A,8 최정민,B,0-2,중견수 안타,무사  2:0
2016-04-22,NC,5말,이태양,A,8 최정민,B,0-0,1루수 번트 아웃,1사  2:2
2016-04-23,NC,2말,이민호,A,8 최정민,B,2-0,최정민/10808 : 삼진 아웃,무사 만루 2:0
2016-04-23,NC,3말,이민호,A,8 최정민,B,2-3,몸에 맞는 볼,"1사 1,2루 2:4"
2016-04-23,NC,5말,정수민,A,8 최정민,B,2-1,최정민/10808 : 삼진 아웃,무사  2:8
2016-04-23,NC,7말,정수민,A,8 최정민,B,1-0,유격수 땅볼 실책[실책포함],1사  2:8
2016-04-24,NC,3말,해커,A,8 최정민,B,1-1,중견수 안타,무사  0:0
2016-04-24,NC,5말,해커,A,8 최정민,B,2-2,최정민/10808 : 삼진 아웃,무사  1:1
2016-04-24,NC,7말,해커,A,8 최정민,B,2-1,투수 내야안타,무사  2:2
2016-04-26,두산,2초,니퍼트,A,8 최정민,B,2-0,최정민/10808 : 삼진 아웃,1사 1루 1:0
2016-04-26,두산,4초,니퍼트,A,8 최정민,B,0-0,포수 번트 실책[실책포함],무사 1루 1:0
2016-04-26,두산,5초,니퍼트,A,8 최정민,B,2-0,최정민/10808 : 삼진 아웃,2사 만루 1:0
2016-04-26,두산,8초,오현택,A,8 최정민,B,0-0,우익수 안타,무사  2:3
2016-04-27,두산,3초,허준혁,A,8 최정민,B,2-1,1루수 땅볼,무사  0:0
2016-04-27,두산,5초,허준혁,A,8 최정민,B,2-1,투수 땅볼,1사  1:0
2016-04-27,두산,7초,함덕주,A,8 최정민,B,0-0,우익수 희생플라이,1사 3루 2:0
2016-04-28,두산,1초,유희관,A,2 최정민,B,1-0,투수 희생번트,무사 1루 0:0
2016-04-28,두산,3초,유희관,A,2 최정민,B,2-1,2루수 땅볼,무사  1:0
2016-04-28,두산,5초,유희관,A,2 최정민,B,2-3,최정민/10808 : 삼진 아웃,1사  1:0
2016-04-28,두산,8초,정재훈,A,2 최정민,B,2-3,몸에 맞는 볼,무사  1:1
2016-04-29,넥센,3초,신재영,A,8 최정민,B,0-0,중견수 안타,무사  0:1
2016-04-29,넥센,4초,신재영,A,8 최정민,B,2-0,최정민/10808 : 삼진 아웃,2사 2루 3:1
2016-04-29,넥센,6초,신재영,A,8 최정민,B,0-1,중견수 뜬공,2사 1루 3:3
2016-04-29,넥센,9초,김상수,A,8 최정민,B,2-2,최정민/10808 : 삼진 아웃,무사  4:3
2016-04-30,넥센,2초,피어밴드,A,8 최정민,B,0-0,유격수 땅볼 실책[실책포함],1사 1루 2:1
2016-04-30,넥센,4초,피어밴드,A,8 최정민,B,1-3,볼넷,1사  2:1
2016-04-30,넥센,5초,피어밴드,A,8 최정민,B,2-0,최정민/10808 : 3루수 직선타 아웃,1사 2루 5:1
2016-04-30,넥센,7초,하영민,A,8 최정민,B,2-1,좌익수 안타,2사 1루 5:1
2016-05-01,넥센,2초,박주현,A,8 최정민,B,0-0,1루수 번트 아웃,2사 3루 1:2
2016-05-01,넥센,5초,박주현,A,8 최정민,B,1-2,투수 희생번트,무사 1루 1:2
2016-05-01,넥센,8초,이보근,A,8 최정민,B,2-1,최정민/10808 : 삼진 아웃,무사  1:9
2016-05-03,한화,3말,송은범,A,7 최정민,B,2-3,좌익수 안타,무사  2:0
2016-05-03,한화,4말,송은범,A,7 최정민,B,2-3,몸에 맞는 볼,2사 만루 3:0
2016-05-03,한화,7말,송창식,A,7 최정민,B,0-2,중견수 뜬공,무사  7:1
2016-05-03,한화,9말,권혁,A,7 최정민,B,0-0,중견수 안타,1사 1루 7:1
2016-05-04,한화,1말,장민재,A,8 최정민,B,0-0,우익수 안타,2사 1루 0:4
2016-05-04,한화,3말,장민재,A,8 최정민,B,0-1,투수 번트안타,2사 1루 1:4
2016-05-04,한화,6말,박정진,A,8 최정민,B,0-1,투수 번트안타,무사  1:4
2016-05-04,한화,7말,윤규진,A,8 최정민,B,2-1,2루수 땅볼,"1사 1,2루 1:4"
2016-05-05,한화,2말,안영명,A,8 최정민,B,2-3,2루수 땅볼 실책[실책포함],무사 1루 0:2
2016-05-05,한화,3말,안영명,A,8 최정민,B,0-2,중견수 안타,무사 1루 0:6
2016-05-05,한화,4말,이재우,A,8 최정민,B,2-1,삼진,무사  4:13
2016-05-05,한화,5말,이재우,A,8 최정민,B,2-0,2루수 땅볼,"1사 1,2루 5:15"
2016-05-06,삼성,2초,윤성환,A,8 최정민,B,2-1,최정민/10808 : 삼진 아웃,"1사 1,2루 1:0"
2016-05-06,삼성,5초,윤성환,A,8 최정민,B,0-0,3루수 희생번트,무사 2루 1:1
2016-05-06,삼성,7초,윤성환,A,8 최정민,B,2-1,중견수 뜬공,1사  4:3
2016-05-06,삼성,9초,심창민,A,8 최정민,B,2-2,최정민/10808 : 삼진 아웃,2사  4:5
2016-05-07,삼성,2초,웹스터,A,8 최정민,B,0-0,2루수 땅볼,"1사 2,3루 0:2"
2016-05-07,삼성,3초,웹스터,A,8 최정민,B,1-3,볼넷,"2사 1,2루 4:2"
2016-05-07,삼성,5초,웹스터,A,8 최정민,B,1-3,볼넷,무사  5:2
