date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-01,삼성,10초,심창민,A,8 한승택,B,2-0,좌익수 안타,1사 1루 7:7
2017-04-02,삼성,9초,장지훈,A,2 한승택,B,2-3,삼진,무사  3:16
2017-04-04,SK,2말,박종훈,A,9 한승택,B,2-3,3루수 땅볼,2사 1루 1:1
2017-04-04,SK,5말,박종훈,A,9 한승택,B,2-3,볼넷,2사  1:1
2017-04-04,SK,6말,채병용,A,9 한승택,B,0-0,유격수 땅볼 실책[실책포함],2사 2루 1:5
2017-04-06,SK,3말,켈리,A,9 한승택,B,2-1,투수 땅볼,무사  0:0
2017-04-06,SK,4말,켈리,A,9 한승택,B,2-0,한승택/11119 : 삼진 아웃,2사 1루 0:3
2017-04-06,SK,7말,박희수,A,9 한승택,B,2-3,볼넷,무사  2:3
2017-04-06,SK,8말,서진용,A,9 한승택,B,2-0,우익수 안타,2사 2루 4:5
2017-04-07,한화,3말,비야누에바,A,9 한승택,B,2-1,2루수 땅볼,1사 2루 0:0
2017-04-07,한화,5말,비야누에바,A,9 한승택,B,0-1,투수 희생번트,무사 1루 0:3
2017-04-07,한화,7말,심수창,A,9 한승택,B,2-0,한승택/11119 : 삼진 아웃,2사  0:4
2017-04-11,두산,3초,장원준,A,9 한승택,B,1-0,좌익수 안타,1사  0:3
2017-04-11,두산,4초,장원준,A,9 한승택,B,2-3,2루수 안타,"1사 1,2루 2:7"
2017-04-11,두산,7초,김승회,A,9 한승택,B,2-3,우익수 뜬공,무사  4:15
2017-04-12,두산,7초,홍상삼,A,9 한승택,B,2-3,유격수 땅볼,2사 3루 8:4
2017-04-29,NC,9말,원종현,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,2사  5:5
2017-05-05,롯데,3초,레일리,A,8 한승택,B,2-0,우익수 안타,무사  0:0
2017-05-05,롯데,4초,레일리,A,8 한승택,B,0-1,3루수 땅볼,1사 1루 2:0
2017-05-05,롯데,6초,레일리,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,2사 1루 2:2
2017-05-10,kt,3말,피어밴드,A,9 한승택,B,2-1,한승택/11119 : 삼진 아웃,1사  2:0
2017-05-13,SK,10초,채병용,A,1 한승택,B,2-1,한승택/11119 : 삼진 아웃,2사  3:3
2017-05-20,두산,3말,유희관,A,8 한승택,B,2-1,삼진,무사  2:0
2017-05-26,롯데,8말,애디튼,A,8 한승택,B,2-0,한승택/11119 : 삼진 아웃,무사 1루 8:1
2017-05-30,NC,9초,원종현,A,8 한승택,B,2-2,유격수 땅볼,"2사 1,3루 9:7"
2017-06-10,넥센,9말,오윤성,A,3 한승택,B,1-3,볼넷,2사  8:4
2017-06-11,넥센,2말,밴헤켄,A,8 한승택,B,2-1,3루수 땅볼,1사  2:1
2017-06-11,넥센,4말,밴헤켄,A,8 한승택,B,0-1,포수 번트 실책[실책포함],무사 1루 2:1
2017-06-11,넥센,5말,하영민,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,2사  2:4
2017-06-13,롯데,9초,윤길현,A,8 한승택,B,2-1,1루수 땅볼,2사 2루 10:7
2017-06-15,롯데,2초,김원중,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,2사  0:0
2017-06-15,롯데,4초,김원중,A,8 한승택,B,0-0,좌익수 뜬공,2사  2:0
2017-06-15,롯데,6초,김원중,A,8 한승택,B,2-2,우익수 안타,1사 1루 2:0
2017-06-15,롯데,7초,강동호,A,8 한승택,B,2-2,우익수 뜬공,1사  7:0
2017-06-17,LG,2말,소사,A,8 한승택,B,2-2,3루수 땅볼,2사  2:0
2017-06-17,LG,4말,소사,A,8 한승택,B,0-0,투수 땅볼,2사  3:3
2017-06-21,두산,7말,전용훈,A,1 한승택,B,1-0,2루수 뜬공,2사  8:17
2017-06-22,두산,2말,함덕주,A,8 한승택,B,2-3,중견수 안타,1사 3루 0:1
2017-06-22,두산,4말,함덕주,A,8 한승택,B,1-2,유격수 땅볼,무사  3:4
2017-06-23,NC,3초,구창모,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,무사 1루 0:1
2017-06-28,삼성,7말,김동호,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,2사  3:12
2017-06-29,삼성,8말,김동호,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,"무사 1,2루 1:20"
2017-07-01,LG,2초,허프,A,8 한승택,B,2-0,한승택/11119 : 삼진 아웃,2사  1:0
2017-07-04,SK,9초,서진용,A,9 한승택,B,2-3,볼넷,무사  15:4
2017-07-05,SK,2초,다이아몬드,A,9 한승택,B,2-1,한승택/11119 : 삼진 아웃,"1사 1,2루 0:4"
2017-07-05,SK,4초,다이아몬드,A,9 한승택,B,2-2,우익수 안타,2사 3루 0:8
2017-07-08,kt,9초,류희운,A,8 한승택,B,0-2,몸에 맞는 볼,1사  17:8
2017-07-20,넥센,2초,밴헤켄,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,1사  2:0
2017-07-20,넥센,3초,밴헤켄,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,1사 1루 5:0
2017-07-20,넥센,5초,밴헤켄,A,8 한승택,B,0-1,우익수 뜬공,2사 1루 5:3
2017-07-26,SK,10말,김주한,A,8 한승택,B,0-0,투수 안타,2사 1루 7:7
2017-07-28,두산,2초,유희관,A,8 한승택,B,1-0,유격수 땅볼,"1사 2,3루 1:0"
2017-07-28,두산,4초,유희관,A,8 한승택,B,2-0,한승택/11119 : 삼진 아웃,"2사 1,3루 1:0"
2017-07-28,두산,6초,유희관,A,8 한승택,B,0-0,우익수 뜬공,2사  2:1
2017-07-30,두산,2초,장원준,A,8 한승택,B,2-3,유격수 땅볼,2사 1루 1:1
2017-07-30,두산,5초,장원준,A,8 한승택,B,1-1,좌익수 안타,2사  1:5
2017-08-05,한화,2초,김범수,A,9 한승택,B,2-2,한승택/11119 : 좌익수 직선타 아웃,1사  1:1
2017-08-05,한화,4초,김범수,A,9 한승택,B,2-3,볼넷,2사  2:1
2017-08-05,한화,6초,정재원,A,9 한승택,B,2-2,한승택/11119 : 삼진 아웃,1사  5:1
2017-08-05,한화,8초,박상원,A,9 한승택,B,1-0,1루수 뜬공,1사  6:1
2017-08-08,넥센,6말,최원태,A,8 한승택,B,1-1,3루수 땅볼,2사  5:2
2017-08-08,넥센,8말,한현희,A,8 한승택,B,1-2,우익수 안타,2사  5:3
2017-08-11,kt,9초,김재윤,A,8 한승택,B,2-1,우익수 3루타,"2사 1,2루 6:7"
2017-08-15,NC,3말,구창모,A,8 한승택,B,0-1,우익수 2루타,무사  1:1
2017-08-15,NC,4말,구창모,A,8 한승택,B,0-0,우익수 뜬공,2사 만루 1:2
2017-08-17,두산,2초,장원준,A,8 한승택,B,2-3,투수 땅볼,2사  1:4
2017-08-17,두산,4초,장원준,A,8 한승택,B,2-1,중견수 뜬공,"2사 1,2루 1:4"
2017-08-17,두산,7초,김승회,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,2사  1:4
2017-08-19,SK,8말,채병용,A,9 한승택,B,2-2,유격수 땅볼,무사  13:0
2017-08-23,롯데,2말,레일리,A,8 한승택,B,2-2,투수 땅볼,1사  0:1
2017-08-23,롯데,4말,레일리,A,8 한승택,B,2-1,1루수 땅볼,2사  2:2
2017-08-26,NC,1초,구창모,A,8 한승택,B,0-1,포수 파울 뜬공,"2사 1,2루 3:0"
2017-08-26,NC,3초,구창모,A,8 한승택,B,2-2,3루수 병살타,1사 1루 3:0
2017-08-26,NC,5초,구창모,A,8 한승택,B,1-1,유격수 땅볼,2사  5:2
2017-08-30,삼성,9초,최지광,A,9 한승택,B,2-3,유격수 땅볼,무사  5:0
2017-09-03,넥센,2초,밴헤켄,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,1사  2:0
2017-09-07,한화,7말,김재영,A,8 한승택,B,0-0,유격수 내야안타,2사  11:1
2017-09-07,한화,9말,강승현,A,8 한승택,B,2-3,좌익수 안타,1사 1루 11:1
2017-09-08,한화,2말,안영명,A,8 한승택,B,1-0,2루수 땅볼,2사 2루 1:1
2017-09-08,한화,4말,안영명,A,8 한승택,B,0-0,유격수 땅볼,1사 1루 1:3
2017-09-09,삼성,10말,심창민,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,"1사 1,2루 5:5"
2017-09-16,kt,2말,박세진,A,8 한승택,B,2-2,2루수 땅볼,"2사 1,2루 0:0"
2017-09-16,kt,3말,박세진,A,8 한승택,B,2-2,좌익수 2루타,"2사 1,3루 0:4"
2017-09-16,kt,4말,홍성용,A,8 한승택,B,1-1,좌익수 안타,2사  0:10
2017-09-16,kt,6말,강장산,A,8 한승택,B,1-3,볼넷,1사  0:10
2017-09-20,SK,2말,다이아몬드,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,2사  0:0
2017-09-22,두산,2말,장원준,A,9 한승택,B,2-1,2루수 땅볼,"2사 1,2루 0:0"
2017-09-22,두산,5말,장원준,A,9 한승택,B,2-1,좌익수 안타,2사  5:0
2017-09-23,kt,7말,홍성용,A,9 한승택,B,2-1,한승택/11119 : 삼진 아웃,2사 만루 3:6
2017-10-01,kt,9초,김도영,A,5 한승택,B,2-2,중견수 뜬공,무사  2:20
2017-10-02,kt,9초,이종혁,A,8 한승택,B,2-2,좌익수 안타,2사  5:3
2017-10-26,두산,2말,장원준,A,8 한승택,B,1-2,3루수 땅볼,2사 1루 0:0
2017-10-26,두산,5말,장원준,A,8 한승택,B,0-0,2루수 뜬공,1사  0:0
2016-05-31,LG,3초,이준형,A,8 한승택,B,1-1,좌익수 뜬공,무사  0:1
2016-05-31,LG,4초,이준형,A,8 한승택,B,1-2,투수 희생번트 실책[실책포함],"1사 2,3루 1:1"
2016-06-01,LG,3초,코프랜드,A,8 한승택,B,0-0,2루수 땅볼,무사  0:0
2016-06-01,LG,5초,코프랜드,A,8 한승택,B,2-1,유격수 땅볼,무사  1:0
2016-06-01,LG,6초,코프랜드,A,8 한승택,B,0-2,타구맞음,"1사 1,3루 4:0"
2016-06-02,LG,3초,류제국,A,8 한승택,B,1-0,3루수 땅볼,무사  1:2
2016-06-02,LG,5초,류제국,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,2사 2루 1:8
2016-06-02,LG,8초,이승현,A,8 한승택,B,0-3,볼넷,무사 1루 1:9
2016-06-03,넥센,9말,황덕균,A,8 한승택,B,2-0,3루수 땅볼,2사 1루 9:1
2016-06-05,넥센,2말,피어밴드,A,8 한승택,B,1-1,3루수 땅볼,무사  0:3
2016-06-05,넥센,4말,피어밴드,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,2사  2:3
2016-06-05,넥센,7말,김택형,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,1사  2:3
2016-06-07,한화,3초,윤규진,A,9 한승택,B,2-2,삼진,무사  0:0
2016-06-07,한화,5초,윤규진,A,9 한승택,B,1-1,우익수 안타,2사  1:3
2016-06-09,한화,9초,김용주,A,3 한승택,B,2-0,유격수 땅볼,2사 1루 12:1
2016-06-14,두산,9말,정재훈,A,6 한승택,B,0-1,3루수 땅볼,2사 1루 8:6
2016-09-07,SK,9초,박정배,A,8 한승택,B,2-3,좌익수 뜬공,2사  3:11
2016-09-21,넥센,3말,신재영,A,9 한승택,B,2-2,우익수 안타,2사  1:0
2016-09-21,넥센,5말,신재영,A,9 한승택,B,1-0,좌익수 안타[실책포함],"2사 2,3루 1:0"
2016-09-21,넥센,7말,김상수,A,9 한승택,B,1-1,유격수 땅볼,1사  1:5
2016-09-23,NC,8초,배재환,A,8 한승택,B,2-1,우익수 뜬공,2사  7:11
2016-09-25,kt,3초,정대현,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,무사  0:4
2016-09-25,kt,5초,정대현,A,8 한승택,B,2-0,한승택/11119 : 삼진 아웃,1사  0:6
2016-09-27,LG,3말,허프,A,9 한승택,B,0-0,투수 땅볼,1사  1:0
2016-10-03,kt,1말,정대현,A,8 한승택,B,0-1,중견수 안타,"1사 2,3루 1:4"
2016-10-03,kt,3말,정성곤,A,8 한승택,B,0-2,중견수 뜬공,2사  3:6
2016-10-03,kt,5말,정성곤,A,8 한승택,B,2-1,한승택/11119 : 삼진 아웃,2사 3루 3:7
2016-10-08,한화,2초,장민재,A,8 한승택,B,2-2,한승택/11119 : 삼진 아웃,"무사 2,3루 0:0"
2016-10-08,한화,3초,박정진,A,8 한승택,B,0-2,좌익수 뜬공,2사 1루 4:0
2016-10-08,한화,5초,서캠프,A,8 한승택,B,2-3,유격수 뜬공,1사 2루 5:0
2016-10-10,LG,3초,허프,A,8 한승택,B,2-3,2루수 뜬공,무사  0:0
2016-10-10,LG,5초,허프,A,8 한승택,B,1-0,우익수 뜬공,무사  2:0
2016-10-10,LG,7초,허프,A,8 한승택,B,2-1,유격수 땅볼,2사  3:0
2016-10-11,LG,3초,류제국,A,9 한승택,B,2-1,한승택/11119 : 삼진 아웃,1사  0:0
2016-10-11,LG,5초,류제국,A,9 한승택,B,2-2,삼진,1사 2루 0:0
2016-10-11,LG,7초,류제국,A,9 한승택,B,0-0,중견수 뜬공,2사  0:0
