date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-05-17,두산,9초,이현승,A,2 황대인,B,1-1,좌익수 2루타,1사 2루 2:4
2016-05-18,두산,3초,장원준,A,8 황대인,B,2-0,황대인/11306 : 삼진 아웃,무사  0:1
2016-05-18,두산,5초,장원준,A,8 황대인,B,0-0,좌익수 홈런,무사  2:5
2016-05-18,두산,6초,윤명준,A,8 황대인,B,2-2,유격수 땅볼,"2사 2,3루 3:6"
2016-05-18,두산,8초,오현택,A,8 황대인,B,1-2,우익수 2루타,2사 3루 4:11
2016-05-19,두산,7초,윤명준,A,4 황대인,B,2-0,황대인/11306 : 삼진 아웃,2사 1루 3:8
2016-05-21,SK,9말,박희수,A,9 황대인,B,2-0,황대인/11306 : 삼진 아웃,무사 1루 8:5
2015-07-26,롯데,3말,레일리,A,8 황대인,B,0-2,우익수 뜬공,무사  2:1
2015-07-26,롯데,5말,레일리,A,8 황대인,B,2-1,황대인/11306 : 좌익수 직선타 아웃,무사  2:1
2015-07-26,롯데,7말,레일리,A,8 황대인,B,1-0,우익수 안타,2사  2:1
2015-07-28,SK,2말,김광현,A,8 황대인,B,1-1,중견수 안타,2사 2루 1:0
2015-07-28,SK,5말,김광현,A,8 황대인,B,0-0,중견수 2루타,무사  1:1
2015-07-28,SK,7말,윤길현,A,8 황대인,B,1-0,좌익수 안타,2사  3:2
2015-07-29,SK,9말,정우람,A,2 황대인,B,2-1,황대인/11306 : 삼진 아웃,1사 만루 4:3
2015-08-13,삼성,2말,윤성환,A,8 황대인,B,2-0,3루수 병살타,1사 1루 3:2
2015-08-13,삼성,5말,윤성환,A,8 황대인,B,2-1,황대인/11306 : 삼진 아웃,2사  5:2
2015-08-13,삼성,8말,안지만,A,8 황대인,B,0-1,중견수 안타,1사  5:2
2015-08-14,삼성,6말,김기태,A,4 황대인,B,1-2,중견수 홈런,1사  0:12
2015-08-14,삼성,8말,조현근,A,4 황대인,B,0-1,투수 땅볼,1사  0:13
2015-08-17,LG,7초,진해수,A,5 황대인,B,2-0,황대인/11306 : 삼진 아웃,1사  1:2
2015-08-18,SK,7말,박정배,A,6 황대인,B,0-0,좌익수 안타,2사 만루 2:3
2015-08-21,롯데,7초,린드블럼,A,4 황대인,B,2-0,삼진,무사  1:8
2015-08-21,롯데,9초,홍성민,A,4 황대인,B,1-0,3루수 병살타,무사 1루 1:9
2015-08-22,한화,8말,로저스,A,8 황대인,B,2-0,황대인/11306 : 삼진 아웃,무사  3:0
2015-08-23,한화,7말,권혁,A,9 황대인,B,2-1,중견수 안타,1사 만루 4:5
2015-08-25,SK,2초,채병용,A,6 황대인,B,2-0,황대인/11306 : 삼진 아웃,1사 1루 0:0
2015-08-25,SK,5초,채병용,A,6 황대인,B,1-0,유격수 병살타,무사 1루 0:0
2015-08-25,SK,7초,윤길현,A,6 황대인,B,2-0,황대인/11306 : 삼진 아웃,1사 만루 0:0
2015-08-25,SK,10초,박정배,A,6 황대인,B,2-0,삼진,무사  0:0
2015-08-28,kt,6초,엄상백,A,9 황대인,B,2-0,황대인/11306 : 삼진 아웃,무사  0:4
2015-08-28,kt,9초,홍성무,A,9 황대인,B,2-1,삼진,무사  0:10
2015-08-29,넥센,8말,조상우,A,2 황대인,B,2-0,황대인/11306 : 삼진 아웃,1사 1루 14:7
2015-08-30,넥센,4말,김세현,A,9 황대인,B,1-1,황대인/11306 : 2루수 직선타 아웃,2사 만루 4:1
2015-08-30,넥센,6말,한현희,A,9 황대인,B,1-1,유격수 뜬공,"2사 1,2루 5:1"
2015-08-30,넥센,9말,김대우,A,9 황대인,B,2-1,황대인/11306 : 삼진 아웃,"무사 2,3루 7:1"
2015-09-01,한화,7초,박정진,A,8 황대인,B,2-0,황대인/11306 : 삼진 아웃,1사 1루 2:7
2015-09-01,한화,9초,송창식,A,8 황대인,B,0-0,유격수 땅볼,2사 2루 2:8
2015-09-24,NC,6초,손민한,A,4 황대인,B,2-1,3루수 땅볼,1사 3루 0:16
2015-09-24,NC,8초,박명환,A,4 황대인,B,1-0,중견수 2루타,무사  3:16
2015-09-24,NC,9초,임창민,A,4 황대인,B,2-0,삼진,2사  5:16
2015-09-28,LG,9초,윤지웅,A,1 황대인,B,0-0,좌익수 안타,2사  4:8
2015-09-30,롯데,8초,구승민,A,5 황대인,B,2-0,황대인/11306 : 삼진 아웃,1사 1루 12:1
2015-10-03,두산,8말,이현승,A,2 황대인,B,1-1,좌익수 뜬공,2사  7:6
2015-10-04,두산,6초,이현호,A,9 황대인,B,1-1,중견수 뜬공,무사  0:4
2015-10-04,두산,8초,스와잭,A,9 황대인,B,0-0,2루수 땅볼,무사  0:8
2015-10-05,삼성,2말,장원삼,A,7 황대인,B,0-1,우익수 안타,1사  2:0
2015-10-05,삼성,4말,장원삼,A,7 황대인,B,0-1,중견수 홈런,1사  3:1
2015-10-05,삼성,5말,장원삼,A,7 황대인,B,2-0,2루수 땅볼,"2사 1,3루 3:4"
2015-10-05,삼성,8말,안지만,A,7 황대인,B,2-0,삼진,2사  6:4
2015-10-06,LG,2말,소사,A,7 황대인,B,2-0,황대인/11306 : 삼진 아웃,2사  0:0
2015-10-06,LG,5말,소사,A,7 황대인,B,2-0,황대인/11306 : 삼진 아웃,무사  0:1
