date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-11,kt,8말,엄상백,A,8 김지수,B,2-3,2루수 인필드 뜬공,"1사 1,2루 2:12"
2017-04-13,kt,1말,로치,A,8 김지수,B,2-1,김지수/10399 : 삼진 아웃,"2사 1,2루 0:3"
2017-04-13,kt,3말,로치,A,8 김지수,B,0-0,유격수 땅볼,2사 1루 0:4
2017-04-13,kt,5말,로치,A,8 김지수,B,1-3,볼넷,2사  3:5
2017-04-26,두산,10말,이현승,A,4 김지수,B,2-2,중견수 안타[실책포함],2사  4:3
2017-04-28,한화,9초,안영명,A,8 김지수,B,2-2,유격수 땅볼,무사  13:1
2017-04-30,한화,7초,윤규진,A,8 김지수,B,0-1,2루수 뜬공,2사 만루 5:1
2017-05-20,kt,8초,조근종,A,2 김지수,B,2-3,김지수/10399 : 삼진 아웃,2사 1루 8:3
2017-05-21,kt,8초,심재민,A,1 김지수,B,2-1,김지수/10399 : 삼진 아웃,1사  4:13
2017-05-26,삼성,7말,정인욱,A,6 김지수,B,2-2,좌익수 홈런,무사 1루 3:12
2017-05-26,삼성,8말,김시현,A,6 김지수,B,2-1,우익수 희생플라이,무사 만루 3:15
2017-06-02,두산,8말,이영하,A,3 김지수,B,2-0,중견수 희생플라이,1사 3루 13:3
2017-06-07,SK,9초,서진용,A,3 김지수,B,2-3,2루수 땅볼,2사 2루 6:2
2017-06-08,SK,9초,김대유,A,3 김지수,B,2-3,투수 땅볼,무사 1루 5:2
2017-06-10,KIA,2초,팻딘,A,9 김지수,B,1-0,우익수 안타,1사 1루 1:0
2017-06-10,KIA,3초,팻딘,A,9 김지수,B,0-1,우익수 뜬공,2사  5:1
2017-06-10,KIA,5초,박진태,A,9 김지수,B,0-2,1루수 파울 뜬공,1사  6:1
2017-07-25,LG,8초,고우석,A,6 김지수,B,1-2,김지수/10399 : 2루수 직선타 아웃,무사  6:0
2017-07-29,삼성,7말,임대한,A,7 김지수,B,2-2,김지수/10399 : 2루수 직선타 아웃,"2사 1,2루 1:14"
2017-07-30,삼성,7말,권오준,A,4 김지수,B,2-2,김지수/10399 : 삼진 아웃,"1사 1,2루 2:9"
2017-08-01,SK,2말,박종훈,A,9 김지수,B,1-1,3루수 땅볼,2사 1루 0:2
2017-08-01,SK,5말,박종훈,A,9 김지수,B,2-3,김지수/10399 : 삼진 아웃,무사  0:2
2017-08-01,SK,7말,임준혁,A,9 김지수,B,2-3,중견수 안타,무사  0:3
2017-08-03,SK,8말,박희수,A,6 김지수,B,2-1,김지수/10399 : 삼진 아웃,"2사 1,2루 3:11"
2017-08-09,KIA,9초,박진태,A,4 김지수,B,1-1,3루수 땅볼,2사  1:10
2017-08-13,한화,6말,심수창,A,2 김지수,B,1-0,유격수 뜬공,1사 2루 1:5
2017-08-13,한화,8말,박상원,A,2 김지수,B,1-0,우익수 안타,무사  1:8
2017-08-16,삼성,6초,최충연,A,7 김지수,B,0-0,투수 희생번트,"무사 1,2루 6:5"
2017-08-16,삼성,8초,권오준,A,7 김지수,B,2-1,좌익수 뜬공,무사  6:5
2017-08-17,롯데,8말,이명우,A,9 김지수,B,2-3,유격수 땅볼,2사  5:3
2017-08-20,NC,2말,강윤구,A,8 김지수,B,2-0,중견수 뜬공,2사  4:2
2017-08-20,NC,4말,이민호,A,8 김지수,B,1-0,중견수 뜬공,"1사 1,2루 4:3"
2017-08-22,삼성,8말,김동호,A,8 김지수,B,2-1,우익수 안타,1사 만루 5:10
