date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-07-06,茄拳,7富,碍铰泅,A,2 辫驱己,B,0-0,谅劳荐 夺傍,1荤 1风 4:12
2017-07-07,伙己,9檬,鼻坷霖,A,4 辫驱己,B,2-1,辫驱己/12905 : 3风荐 流急鸥 酒眶,公荤 1风 9:2
2017-07-09,伙己,9檬,厘鞘霖,A,7 辫驱己,B,2-1,辫驱己/12905 : 伙柳 酒眶,1荤  2:7
2017-09-07,LG,10富,沥蛮清,A,8 辫驱己,B,2-2,辫驱己/12905 : 伙柳 酒眶,公荤  1:1
2017-09-17,NC,9檬,弥陛碍,A,7 辫驱己,B,0-1,快劳荐 救鸥,1荤 2风 12:5
2017-09-29,NC,3檬,盖奖,A,9 辫驱己,B,0-1,谅劳荐 夺傍,公荤 1风 0:1
2017-09-29,NC,4檬,盖奖,A,9 辫驱己,B,2-1,快劳荐 2风鸥,2荤  3:3
2017-09-29,NC,6檬,备芒葛,A,9 辫驱己,B,1-3,辫驱己/12905 : 蜡拜荐 流急鸥 酒眶,2荤 1风 3:8
2017-09-29,NC,8檬,烙芒刮,A,9 辫驱己,B,2-2,3风荐 顶杭,1荤 1风 4:8
2017-09-30,NC,2檬,秦目,A,8 辫驱己,B,0-1,捧荐 顶杭,2荤 1风 0:0
2017-09-30,NC,5檬,秦目,A,8 辫驱己,B,2-0,辫驱己/12905 : 伙柳 酒眶,公荤  0:10
2017-09-30,NC,7檬,盔辆泅,A,8 辫驱己,B,2-1,捧荐 顶杭,2荤  1:11
2017-09-30,NC,9檬,捞犁切,A,8 辫驱己,B,2-0,辫驱己/12905 : 伙柳 酒眶,2荤  4:11
2017-10-03,伙己,3檬,归沥泅,A,8 辫驱己,B,2-3,辫驱己/12905 : 伙柳 酒眶,公荤  1:2
2017-10-03,伙己,4檬,归沥泅,A,8 辫驱己,B,0-2,谅劳荐 2风鸥,"2荤 1,2风 2:3"
2017-10-03,伙己,6檬,其飘腐,A,8 辫驱己,B,2-2,辫驱己/12905 : 伙柳 酒眶,公荤  6:10
2017-10-03,伙己,8檬,缴芒刮,A,8 辫驱己,B,1-3,杭齿,1荤  6:10
