date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-06-15,NC,3말,해커,A,9 임병욱,B,2-2,유격수 병살타,"무사 1,2루 1:0"
2017-06-15,NC,4말,해커,A,9 임병욱,B,2-1,유격수 땅볼,2사 3루 7:3
2017-06-15,NC,6말,해커,A,9 임병욱,B,1-0,1루수 땅볼,2사 1루 7:5
2017-06-15,NC,8말,원종현,A,9 임병욱,B,2-2,임병욱/11226 : 삼진 아웃,2사  7:7
2017-06-17,롯데,8말,박진형,A,9 임병욱,B,2-3,볼넷,2사 1루 1:8
2017-06-18,롯데,6말,김유영,A,2 임병욱,B,2-0,임병욱/11226 : 삼진 아웃,1사 2루 1:5
2017-06-18,롯데,7말,이명우,A,2 임병욱,B,1-0,우익수 안타,"1사 2,3루 2:9"
2017-06-21,한화,2초,김재영,A,7 임병욱,B,1-2,중견수 뜬공,2사 1루 0:1
2017-06-21,한화,4초,김재영,A,7 임병욱,B,2-2,1루수 땅볼,"무사 1,2루 3:5"
2017-06-21,한화,6초,박정진,A,7 임병욱,B,2-3,임병욱/11226 : 삼진 아웃,2사  5:5
2017-06-21,한화,9초,송창식,A,7 임병욱,B,1-3,볼넷,1사  5:5
2017-06-22,한화,1초,배영수,A,7 임병욱,B,2-0,유격수 땅볼,"2사 1,2루 2:0"
2017-06-22,한화,3초,배영수,A,7 임병욱,B,1-3,1루수 땅볼,2사  4:2
2017-06-22,한화,4초,장민재,A,7 임병욱,B,2-3,임병욱/11226 : 삼진 아웃,2사 1루 9:5
2017-06-22,한화,6초,심수창,A,7 임병욱,B,1-0,유격수 뜬공,1사 2루 11:7
2017-06-22,한화,8초,이동걸,A,7 임병욱,B,2-0,2루수 병살타,1사 1루 12:9
2017-06-23,LG,8말,유재유,A,7 임병욱,B,2-3,좌익수 2루타,무사  2:7
2017-06-24,LG,3말,임찬규,A,9 임병욱,B,2-0,우익수 안타,무사  2:1
2017-06-24,LG,5말,임찬규,A,9 임병욱,B,2-1,임병욱/11226 : 삼진 아웃,무사  2:1
2017-06-24,LG,7말,진해수,A,9 임병욱,B,2-1,투수 땅볼,무사  8:1
2017-06-28,NC,2초,이재학,A,8 임병욱,B,2-1,유격수 뜬공,"무사 2,3루 1:0"
2017-06-28,NC,4초,강윤구,A,8 임병욱,B,2-2,임병욱/11226 : 삼진 아웃,무사  3:3
2017-06-30,kt,9초,정대현,A,7 임병욱,B,2-2,2루수 땅볼,1사  9:3
2017-07-02,kt,2초,로치,A,8 임병욱,B,2-2,중견수 2루타,2사  0:0
2017-07-02,kt,3초,로치,A,8 임병욱,B,1-1,투수 내야안타,2사 1루 4:1
2017-07-02,kt,5초,로치,A,8 임병욱,B,2-1,임병욱/11226 : 삼진 아웃,2사  5:1
2017-07-04,한화,2말,김재영,A,8 임병욱,B,2-2,임병욱/11226 : 삼진 아웃,1사 1루 4:0
2017-07-04,한화,3말,김재영,A,8 임병욱,B,2-0,좌익수 희생플라이,1사 만루 4:3
