date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,LG,9말,신정락,A,3 허정협,B,2-1,좌익수 2루타,무사  2:1
2017-04-02,LG,9말,최성훈,A,1 허정협,B,1-3,볼넷,무사  9:1
2017-04-06,롯데,2초,레일리,A,7 허정협,B,2-0,유격수 내야안타,2사  0:0
2017-04-06,롯데,5초,레일리,A,7 허정협,B,0-0,좌익수 홈런,1사  0:4
2017-04-06,롯데,7초,레일리,A,7 허정협,B,2-1,좌익수 뜬공,2사  1:6
2017-04-06,롯데,9초,노경은,A,7 허정협,B,2-1,3루수 땅볼,2사 1루 3:12
2017-04-09,두산,2초,고원준,A,7 허정협,B,2-3,볼넷,무사 만루 0:0
2017-04-09,두산,2초,이현호,A,7 허정협,B,1-0,좌익수 2루타,"2사 1,3루 8:0"
2017-04-09,두산,4초,김명신,A,7 허정협,B,0-0,중견수 안타,2사  10:0
2017-04-09,두산,6초,김명신,A,7 허정협,B,2-2,좌익수 안타,무사  13:0
2017-04-09,두산,8초,홍상삼,A,7 허정협,B,2-1,허정협/11498 : 삼진 아웃,2사 1루 13:2
2017-04-11,kt,2말,주권,A,7 허정협,B,0-0,중견수 안타,1사  0:1
2017-04-11,kt,3말,주권,A,7 허정협,B,0-1,좌익수 2루타,"2사 2,3루 0:2"
2017-04-11,kt,5말,주권,A,7 허정협,B,2-2,좌익수 안타,"1사 1,3루 0:5"
2017-04-11,kt,6말,정성곤,A,7 허정협,B,2-2,허정협/11498 : 삼진 아웃,"2사 1,2루 2:10"
2017-04-11,kt,8말,엄상백,A,7 허정협,B,1-3,볼넷,1사 1루 2:12
2017-04-12,kt,2말,고영표,A,7 허정협,B,2-1,허정협/11498 : 삼진 아웃,2사 1루 0:0
2017-04-12,kt,4말,고영표,A,7 허정협,B,1-2,2루수 땅볼,"2사 1,2루 2:1"
2017-04-12,kt,6말,고영표,A,7 허정협,B,1-3,볼넷,"2사 1,3루 2:1"
2017-04-12,kt,7말,장시환,A,7 허정협,B,2-1,1루수 파울 뜬공,"2사 1,3루 3:5"
2017-04-13,kt,1말,로치,A,7 허정협,B,1-0,3루수 내야안타,"2사 1,3루 0:2"
2017-04-13,kt,3말,로치,A,7 허정협,B,2-2,허정협/11498 : 삼진 아웃,1사 1루 0:4
2017-04-13,kt,5말,로치,A,7 허정협,B,1-2,중견수 뜬공,1사  3:5
2017-04-13,kt,7말,조무근,A,7 허정협,B,2-3,2루수 뜬공,"1사 2,3루 4:5"
2017-04-14,KIA,3초,팻딘,A,8 허정협,B,2-1,허정협/11498 : 삼진 아웃,무사  0:0
2017-04-14,KIA,5초,팻딘,A,8 허정협,B,1-2,좌익수 홈런,1사  0:1
2017-04-14,KIA,6초,팻딘,A,8 허정협,B,2-2,3루수 땅볼,1사 만루 2:1
2017-04-14,KIA,9초,팻딘,A,8 허정협,B,2-1,허정협/11498 : 삼진 아웃,1사  2:3
2017-04-15,KIA,1초,양현종,A,2 허정협,B,2-0,허정협/11498 : 삼진 아웃,1사  0:0
2017-04-15,KIA,4초,양현종,A,2 허정협,B,2-1,우익수 뜬공,무사 1루 0:4
2017-04-15,KIA,6초,양현종,A,2 허정협,B,1-0,좌익수 안타,무사 1루 0:4
2017-04-15,KIA,8초,손영민,A,2 허정협,B,2-2,우익수 뜬공,1사 2루 1:5
2017-04-16,KIA,2초,홍건희,A,5 허정협,B,2-0,허정협/11498 : 삼진 아웃,무사  0:1
2017-04-16,KIA,4초,홍건희,A,5 허정협,B,1-0,3루수 땅볼,무사 1루 0:1
2017-04-16,KIA,6초,손영민,A,5 허정협,B,2-3,볼넷,무사  3:1
2017-04-16,KIA,7초,박지훈,A,5 허정협,B,0-0,중견수 뜬공,1사  5:4
2017-04-16,KIA,9초,김윤동,A,5 허정협,B,2-2,몸에 맞는 볼,1사 1루 5:7
2017-04-18,SK,2초,켈리,A,7 허정협,B,2-1,허정협/11498 : 삼진 아웃,2사  0:0
2017-04-18,SK,5초,켈리,A,7 허정협,B,2-0,허정협/11498 : 삼진 아웃,무사  0:5
2017-04-18,SK,7초,켈리,A,7 허정협,B,0-0,2루수 땅볼,1사 2루 1:7
2017-04-18,SK,9초,서진용,A,7 허정협,B,0-0,1루수 뜬공,무사  4:7
2017-04-19,SK,7초,채병용,A,9 허정협,B,0-0,2루수 땅볼,2사  1:3
2017-04-20,SK,2초,윤희상,A,7 허정협,B,1-1,우익수 2루타,1사  0:0
2017-04-20,SK,4초,윤희상,A,7 허정협,B,2-1,허정협/11498 : 1루수 직선타 아웃,1사  0:0
