date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,LG,3말,소사,A,8 김하성,B,2-1,김하성/11224 : 삼진 아웃,무사 1루 2:0
2017-03-31,LG,6말,소사,A,8 김하성,B,1-0,중견수 3루타,무사  2:0
2017-03-31,LG,7말,이동현,A,8 김하성,B,2-3,김하성/11224 : 유격수 직선타 아웃,"2사 1,2루 2:1"
2017-04-01,LG,2말,류제국,A,8 김하성,B,2-1,김하성/11224 : 삼진 아웃,2사 1루 3:0
2017-04-01,LG,4말,류제국,A,8 김하성,B,1-3,좌익수 안타,"1사 2,3루 4:2"
2017-04-01,LG,6말,김지용,A,8 김하성,B,1-0,유격수 인필드 뜬공,"무사 1,2루 8:3"
2017-04-01,LG,8말,최동환,A,8 김하성,B,2-0,중견수 2루타,2사  8:3
2017-04-02,LG,1말,윤지웅,A,2 김하성,B,2-1,유격수 땅볼,1사  0:0
2017-04-02,LG,4말,윤지웅,A,2 김하성,B,2-3,좌익수 뜬공,1사  2:0
2017-04-02,LG,6말,최동환,A,2 김하성,B,1-3,볼넷,2사 2루 2:1
2017-04-02,LG,9말,최성훈,A,2 김하성,B,1-0,좌익수 2루타,무사 1루 9:1
2017-04-04,롯데,2초,박세웅,A,8 김하성,B,1-0,중견수 뜬공,2사  0:4
2017-04-04,롯데,5초,박세웅,A,8 김하성,B,2-2,포수 파울 뜬공,무사  0:5
2017-04-04,롯데,7초,박세웅,A,8 김하성,B,1-2,김하성/11224 : 유격수 직선타 아웃,무사  1:5
2017-04-06,롯데,2초,레일리,A,8 김하성,B,2-3,우익수 뜬공,2사 1루 0:0
2017-04-06,롯데,5초,레일리,A,8 김하성,B,1-0,중견수 뜬공,1사  1:4
2017-04-06,롯데,8초,이명우,A,8 김하성,B,2-1,3루수 땅볼,무사  1:12
2017-04-07,두산,3초,니퍼트,A,8 김하성,B,1-0,좌익수 뜬공,무사  0:1
2017-04-07,두산,4초,니퍼트,A,8 김하성,B,2-3,볼넷,"2사 1,2루 1:1"
2017-04-07,두산,6초,이현호,A,8 김하성,B,1-2,우익수 뜬공,무사  6:1
2017-04-07,두산,8초,홍상삼,A,8 김하성,B,1-0,좌익수 뜬공,무사  7:1
2017-04-08,두산,1초,유희관,A,8 김하성,B,2-2,유격수 뜬공,"2사 1,2루 3:0"
2017-04-08,두산,3초,유희관,A,8 김하성,B,2-3,2루수 땅볼,2사  5:6
2017-04-08,두산,6초,유희관,A,8 김하성,B,2-3,우익수 뜬공,1사  5:7
2017-04-08,두산,7초,김승회,A,8 김하성,B,2-1,김하성/11224 : 삼진 아웃,"1사 1,2루 9:7"
2017-04-08,두산,9초,김성배,A,8 김하성,B,2-0,좌익수 2루타,무사  10:7
2017-04-09,두산,2초,고원준,A,8 김하성,B,2-1,중견수 안타,무사 만루 1:0
2017-04-09,두산,2초,이현호,A,8 김하성,B,0-0,2루수 땅볼,2사 2루 10:0
2017-04-09,두산,4초,김명신,A,8 김하성,B,2-1,3루수 땅볼,2사 1루 10:0
2017-04-09,두산,6초,김명신,A,8 김하성,B,2-1,3루수 병살타,무사 1루 13:0
2017-04-09,두산,9초,이현승,A,8 김하성,B,0-0,유격수 땅볼,무사  13:2
2017-04-11,kt,2말,주권,A,8 김하성,B,1-0,유격수 뜬공,1사 1루 0:1
2017-04-11,kt,3말,주권,A,8 김하성,B,1-2,좌익수 뜬공,2사 2루 0:4
