date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-04-12,삼성,8초,권오준,A,7 강민국,B,2-1,강민국/11243 : 삼진 아웃,무사  5:16
2016-04-23,SK,8초,정영일,A,7 강민국,B,2-1,2루수 파울 뜬공,무사  2:8
2016-08-04,kt,6말,홍성용,A,5 강민국,B,2-1,강민국/11243 : 삼진 아웃,2사 3루 1:9
2016-08-05,한화,7초,박정진,A,7 강민국,B,2-0,3루수 땅볼,"2사 1,2루 4:13"
2016-08-06,한화,3초,황재규,A,8 강민국,B,2-1,중견수 뜬공,1사 1루 7:0
2016-08-06,한화,5초,황재규,A,8 강민국,B,1-0,중견수 안타,"무사 1,2루 9:0"
2016-08-06,한화,7초,정재원,A,8 강민국,B,2-1,3루수 땅볼,1사 1루 11:1
2016-08-06,한화,9초,정재원,A,8 강민국,B,0-1,1루수 파울 뜬공,1사 1루 11:2
2016-08-07,한화,8초,정우람,A,8 강민국,B,2-0,강민국/11243 : 투수 직선타 아웃,"2사 1,2루 3:8"
2016-08-09,롯데,8말,강승현,A,5 강민국,B,1-0,좌익수 홈런,2사  0:12
2016-08-10,롯데,9말,홍성민,A,1 강민국,B,2-2,1루수 파울 뜬공,"1사 1,2루 5:5"
2016-08-16,삼성,9말,권오준,A,1 강민국,B,2-1,강민국/11243 : 삼진 아웃,1사  12:5
2016-08-19,넥센,9초,김정훈,A,8 강민국,B,2-0,강민국/11243 : 삼진 아웃,1사  7:0
2016-08-23,KIA,7말,곽정철,A,8 강민국,B,2-2,우익수 뜬공,무사  0:12
2016-08-25,한화,4초,송은범,A,1 강민국,B,2-3,볼넷,무사 1루 6:0
2016-08-25,한화,4초,정대훈,A,1 강민국,B,2-2,강민국/11243 : 삼진 아웃,"2사 1,2루 12:0"
2016-08-25,한화,7초,김용주,A,1 강민국,B,2-2,3루수 땅볼,1사  13:1
2016-08-26,한화,2초,윤규진,A,8 강민국,B,2-1,3루수 병살타,1사 1루 2:3
2016-08-26,한화,4초,윤규진,A,8 강민국,B,0-0,우익수 2루타,1사 1루 3:6
2016-08-26,한화,6초,윤규진,A,8 강민국,B,1-3,볼넷,1사  4:7
2016-08-26,한화,8초,박정진,A,8 강민국,B,2-1,강민국/11243 : 삼진 아웃,2사 1루 4:7
2016-08-27,넥센,3말,밴헤켄,A,9 강민국,B,2-1,강민국/11243 : 삼진 아웃,무사  2:0
2016-08-27,넥센,5말,밴헤켄,A,9 강민국,B,0-0,포수 희생번트,무사 1루 2:1
2016-08-27,넥센,6말,김상수,A,9 강민국,B,2-0,강민국/11243 : 삼진 아웃,2사  4:5
2016-08-31,kt,8초,배우열,A,5 강민국,B,2-3,강민국/11243 : 삼진 아웃,무사  11:0
2016-09-03,SK,11말,채병용,A,5 강민국,B,1-2,2루수 땅볼,2사  10:7
2015-05-24,넥센,6초,조상우,A,1 강민국,B,2-0,좌익수 뜬공,2사  4:7
2015-05-24,넥센,8초,김세현,A,1 강민국,B,2-3,강민국/11243 : 삼진 아웃,1사  8:7
2014-09-02,삼성,9초,김현우,A,1 강민국,B,2-1,중견수 뜬공,1사  10:6
2014-09-04,넥센,9초,마정길,A,8 강민국,B,0-1,중견수 뜬공,1사  5:13
2014-09-14,SK,9초,윤길현,A,8 강민국,B,0-1,3루수 땅볼,1사  3:5
