date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2015-04-04,KIA,9말,심동섭,A,8 김태훈,B,2-1,우익수 2루타,2사  10:1
2015-04-05,KIA,1말,문경찬,A,3 김태훈,B,0-1,우익수 안타[실책포함],2사  2:0
2015-04-05,KIA,4말,문경찬,A,3 김태훈,B,2-0,2루수 땅볼,무사 1루 2:0
2015-04-05,KIA,6말,임준섭,A,3 김태훈,B,0-0,좌익수 뜬공,2사 1루 2:1
2015-04-05,KIA,9말,윤석민,A,3 김태훈,B,2-0,김태훈/11336 : 삼진 아웃,무사  4:1
2015-04-07,SK,6초,전유수,A,6 김태훈,B,2-2,삼진,1사  1:3
2015-04-08,SK,2초,켈리,A,6 김태훈,B,2-2,김태훈/11336 : 삼진 아웃,무사  0:0
2015-04-08,SK,4초,켈리,A,6 김태훈,B,2-1,1루수 땅볼,2사  0:0
2015-04-08,SK,7초,켈리,A,6 김태훈,B,1-0,좌익수 안타,1사 2루 0:1
2015-04-09,SK,2초,밴와트,A,5 김태훈,B,0-0,좌익수 파울 뜬공,무사  0:2
2015-04-09,SK,4초,밴와트,A,5 김태훈,B,1-2,중견수 뜬공,무사  1:4
2015-04-09,SK,6초,채병용,A,5 김태훈,B,2-2,김태훈/11336 : 삼진 아웃,무사  2:6
2015-04-09,SK,8초,채병용,A,5 김태훈,B,0-1,2루수 땅볼,2사 3루 2:13
2015-04-10,넥센,2초,한현희,A,6 김태훈,B,2-2,김태훈/11336 : 삼진 아웃,무사  0:1
2015-04-10,넥센,4초,한현희,A,6 김태훈,B,2-0,김태훈/11336 : 삼진 아웃,1사 1루 0:3
2015-04-10,넥센,7초,한현희,A,6 김태훈,B,2-2,김태훈/11336 : 삼진 아웃,1사  0:4
2015-04-10,넥센,9초,하영민,A,6 김태훈,B,2-2,김태훈/11336 : 삼진 아웃,2사  0:6
2015-04-15,두산,4말,이재우,A,8 김태훈,B,0-1,2루수 뜬공,"무사 2,3루 3:3"
2015-08-21,한화,3초,안영명,A,7 김태훈,B,2-2,유격수 땅볼,무사  0:2
2015-08-21,한화,5초,안영명,A,7 김태훈,B,0-0,좌익수 홈런,2사  1:5
2015-08-21,한화,7초,안영명,A,7 김태훈,B,2-1,삼진,2사  3:6
2015-08-23,두산,1말,이재우,A,6 김태훈,B,0-0,우익수 안타,2사  0:3
2015-08-26,넥센,8초,김대우,A,9 김태훈,B,2-2,유격수 땅볼,무사  1:9
2015-08-27,KIA,1말,박정수,A,6 김태훈,B,2-3,중견수 희생플라이,"1사 2,3루 1:2"
2015-08-27,KIA,3말,박정수,A,6 김태훈,B,2-2,중견수 안타,1사 1루 1:4
2015-08-27,KIA,5말,유창식,A,6 김태훈,B,1-2,김태훈/11336 : 3루수 직선타 아웃,"무사 1,3루 3:5"
2015-08-27,KIA,7말,한승혁,A,6 김태훈,B,2-1,김태훈/11336 : 삼진 아웃,1사 1루 3:5
2015-08-28,KIA,8말,문경찬,A,6 김태훈,B,1-1,중견수 안타,무사  0:8
2015-08-29,SK,8말,윤석주,A,6 김태훈,B,1-0,2루수 땅볼,무사  2:10
2015-08-30,SK,1말,채병용,A,7 김태훈,B,2-1,김태훈/11336 : 삼진 아웃,무사 2루 1:5
2015-08-30,SK,3말,채병용,A,7 김태훈,B,0-1,중견수 뜬공,1사 1루 4:5
2015-08-30,SK,5말,박정배,A,7 김태훈,B,2-2,김태훈/11336 : 삼진 아웃,2사 1루 4:5
2015-08-30,SK,7말,윤길현,A,7 김태훈,B,2-0,좌익수 뜬공,"1사 1,2루 4:6"
2015-09-01,롯데,8초,홍성민,A,8 김태훈,B,0-0,중견수 안타,2사  5:5
2015-09-02,롯데,7초,이성민,A,8 김태훈,B,0-0,우익수 뜬공,1사  1:4
2015-09-03,LG,7초,소사,A,8 김태훈,B,2-0,김태훈/11336 : 삼진 아웃,"2사 1,2루 1:1"
2015-09-04,LG,9초,이승현,A,4 김태훈,B,1-1,좌익수 뜬공,무사  1:8
2015-09-06,NC,4말,스튜어트,A,8 김태훈,B,2-2,1루수 땅볼,"2사 1,2루 7:0"
2015-09-06,NC,7말,스튜어트,A,8 김태훈,B,0-2,1루수 땅볼,무사  7:0
2015-09-06,NC,9말,임창민,A,8 김태훈,B,1-1,우익수 안타,1사 1루 7:0
2015-09-08,삼성,9초,임창용,A,9 김태훈,B,2-1,김태훈/11336 : 삼진 아웃,2사  1:4
2015-09-10,LG,8말,이동현,A,5 김태훈,B,2-0,김태훈/11336 : 삼진 아웃,"1사 1,2루 2:4"
2015-09-15,NC,7초,이태양,A,6 김태훈,B,2-3,김태훈/11336 : 삼진 아웃,1사  1:11
2015-09-15,NC,9초,박명환,A,6 김태훈,B,0-0,유격수 병살타,무사 1루 3:11
