date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,SK,2초,켈리,A,9 심우준,B,2-0,심우준/11334 : 삼진 아웃,무사  2:0
2017-03-31,SK,4초,켈리,A,9 심우준,B,2-1,중견수 안타[실책포함],1사 1루 2:1
2017-03-31,SK,7초,박희수,A,9 심우준,B,2-2,우익수 뜬공,무사  3:2
2017-03-31,SK,9초,채병용,A,9 심우준,B,1-2,포수 파울 뜬공,1사  3:2
2017-04-01,SK,3초,윤희상,A,9 심우준,B,0-1,우익수 뜬공,2사  0:0
2017-04-01,SK,5초,윤희상,A,9 심우준,B,1-0,유격수 땅볼,2사 1루 2:0
2017-04-01,SK,8초,채병용,A,9 심우준,B,1-2,3루수 땅볼,2사  2:0
2017-04-02,SK,3초,문승원,A,9 심우준,B,0-0,중견수 뜬공,무사  0:1
2017-04-02,SK,4초,문승원,A,9 심우준,B,1-1,중견수 뜬공,2사  3:1
2017-04-02,SK,6초,박희수,A,9 심우준,B,1-0,중견수 2루타,1사  4:1
2017-04-02,SK,7초,박정배,A,9 심우준,B,1-1,2루수 뜬공,2사 1루 7:1
2017-04-02,SK,9초,김성민,A,9 심우준,B,1-1,우익수 안타,"2사 1,2루 7:1"
2017-04-04,두산,1말,장원준,A,2 심우준,B,2-1,삼진,1사  0:0
2017-04-04,두산,3말,장원준,A,2 심우준,B,2-2,투수 땅볼,2사 1루 2:0
2017-04-04,두산,6말,장원준,A,2 심우준,B,1-3,1루수 뜬공,무사  2:0
2017-04-04,두산,9말,이현승,A,2 심우준,B,1-2,투수 번트안타,무사  2:0
2017-04-06,두산,1말,함덕주,A,1 심우준,B,2-0,심우준/11334 : 삼진 아웃,무사  0:0
2017-04-06,두산,3말,함덕주,A,1 심우준,B,2-2,심우준/11334 : 삼진 아웃,무사  0:1
2017-04-06,두산,5말,함덕주,A,1 심우준,B,0-1,포수 번트 파울 뜬공,무사 2루 1:1
2017-04-07,삼성,2말,우규민,A,9 심우준,B,1-0,투수 땅볼,2사  2:2
2017-04-07,삼성,5말,우규민,A,9 심우준,B,0-0,중견수 안타,2사  2:2
2017-04-07,삼성,7말,우규민,A,9 심우준,B,2-1,심우준/11334 : 삼진 아웃,"2사 1,2루 2:2"
2017-04-09,삼성,2말,최충연,A,9 심우준,B,2-0,좌익수 땅볼,1사 만루 0:1
2017-04-09,삼성,5말,최충연,A,9 심우준,B,2-1,심우준/11334 : 삼진 아웃,1사  0:2
2017-04-09,삼성,7말,박근홍,A,9 심우준,B,2-1,1루수 땅볼,1사  0:3
2017-04-11,넥센,3초,신재영,A,8 심우준,B,0-0,좌익수 안타,1사  0:1
2017-04-11,넥센,5초,신재영,A,8 심우준,B,0-1,유격수 땅볼,2사 2루 0:4
2017-04-11,넥센,7초,금민철,A,8 심우준,B,2-1,심우준/11334 : 삼진 아웃,1사  2:10
2017-04-13,넥센,3초,밴헤켄,A,8 심우준,B,1-2,좌익수 뜬공,무사  0:4
2017-04-13,넥센,5초,밴헤켄,A,8 심우준,B,1-3,중견수 2루타,무사  1:5
2017-04-13,넥센,6초,양훈,A,8 심우준,B,1-0,투수 내야안타,"1사 2,3루 3:5"
2017-04-13,넥센,8초,이보근,A,8 심우준,B,2-0,심우준/11334 : 삼진 아웃,2사  4:6
