date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-05-25,한화,2초,오간도,A,7 오준혁,B,0-0,좌익수 뜬공,무사  0:0
2017-05-25,한화,4초,오간도,A,7 오준혁,B,2-3,2루수 땅볼,무사  0:1
2017-05-26,롯데,9말,김유영,A,6 오준혁,B,2-2,오준혁/10672 : 삼진 아웃,"2사 1,2루 8:2"
2017-05-27,롯데,8말,강동호,A,3 오준혁,B,0-1,오준혁/10672 : 1루수 직선타 아웃,무사 1루 7:14
2017-05-28,롯데,11말,윤길현,A,6 오준혁,B,1-3,볼넷,1사 2루 4:4
2017-09-08,한화,6말,안영명,A,8 오준혁,B,1-1,중견수 뜬공,2사  5:4
2017-09-09,삼성,10말,심창민,A,5 오준혁,B,2-1,오준혁/10672 : 삼진 아웃,무사  5:5
2017-09-14,롯데,9초,장시환,A,8 오준혁,B,2-1,우익수 안타,무사  11:2
2017-09-16,kt,7말,윤근영,A,1 오준혁,B,0-0,좌익수 안타,1사  0:17
2017-09-19,SK,7말,서진용,A,9 오준혁,B,2-1,오준혁/10672 : 삼진 아웃,1사  7:4
2017-09-20,SK,9말,백인식,A,9 오준혁,B,0-1,중견수 뜬공,2사 1루 4:3
2017-09-24,한화,9말,심수창,A,8 오준혁,B,2-1,유격수 땅볼,2사  5:0
2017-10-01,kt,8초,조무근,A,3 오준혁,B,1-2,2루수 내야안타,2사 3루 1:20
2016-04-01,NC,1초,해커,A,1 오준혁,B,2-2,오준혁/10672 : 삼진 아웃,무사  0:0
2016-04-01,NC,3초,해커,A,1 오준혁,B,2-0,오준혁/10672 : 삼진 아웃,1사  1:2
2016-04-01,NC,5초,해커,A,1 오준혁,B,2-2,유격수 땅볼,무사  3:4
2016-04-02,NC,1초,스튜어트,A,2 오준혁,B,1-0,2루수 땅볼,1사  0:0
2016-04-02,NC,3초,스튜어트,A,2 오준혁,B,2-1,유격수 파울 뜬공,1사  1:0
2016-04-02,NC,5초,스튜어트,A,2 오준혁,B,1-0,중견수 뜬공,1사 1루 1:0
2016-04-05,LG,1말,류제국,A,2 오준혁,B,2-1,오준혁/10672 : 삼진 아웃,무사 1루 0:0
2016-04-05,LG,4말,류제국,A,2 오준혁,B,2-0,오준혁/10672 : 삼진 아웃,무사 1루 1:0
2016-04-05,LG,5말,류제국,A,2 오준혁,B,0-1,포수 파울 뜬공,2사 2루 1:2
2016-04-07,LG,9말,임정우,A,9 오준혁,B,1-3,볼넷,2사 2루 8:4
2016-04-08,kt,8초,장시환,A,9 오준혁,B,2-2,오준혁/10672 : 삼진 아웃,무사  0:4
2016-04-10,kt,1초,피노,A,1 오준혁,B,0-0,좌익수 뜬공,무사  0:0
2016-04-10,kt,3초,피노,A,1 오준혁,B,1-1,우익수 2루타,무사 1루 1:5
2016-04-10,kt,5초,피노,A,1 오준혁,B,2-2,중견수 3루타,무사  2:7
2016-04-10,kt,6초,심재민,A,1 오준혁,B,0-1,우익수 안타,무사  5:7
2016-04-10,kt,8초,고영표,A,1 오준혁,B,0-2,중견수 3루타,2사  5:9
2016-04-12,SK,1초,윤희상,A,1 오준혁,B,0-1,우익수 뜬공,무사  0:0
2016-04-12,SK,3초,윤희상,A,1 오준혁,B,2-0,오준혁/10672 : 삼진 아웃,무사  2:4
2016-04-12,SK,5초,박민호,A,1 오준혁,B,2-2,우익수 뜬공,무사  5:6
2016-04-12,SK,6초,신재웅,A,1 오준혁,B,2-2,오준혁/10672 : 삼진 아웃,1사 만루 7:6
2016-04-12,SK,8초,김승회,A,1 오준혁,B,1-0,투수 내야안타,1사  7:6
2016-04-13,SK,9초,박희수,A,2 오준혁,B,2-3,중견수 뜬공,무사  0:2
2016-04-14,SK,1초,켈리,A,1 오준혁,B,0-3,볼넷,무사  0:0
2016-04-14,SK,3초,켈리,A,1 오준혁,B,2-0,오준혁/10672 : 삼진 아웃,무사 1루 0:0
2016-04-14,SK,5초,켈리,A,1 오준혁,B,2-1,유격수 땅볼,2사 2루 0:0
2016-04-14,SK,7초,켈리,A,1 오준혁,B,2-2,중견수 안타,1사 만루 1:0
2016-04-15,넥센,1말,박주현,A,1 오준혁,B,2-1,유격수 땅볼,무사  2:0
2016-04-15,넥센,2말,박주현,A,1 오준혁,B,2-1,2루수 뜬공,2사  2:2
