date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-02,NC,9초,이형범,A,8 오태곤,B,2-0,오승택/10249 : 삼진 아웃,"1사 1,2루 12:4"
2017-04-06,넥센,8말,박주현,A,4 오태곤,B,0-2,좌익수 뜬공,1사  1:12
2017-04-07,LG,9말,진해수,A,9 오태곤,B,2-3,오승택/10249 : 삼진 아웃,1사  6:4
2017-04-08,LG,9말,진해수,A,4 오태곤,B,0-1,좌익수 홈런,2사 1루 6:6
2017-04-09,LG,2말,임찬규,A,6 오태곤,B,0-0,중견수 뜬공,무사 1루 0:0
2017-04-09,LG,4말,임찬규,A,6 오태곤,B,0-1,몸에 맞는 볼,무사  0:0
2017-04-09,LG,5말,최동환,A,6 오태곤,B,1-2,몸에 맞는 볼,무사  0:3
2017-04-09,LG,6말,최동환,A,6 오태곤,B,2-0,삼진,1사  1:6
2017-04-11,SK,2초,박종훈,A,8 오태곤,B,2-3,볼넷,1사 2루 0:1
2017-04-11,SK,3초,박종훈,A,8 오태곤,B,2-2,1루수 파울 뜬공,2사 3루 2:1
2017-04-11,SK,6초,박종훈,A,8 오태곤,B,2-0,오승택/10249 : 삼진 아웃,"무사 1,2루 2:1"
2017-04-12,SK,10초,채병용,A,9 오태곤,B,1-3,볼넷,무사  1:1
2017-04-12,SK,12초,박희수,A,9 오태곤,B,2-2,오승택/10249 : 삼진 아웃,무사  1:1
2017-04-13,SK,1초,김주한,A,8 오태곤,B,2-0,유격수 땅볼,"2사 1,3루 3:0"
2017-04-13,SK,4초,김주한,A,8 오태곤,B,0-1,유격수 땅볼,"무사 1,2루 3:8"
2017-04-13,SK,5초,문광은,A,8 오태곤,B,2-2,3루수 병살타,1사 1루 9:9
2017-04-13,SK,8초,박정배,A,8 오태곤,B,2-3,볼넷,1사  9:10
2017-04-14,삼성,1말,윤성환,A,7 오태곤,B,2-2,중견수 안타,2사 만루 0:1
2017-04-14,삼성,4말,윤성환,A,7 오태곤,B,2-0,오승택/10249 : 삼진 아웃,무사  4:4
2017-04-14,삼성,6말,윤성환,A,7 오태곤,B,2-3,몸에 맞는 볼,2사  5:4
2017-04-14,삼성,7말,김승현,A,7 오태곤,B,2-3,투수 땅볼,2사  5:9
2017-04-15,삼성,2말,최충연,A,8 오태곤,B,2-0,삼진,1사  1:1
2017-04-15,삼성,4말,최충연,A,8 오태곤,B,1-1,우익수 뜬공,무사  1:3
2017-04-16,삼성,3말,장원삼,A,8 오태곤,B,2-3,볼넷,1사  0:0
2017-04-16,삼성,5말,장원삼,A,8 오태곤,B,2-3,오승택/10249 : 삼진 아웃,2사  0:0
2017-04-18,NC,8말,이민호,A,8 오태곤,B,1-2,우익수 뜬공,무사 1루 8:3
2017-04-19,KIA,2말,고효준,A,6 오태곤,B,0-1,중견수 2루타,2사  1:0
2017-04-19,KIA,4말,고효준,A,6 오태곤,B,2-2,오승택/10249 : 삼진 아웃,"1사 1,3루 1:1"
2017-04-19,KIA,6말,박지훈,A,6 오태곤,B,2-2,3루수 땅볼,무사  1:3
2017-04-19,KIA,8말,손영민,A,6 오태곤,B,0-1,오승택/10249 : 우익수 직선타 아웃,1사 1루 1:3
2017-04-20,KIA,2말,헥터,A,6 오태곤,B,2-2,오승택/10249 : 삼진 아웃,무사 2루 5:1
2017-04-20,KIA,4말,헥터,A,6 오태곤,B,0-0,2루수 뜬공,2사  8:1
2017-04-21,한화,2말,배영수,A,7 오태곤,B,2-1,오승택/10249 : 삼진 아웃,1사 1루 1:1
2017-04-21,한화,4말,배영수,A,7 오태곤,B,0-0,3루수 땅볼,"1사 2,3루 1:2"
2017-04-21,한화,7말,배영수,A,7 오태곤,B,0-0,좌익수 안타,무사  3:2
2017-04-21,한화,9말,윤규진,A,7 오태곤,B,0-1,좌익수 뜬공,1사  7:2
2017-04-22,한화,2말,송은범,A,8 오태곤,B,0-2,3루수 땅볼,2사  0:2
2017-04-22,한화,4말,심수창,A,8 오태곤,B,0-1,유격수 땅볼,무사 2루 1:4
2017-04-22,한화,6말,이태양,A,8 오태곤,B,2-2,중견수 안타,무사 2루 5:6
2017-04-22,한화,7말,장민재,A,8 오태곤,B,1-3,볼넷,1사 1루 9:9
2017-04-26,NC,3초,최금강,A,8 오태곤,B,1-0,2루수 안타,무사  1:3
2017-04-26,NC,5초,최금강,A,8 오태곤,B,0-2,유격수 땅볼,2사  1:5
2017-04-26,NC,8초,윤수호,A,8 오태곤,B,1-0,유격수 땅볼,2사  1:11
2017-04-27,NC,3초,구창모,A,9 오태곤,B,2-1,오승택/10249 : 삼진 아웃,1사  0:1
2017-04-27,NC,5초,구창모,A,9 오태곤,B,0-0,1루수 땅볼,1사 1루 0:2
2017-04-27,NC,7초,원종현,A,9 오태곤,B,2-2,오승택/10249 : 삼진 아웃,2사 2루 0:3
2017-04-28,LG,1말,차우찬,A,4 오태곤,B,2-1,중견수 안타,2사  0:1
2017-04-28,LG,3말,차우찬,A,4 오태곤,B,2-2,유격수 땅볼,"2사 1,3루 0:1"
2017-04-28,LG,6말,차우찬,A,4 오태곤,B,2-2,오승택/10249 : 삼진 아웃,1사 1루 1:1
2017-04-28,LG,9말,신정락,A,4 오태곤,B,2-1,삼진,1사  2:1
2017-04-29,LG,2말,소사,A,7 오태곤,B,0-0,중견수 뜬공,2사 1루 0:0
2017-04-29,LG,4말,소사,A,7 오태곤,B,1-0,우익수 안타,무사 2루 0:3
2017-04-29,LG,5말,고우석,A,7 오태곤,B,1-1,3루수 뜬공,2사 3루 0:6
2017-04-29,LG,7말,최동환,A,7 오태곤,B,2-2,오승택/10249 : 삼진 아웃,2사  0:6
2017-04-30,LG,3말,김대현,A,7 오태곤,B,2-0,중견수 안타,무사  1:0
2017-04-30,LG,6말,김대현,A,7 오태곤,B,1-0,유격수 땅볼,무사  6:0
2017-04-30,LG,7말,정찬헌,A,7 오태곤,B,0-3,볼넷,1사 2루 6:4
2017-04-30,LG,9말,신정락,A,7 오태곤,B,2-3,투수 내야안타,2사  7:5
2017-05-02,롯데,2말,송승준,A,5 오태곤,B,1-1,우익수 뜬공,무사 1루 0:0
2017-05-02,롯데,5말,송승준,A,5 오태곤,B,2-1,투수 땅볼,무사 1루 3:0
2017-05-03,롯데,2말,애디튼,A,7 오태곤,B,2-0,3루수 땅볼,2사  1:0
2017-05-03,롯데,4말,애디튼,A,7 오태곤,B,0-0,3루수 땅볼[실책포함],1사 만루 2:1
2017-05-07,한화,9초,장민재,A,2 오태곤,B,1-2,중견수 2루타,무사  7:0
2017-05-09,KIA,6초,양현종,A,6 오태곤,B,2-0,오승택/10249 : 삼진 아웃,2사 1루 3:9
2017-05-09,KIA,8초,손영민,A,6 오태곤,B,0-2,중견수 안타,1사 1루 4:9
2017-05-10,KIA,2초,김진우,A,6 오태곤,B,1-0,포수 희생번트,"무사 1,2루 0:0"
2017-05-10,KIA,4초,김진우,A,6 오태곤,B,2-3,볼넷,무사  2:0
2017-05-10,KIA,6초,김진우,A,6 오태곤,B,2-3,오승택/10249 : 삼진 아웃,2사  2:0
2017-05-10,KIA,9초,심동섭,A,6 오태곤,B,2-0,우익수 2루타,1사  2:0
2017-05-11,KIA,2초,팻딘,A,6 오태곤,B,2-2,2루수 내야안타,1사  0:0
2017-05-11,KIA,3초,팻딘,A,6 오태곤,B,0-0,우익수 뜬공,"1사 1,2루 2:0"
2017-05-11,KIA,5초,팻딘,A,6 오태곤,B,0-0,투수 땅볼,1사 3루 4:1
2017-05-11,KIA,8초,홍건희,A,6 오태곤,B,1-3,우익수 파울 뜬공,무사  4:1
2017-05-12,NC,1말,이민호,A,6 오태곤,B,2-3,오승택/10249 : 삼진 아웃,"2사 1,3루 2:1"
