date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-05-30,넥센,8말,오주원,A,8 김재율,B,2-1,김재율/10929 : 삼진 아웃,무사  3:1
2017-05-31,넥센,2말,조상우,A,7 김재율,B,0-2,3루수 땅볼,무사  0:2
2017-05-31,넥센,4말,조상우,A,7 김재율,B,1-0,1루수 안타,무사 1루 0:2
2017-05-31,넥센,6말,조상우,A,7 김재율,B,2-2,좌익수 2루타,1사 2루 1:3
2017-05-31,넥센,8말,황덕균,A,7 김재율,B,2-0,중견수 안타,무사  1:5
2017-06-01,넥센,2말,한현희,A,7 김재율,B,1-0,중견수 안타,무사 2루 0:1
2017-06-01,넥센,4말,한현희,A,7 김재율,B,1-0,3루수 뜬공,1사 1루 0:2
2017-06-01,넥센,6말,한현희,A,7 김재율,B,2-1,김재율/10929 : 삼진 아웃,무사  1:4
2017-06-02,NC,2말,구창모,A,7 김재율,B,2-3,볼넷,2사  0:0
2017-06-02,NC,5말,구창모,A,7 김재율,B,1-1,2루수 뜬공,무사  2:1
2017-06-03,NC,2말,해커,A,7 김재율,B,2-0,좌익수 2루타,1사 1루 2:0
2017-06-03,NC,4말,해커,A,7 김재율,B,2-2,3루수 땅볼,무사  2:2
2017-06-03,NC,7말,해커,A,7 김재율,B,2-1,김재율/10929 : 삼진 아웃,무사  3:2
2017-06-03,NC,8말,이민호,A,7 김재율,B,2-1,우익수 뜬공,"2사 1,3루 4:3"
2017-06-04,NC,2말,이재학,A,7 김재율,B,0-0,좌익수 안타,무사  0:1
2017-06-04,NC,4말,이재학,A,7 김재율,B,1-1,좌익수 홈런,2사  4:1
2017-06-04,NC,6말,원종현,A,7 김재율,B,1-1,2루수 땅볼,1사  4:5
2017-06-04,NC,8말,김진성,A,7 김재율,B,1-1,우익수 파울 뜬공,2사  4:5
2017-06-07,kt,3초,로치,A,7 김재율,B,1-1,좌익수 안타,무사  0:1
2017-06-07,kt,5초,로치,A,7 김재율,B,2-1,김재율/10929 : 삼진 아웃,무사  1:1
2017-06-07,kt,6초,로치,A,7 김재율,B,0-1,우익수 뜬공,"1사 1,2루 4:3"
2017-06-07,kt,8초,심재민,A,7 김재율,B,2-0,김재율/10929 : 삼진 아웃,2사  6:7
2017-06-07,kt,9초,이상화,A,7 김재율,B,0-0,1루수 파울 뜬공,2사 3루 11:7
2017-06-08,kt,2초,고영표,A,7 김재율,B,1-0,3루수 파울 뜬공,2사  0:0
2017-06-08,kt,5초,고영표,A,7 김재율,B,0-2,1루수 파울 뜬공,무사  2:2
2017-06-08,kt,7초,고영표,A,7 김재율,B,2-0,김재율/10929 : 삼진 아웃,2사 1루 2:2
2017-06-08,kt,9초,강장산,A,7 김재율,B,0-2,투수 희생번트,무사 1루 5:3
2017-06-09,SK,2말,박종훈,A,7 김재율,B,2-3,우익수 뜬공,1사  0:1
2017-06-09,SK,5말,박종훈,A,7 김재율,B,2-1,포수 땅볼,무사  0:1
2017-06-09,SK,7말,채병용,A,7 김재율,B,1-2,3루수 땅볼,1사 1루 1:1
2017-06-10,SK,2말,켈리,A,6 김재율,B,1-0,유격수 땅볼,무사  2:0
2017-06-10,SK,4말,켈리,A,6 김재율,B,2-0,김재율/10929 : 삼진 아웃,"무사 1,2루 2:0"
2017-06-10,SK,6말,켈리,A,6 김재율,B,1-2,좌익수 안타[실책포함],2사  3:1
2017-06-11,SK,8말,김대유,A,5 김재율,B,2-3,김재율/10929 : 삼진 아웃,2사 2루 1:19
2017-06-14,두산,9초,박치국,A,6 김재율,B,0-2,유격수 땅볼,2사 1루 5:1
2017-06-15,두산,2초,함덕주,A,6 김재율,B,2-2,중견수 안타,2사  0:4
2017-06-15,두산,3초,함덕주,A,6 김재율,B,0-0,투수 번트 땅볼,"1사 1,3루 3:4"
2017-06-15,두산,5초,박치국,A,6 김재율,B,2-3,볼넷,2사  6:4
2017-06-15,두산,7초,김승회,A,6 김재율,B,2-0,우익수 뜬공,1사 1루 7:4
2017-06-15,두산,8초,김성배,A,6 김재율,B,2-1,우익수 안타,1사 1루 10:4
2017-06-16,KIA,2초,팻딘,A,6 김재율,B,2-2,우익수 2루타,무사  1:0
2017-06-16,KIA,4초,팻딘,A,6 김재율,B,0-1,중견수 안타,1사  2:0
2017-06-16,KIA,5초,팻딘,A,6 김재율,B,2-1,3루수 땅볼,1사 만루 4:0
2017-06-16,KIA,7초,홍건희,A,6 김재율,B,2-1,김재율/10929 : 삼진 아웃,무사  8:5
2017-06-16,KIA,9초,한승혁,A,6 김재율,B,2-1,김재율/10929 : 삼진 아웃,1사  9:8
2017-06-17,KIA,7초,고효준,A,2 김재율,B,2-2,중견수 안타,1사  3:4
2017-06-18,KIA,7초,심동섭,A,6 김재율,B,1-0,포수 희생번트,무사 1루 9:7
2017-06-18,KIA,8초,김광수,A,6 김재율,B,0-0,우익수 뜬공,1사 1루 13:8
2017-06-18,KIA,9초,박경태,A,6 김재율,B,2-3,우익수 뜬공,"2사 1,3루 16:8"
2017-06-21,삼성,2말,김대우,A,7 김재율,B,1-0,유격수 땅볼,무사 1루 0:2
2017-06-21,삼성,5말,김대우,A,7 김재율,B,1-0,우익수 뜬공,무사  1:2
