date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2015-04-10,두산,2말,니퍼트,A,9 박지규,B,1-1,박지규/11346 : 우익수 직선타 아웃,2사 2루 0:1
2015-04-10,두산,4말,니퍼트,A,9 박지규,B,0-3,볼넷,2사  0:1
2015-04-10,두산,7말,함덕주,A,9 박지규,B,2-3,박지규/11346 : 삼진 아웃,무사  2:1
2015-04-10,두산,8말,오현택,A,9 박지규,B,2-1,박지규/11346 : 삼진 아웃,1사 2루 2:5
2015-04-11,두산,2말,장원준,A,9 박지규,B,0-0,중견수 뜬공,1사 2루 1:2
2015-04-11,두산,5말,장원준,A,9 박지규,B,2-2,박지규/11346 : 삼진 아웃,2사  5:2
2015-04-12,두산,3말,유희관,A,9 박지규,B,2-3,좌익수 2루타,무사  0:1
2015-04-12,두산,5말,유희관,A,9 박지규,B,0-1,우익수 안타,1사 1루 2:1
2015-04-12,두산,8말,이재우,A,9 박지규,B,1-0,중견수 안타,무사  2:1
2015-04-15,KIA,7말,심동섭,A,9 박지규,B,2-0,박지규/11346 : 삼진 아웃,2사 2루 5:2
2015-04-15,KIA,9말,임준섭,A,9 박지규,B,1-0,좌익수 안타,2사 2루 9:4
2015-04-16,KIA,7말,최영필,A,9 박지규,B,1-1,몸에 맞는 볼,무사  5:6
2015-04-16,KIA,8말,문경찬,A,9 박지규,B,1-0,좌익수 뜬공,2사  5:10
2015-04-17,SK,3초,윤희상,A,9 박지규,B,1-1,1루수 희생번트,"무사 1,2루 0:0"
2015-04-17,SK,5초,윤희상,A,9 박지규,B,0-2,중견수 뜬공,1사  2:0
2015-04-17,SK,7초,이재영,A,9 박지규,B,2-2,1루수 땅볼 실책[실책포함],1사 1루 4:1
2015-04-17,SK,9초,고효준,A,9 박지규,B,2-0,3루수 내야안타,무사  6:1
2015-04-18,SK,9초,윤길현,A,9 박지규,B,1-1,1루수 땅볼,2사  4:8
2015-04-21,한화,8말,정대훈,A,6 박지규,B,1-2,1루수 땅볼,2사  0:10
2015-04-23,한화,2말,배영수,A,9 박지규,B,0-0,우익수 안타,1사 1루 0:2
2015-04-23,한화,3말,김기현,A,9 박지규,B,0-0,우익수 뜬공,"2사 1,3루 0:3"
2015-04-23,한화,5말,김기현,A,9 박지규,B,0-2,1루수 땅볼,2사 2루 2:3
2015-04-23,한화,7말,송창식,A,9 박지규,B,1-0,2루수 땅볼,1사 2루 2:4
2015-04-24,NC,3초,해커,A,9 박지규,B,0-0,1루수 땅볼,2사  0:2
2015-04-24,NC,6초,해커,A,9 박지규,B,2-3,좌익수 2루타,1사  0:5
2015-04-24,NC,8초,홍성용,A,9 박지규,B,2-0,좌익수 안타,무사  2:10
2015-04-25,NC,2초,이재학,A,9 박지규,B,2-0,1루수 땅볼,2사 2루 2:0
2015-04-25,NC,5초,이재학,A,9 박지규,B,0-3,볼넷,무사  2:1
2015-04-25,NC,6초,임창민,A,9 박지규,B,2-1,박지규/11346 : 삼진 아웃,무사  6:1
2015-04-25,NC,8초,고창성,A,9 박지규,B,2-0,유격수 땅볼,1사 1루 6:2
2015-04-26,NC,2초,찰리,A,9 박지규,B,2-1,2루수 땅볼,"2사 1,2루 1:0"
2015-04-26,NC,5초,찰리,A,9 박지규,B,2-0,삼진,무사  1:2
2015-04-28,삼성,9초,임창용,A,2 박지규,B,2-1,스트라이크낫아웃 출루,"2사 1,3루 4:4"
2015-04-29,삼성,9초,심창민,A,9 박지규,B,0-2,좌익수 뜬공,2사  2:6
