date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-09-07,넥센,10초,윤영삼,A,1 윤진호,B,2-2,삼진,1사 2루 1:1
2017-09-28,kt,9초,김재윤,A,4 윤진호,B,2-1,좌익수 안타,"1사 1,3루 11:6"
2017-09-30,삼성,8말,심창민,A,4 윤진호,B,1-0,1루수 파울 뜬공,1사  3:3
2016-04-07,KIA,8초,김윤동,A,9 윤진호,B,2-3,윤진호/10476 : 삼진 아웃,무사  6:3
2016-04-08,SK,10초,박정배,A,9 윤진호,B,1-0,2루수 땅볼,2사 1루 2:2
2016-04-14,롯데,8말,레일리,A,1 윤진호,B,1-1,투수 땅볼,무사  9:0
2016-04-15,한화,9초,장민재,A,1 윤진호,B,0-0,유격수 병살타,1사 1루 18:2
2016-06-21,SK,3초,문승원,A,9 윤진호,B,2-1,유격수 내야안타,무사  1:2
2016-06-21,SK,4초,박정배,A,9 윤진호,B,0-0,포수 번트 땅볼,"무사 1,3루 4:4"
2016-06-21,SK,6초,김주한,A,9 윤진호,B,0-0,투수 희생번트,무사 1루 7:4
2016-06-21,SK,8초,채병용,A,9 윤진호,B,2-3,우익수 뜬공,무사  8:5
2016-06-22,SK,2초,윤희상,A,9 윤진호,B,2-0,2루수 땅볼,"2사 1,3루 0:4"
2016-06-22,SK,4초,윤희상,A,9 윤진호,B,2-1,윤진호/10476 : 삼진 아웃,2사  2:5
2016-06-23,SK,3초,김광현,A,9 윤진호,B,2-0,투수 땅볼,1사 2루 0:3
2016-06-23,SK,5초,김광현,A,9 윤진호,B,2-1,윤진호/10476 : 삼진 아웃,2사  0:9
2016-06-25,넥센,9말,김세현,A,1 윤진호,B,0-0,투수 희생번트,무사 1루 6:5
2016-06-30,KIA,9초,김광수,A,6 윤진호,B,1-2,우익수 안타,2사 1루 8:9
2016-06-30,KIA,11초,김광수,A,6 윤진호,B,2-2,좌익수 안타,1사 1루 9:9
2016-07-02,SK,9말,박희수,A,9 윤진호,B,2-0,윤진호/10476 : 삼진 아웃,1사 1루 4:2
2016-09-06,넥센,8말,양훈,A,9 윤진호,B,2-2,2루수 뜬공,"2사 1,2루 2:5"
2016-09-07,넥센,8말,이정훈,A,9 윤진호,B,2-1,우익수 안타,무사  0:8
2016-09-09,두산,8말,진야곱,A,9 윤진호,B,2-1,유격수 땅볼,무사  4:10
2016-09-15,KIA,8말,김진우,A,9 윤진호,B,2-2,윤진호/10476 : 삼진 아웃,2사 2루 2:5
2016-09-27,KIA,9초,홍건희,A,1 윤진호,B,2-0,삼진,무사  6:0
2016-10-03,삼성,9초,김승현,A,9 윤진호,B,1-1,2루수 땅볼,1사 1루 10:3
2016-10-08,두산,7말,홍상삼,A,8 윤진호,B,0-1,1루수 파울 뜬공,무사  7:1
2015-04-11,두산,8말,함덕주,A,1 윤진호,B,2-1,윤진호/10476 : 삼진 아웃,"무사 1,2루 9:2"
2015-04-11,두산,9말,윤명준,A,1 윤진호,B,1-2,좌익수 안타,"2사 2,3루 9:5"
2015-04-17,SK,8초,고효준,A,6 윤진호,B,2-3,포수 땅볼 실책[실책포함],무사  6:1
2015-04-21,한화,8말,정대훈,A,5 윤진호,B,2-1,2루수 뜬공,1사  0:10
2015-04-24,NC,8초,홍성용,A,1 윤진호,B,2-0,1루수 땅볼,무사 1루 2:10
2015-04-25,NC,8초,고창성,A,7 윤진호,B,2-2,윤진호/10476 : 삼진 아웃,무사  6:2
2015-04-26,NC,9초,최금강,A,3 윤진호,B,0-0,투수 희생번트,무사 1루 6:2
2015-05-14,NC,12말,최금강,A,2 윤진호,B,0-0,1루수 파울 뜬공,2사  0:0
2015-05-20,넥센,9초,김택형,A,7 윤진호,B,2-2,우익수 파울 뜬공,"2사 2,3루 4:9"
2015-08-04,NC,6말,이재학,A,6 윤진호,B,2-1,2루수 땅볼,1사  8:1
2015-08-04,NC,9말,손민한,A,6 윤진호,B,1-3,1루수 파울 뜬공,무사  8:1
2015-08-09,두산,9초,노경은,A,7 윤진호,B,1-1,2루수 땅볼,무사 1루 1:9
2015-08-13,SK,8초,이재영,A,6 윤진호,B,2-1,윤진호/10476 : 삼진 아웃,1사  16:4
