date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-04-09,두산,2초,유희관,A,9 장시윤,B,0-0,유격수 땅볼,1사 1루 1:0
2016-04-09,두산,4초,유희관,A,9 장시윤,B,2-1,몸에 맞는 볼,"1사 1,2루 2:0"
2016-04-09,두산,5초,이현호,A,9 장시윤,B,2-0,우익수 파울 뜬공,1사 2루 7:0
2016-04-09,두산,8초,오현택,A,9 장시윤,B,1-0,중견수 안타,무사  8:7
2016-04-09,두산,9초,김강률,A,9 장시윤,B,2-2,장시윤/11227 : 삼진 아웃,2사 2루 9:9
2016-04-09,두산,11초,정재훈,A,9 장시윤,B,2-1,좌익수 뜬공,"2사 1,2루 9:9"
2016-04-10,두산,9초,오현택,A,5 장시윤,B,2-0,2루수 땅볼,2사  5:4
2016-04-15,KIA,2초,헥터,A,8 장시윤,B,0-3,볼넷,1사  2:2
2016-04-15,KIA,4초,헥터,A,8 장시윤,B,0-3,볼넷,2사  2:2
2016-04-15,KIA,5초,헥터,A,8 장시윤,B,0-3,볼넷,1사 2루 5:4
2016-04-15,KIA,7초,심동섭,A,8 장시윤,B,2-2,1루수 뜬공,2사  6:6
2016-09-15,kt,8말,류희운,A,7 장시윤,B,1-0,유격수 병살타,"1사 1,2루 6:10"
2016-09-19,롯데,9초,김성재,A,5 장시윤,B,2-2,장시윤/11227 : 삼진 아웃,2사  11:1
2016-09-29,두산,9초,고봉재,A,1 장시윤,B,2-1,유격수 내야안타,1사 1루 9:1
2015-08-30,KIA,8초,박준표,A,7 장시윤,B,2-1,1루수 땅볼,1사  6:1
2015-09-01,LG,3말,루카스,A,9 장시윤,B,2-0,3루수 병살타,무사 1루 1:0
2015-09-01,LG,4말,루카스,A,9 장시윤,B,0-1,3루수 땅볼,"2사 1,2루 1:3"
2015-09-01,LG,5말,신승현,A,9 장시윤,B,2-3,장시윤/11227 : 삼진 아웃,2사  1:9
2015-09-01,LG,7말,김지용,A,9 장시윤,B,2-1,장시윤/11227 : 삼진 아웃,1사  2:11
2015-09-02,LG,2말,류제국,A,9 장시윤,B,0-0,투수 희생번트,무사 1루 0:2
2015-09-02,LG,3말,류제국,A,9 장시윤,B,0-2,좌익수 안타,"2사 1,3루 0:3"
2015-09-02,LG,6말,유원상,A,9 장시윤,B,0-1,1루수 희생번트,무사 1루 5:4
2015-09-03,한화,2초,송은범,A,9 장시윤,B,0-0,중견수 안타,1사  3:0
2015-09-03,한화,4초,박성호,A,9 장시윤,B,2-2,장시윤/11227 : 삼진 아웃,2사  3:0
2015-09-04,한화,3초,탈보트,A,9 장시윤,B,2-1,삼진,무사  0:0
2015-09-05,SK,3초,채병용,A,9 장시윤,B,2-1,우익수 안타,무사  0:0
2015-09-05,SK,4초,전유수,A,9 장시윤,B,2-2,좌익수 안타,1사  4:0
2015-09-05,SK,6초,박민호,A,9 장시윤,B,1-1,유격수 땅볼,1사  5:0
2015-09-06,SK,3초,박종훈,A,9 장시윤,B,0-0,좌익수 뜬공,2사  0:3
2015-09-06,SK,6초,박종훈,A,9 장시윤,B,1-0,2루수 땅볼,1사 1루 0:5
2015-09-26,한화,7초,송창식,A,8 장시윤,B,2-1,장시윤/11227 : 삼진 아웃,1사 1루 0:11
2015-09-26,한화,9초,송은범,A,8 장시윤,B,2-0,중견수 안타,무사 1루 2:13
2015-09-27,kt,3말,저마노,A,8 장시윤,B,1-0,중견수 안타,무사  0:0
2015-09-27,kt,5말,저마노,A,8 장시윤,B,2-0,장시윤/11227 : 삼진 아웃,무사  1:2
2015-09-28,SK,2초,박종훈,A,8 장시윤,B,2-1,3루수 뜬공,"2사 1,2루 0:0"
2015-09-28,SK,4초,박종훈,A,8 장시윤,B,2-1,중견수 안타,2사  0:6
2015-09-28,SK,6초,채병용,A,8 장시윤,B,2-1,장시윤/11227 : 삼진 아웃,2사 2루 1:12
2015-09-28,SK,8초,박희수,A,8 장시윤,B,1-1,1루수 파울 뜬공,무사 만루 2:15
2015-09-29,NC,2말,스튜어트,A,8 장시윤,B,0-1,우익수 뜬공,1사  0:3
2015-09-29,NC,5말,스튜어트,A,8 장시윤,B,2-1,삼진,무사  6:3
2015-10-01,한화,1말,탈보트,A,8 장시윤,B,2-1,우익수 안타,"2사 2,3루 0:3"
2015-10-01,한화,3말,탈보트,A,8 장시윤,B,2-2,장시윤/11227 : 삼진 아웃,"1사 1,2루 0:4"
2015-10-02,롯데,2말,배장호,A,8 장시윤,B,1-0,장시윤/11227 : 2루수 직선타 아웃,1사 1루 3:2
2015-10-02,롯데,4말,배장호,A,8 장시윤,B,1-2,우익수 뜬공,1사  4:3
2015-10-03,삼성,3말,피가로,A,8 장시윤,B,2-0,중견수 뜬공,1사  1:0
