date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-02,SK,1초,문승원,A,1 전민수,B,1-3,볼넷,무사  0:0
2017-04-02,SK,3초,문승원,A,1 전민수,B,2-3,볼넷,1사  0:1
2017-04-02,SK,5초,문승원,A,1 전민수,B,0-1,전민수/10417 : 좌익수 직선타 아웃,무사  3:1
2017-04-02,SK,6초,박희수,A,1 전민수,B,2-1,중견수 뜬공,1사 2루 4:1
2017-04-02,SK,8초,임준혁,A,1 전민수,B,1-0,2루수 땅볼,무사  7:1
2017-04-02,SK,9초,김성민,A,1 전민수,B,2-1,유격수 땅볼,"2사 1,2루 8:1"
2017-04-04,두산,8말,김승회,A,9 전민수,B,2-2,3루수 파울 뜬공,1사  2:0
2017-04-07,삼성,1말,우규민,A,2 전민수,B,1-3,볼넷,1사  2:0
2017-04-07,삼성,3말,우규민,A,2 전민수,B,0-2,2루수 병살타,무사 1루 2:2
2017-04-07,삼성,6말,우규민,A,2 전민수,B,2-0,전민수/10417 : 삼진 아웃,무사  2:2
2017-04-07,삼성,8말,백정현,A,2 전민수,B,2-2,전민수/10417 : 삼진 아웃,1사  2:2
2017-04-08,삼성,1말,윤성환,A,2 전민수,B,2-1,1루수 땅볼,무사 1루 0:0
2017-04-08,삼성,3말,윤성환,A,2 전민수,B,0-0,1루수 땅볼,1사  0:1
2017-04-08,삼성,6말,윤성환,A,2 전민수,B,1-0,좌익수 뜬공,무사  0:1
2017-04-11,넥센,8초,마정길,A,2 전민수,B,1-1,전민수/10417 : 우익수 직선타 아웃,1사  2:12
2017-04-12,넥센,7초,김상수,A,2 전민수,B,1-0,우익수 희생플라이,"1사 1,3루 2:4"
2017-04-12,넥센,9초,김세현,A,2 전민수,B,2-0,중견수 뜬공,2사  3:5
2017-04-13,넥센,1초,밴헤켄,A,2 전민수,B,2-0,2루수 땅볼,1사  0:0
2017-04-13,넥센,3초,밴헤켄,A,2 전민수,B,2-2,중견수 뜬공,2사 2루 0:4
2017-04-13,넥센,5초,밴헤켄,A,2 전민수,B,2-0,전민수/10417 : 2루수 직선타 아웃,무사 1루 3:5
2017-04-13,넥센,7초,양훈,A,2 전민수,B,2-3,2루수 땅볼,무사  4:5
2017-04-13,넥센,9초,김세현,A,2 전민수,B,0-1,우익수 2루타,1사 1루 4:6
2017-04-14,LG,1초,류제국,A,2 전민수,B,1-2,우익수 홈런,1사  0:0
2017-04-14,LG,3초,류제국,A,2 전민수,B,0-1,2루수 내야안타,무사  1:2
2017-04-14,LG,5초,류제국,A,2 전민수,B,1-2,전민수/10417 : 유격수 직선타 아웃,1사  2:2
2017-04-14,LG,8초,진해수,A,2 전민수,B,2-1,전민수/10417 : 삼진 아웃,무사 1루 2:5
2017-04-15,LG,1초,임찬규,A,2 전민수,B,1-3,볼넷,1사  0:0
2017-04-15,LG,3초,임찬규,A,2 전민수,B,2-0,전민수/10417 : 삼진 아웃,1사 3루 0:0
2017-04-15,LG,5초,임찬규,A,2 전민수,B,1-2,3루수 땅볼,2사 3루 0:0
2017-04-15,LG,8초,진해수,A,2 전민수,B,2-1,투수 땅볼,2사  0:0
2017-04-15,LG,10초,김대현,A,2 전민수,B,2-2,2루수 내야안타,1사 2루 0:0
2017-04-16,LG,6초,고우석,A,1 전민수,B,2-2,전민수/10417 : 삼진 아웃,1사  4:7
2017-04-16,LG,8초,신정락,A,1 전민수,B,2-1,1루수 땅볼,1사  5:9
2017-04-18,KIA,1말,임기영,A,2 전민수,B,0-1,유격수 땅볼,무사 1루 0:0
2017-04-18,KIA,4말,임기영,A,2 전민수,B,2-1,전민수/10417 : 삼진 아웃,무사 3루 0:0
2017-04-19,KIA,7말,손영민,A,2 전민수,B,2-1,중견수 안타,2사  1:3
2017-04-20,KIA,4말,헥터,A,4 전민수,B,2-1,3루수 파울 뜬공,무사  8:1
2017-04-20,KIA,6말,헥터,A,4 전민수,B,2-3,전민수/10417 : 삼진 아웃,1사 1루 8:2
2017-04-20,KIA,9말,임창용,A,4 전민수,B,2-3,볼넷,무사  9:2
2017-04-21,한화,1말,배영수,A,2 전민수,B,2-1,2루수 땅볼,1사  0:0
2017-04-21,한화,3말,배영수,A,2 전민수,B,2-1,전민수/10417 : 삼진 아웃,1사 2루 1:2
2017-04-21,한화,5말,배영수,A,2 전민수,B,0-0,중견수 뜬공,2사  1:2
2017-04-23,한화,8말,심수창,A,2 전민수,B,2-1,우익수 안타,2사  13:0
2017-06-20,롯데,9말,애디튼,A,6 전민수,B,1-0,유격수 땅볼,무사 2루 10:1
2017-06-21,롯데,3말,송승준,A,9 전민수,B,0-0,유격수 파울 뜬공,2사  3:0
2017-06-21,롯데,5말,송승준,A,9 전민수,B,1-0,좌익수 2루타,2사 2루 6:1
2017-06-22,롯데,1말,노경은,A,2 전민수,B,0-0,투수 번트안타,1사  2:0
2017-06-22,롯데,2말,애디튼,A,2 전민수,B,0-2,3루수 희생번트,무사 1루 2:5
2017-06-22,롯데,3말,애디튼,A,2 전민수,B,0-1,1루수 땅볼,2사 3루 2:7
2017-06-22,롯데,6말,애디튼,A,2 전민수,B,2-3,유격수 땅볼,1사  3:7
