date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,넥센,2초,밴헤켄,A,8 정상호,B,0-1,중견수 플라이 실책[실책포함],2사 1루 0:0
2017-03-31,넥센,4초,밴헤켄,A,8 정상호,B,2-0,삼진,2사 1루 2:0
2017-03-31,넥센,7초,마정길,A,8 정상호,B,2-3,정상호/10083 : 삼진 아웃,1사  2:1
2017-04-04,삼성,7말,김대우,A,8 정상호,B,2-2,몸에 맞는 볼,무사  0:9
2017-04-04,삼성,8말,장지훈,A,8 정상호,B,0-2,3루수 파울 뜬공,2사 1루 0:11
2017-04-07,롯데,8초,송승준,A,6 정상호,B,2-2,정상호/10083 : 삼진 아웃,1사  6:4
2017-04-09,롯데,9초,노경은,A,9 정상호,B,0-1,3루수 병살타,"1사 1,3루 1:7"
2017-04-11,NC,9초,임창민,A,8 정상호,B,2-1,유격수 땅볼,2사  3:4
2017-04-12,NC,3초,해커,A,8 정상호,B,2-1,정상호/10083 : 삼진 아웃,무사  0:1
2017-04-12,NC,6초,해커,A,8 정상호,B,2-2,중견수 안타,무사  0:1
2017-04-12,NC,8초,김진성,A,8 정상호,B,2-0,1루수 땅볼 실책[실책포함],무사  0:1
2017-04-13,NC,3초,맨쉽,A,8 정상호,B,0-2,중견수 안타,무사  0:0
2017-04-13,NC,5초,맨쉽,A,8 정상호,B,0-0,3루수 땅볼,무사  1:3
2017-04-13,NC,7초,윤수호,A,8 정상호,B,2-1,정상호/10083 : 삼진 아웃,"무사 1,2루 1:3"
2017-04-15,kt,3말,피어밴드,A,8 정상호,B,2-1,2루수 땅볼,무사  0:0
2017-04-15,kt,5말,피어밴드,A,8 정상호,B,2-0,정상호/10083 : 삼진 아웃,1사  0:0
2017-04-16,kt,7말,장시환,A,8 정상호,B,1-2,3루수 파울 뜬공,무사 3루 5:9
2017-04-16,kt,8말,심재민,A,8 정상호,B,1-2,좌익수 뜬공,"1사 1,2루 5:12"
2017-04-18,한화,2초,오간도,A,8 정상호,B,1-0,좌익수 안타,"1사 1,3루 1:0"
2017-04-18,한화,4초,오간도,A,8 정상호,B,1-3,볼넷,2사 1루 2:1
2017-04-18,한화,7초,오간도,A,8 정상호,B,1-2,중견수 안타,무사  2:2
2017-04-19,한화,3초,비야누에바,A,8 정상호,B,1-1,2루수 뜬공,무사  0:0
2017-04-19,한화,5초,비야누에바,A,8 정상호,B,2-0,2루수 땅볼,2사 1루 0:1
2017-04-21,KIA,8말,김윤동,A,8 정상호,B,2-1,정상호/10083 : 삼진 아웃,"2사 1,2루 2:6"
2017-04-22,KIA,9말,심동섭,A,8 정상호,B,1-0,우익수 안타,2사 2루 5:2
2017-04-23,KIA,2말,정동현,A,8 정상호,B,1-1,유격수 땅볼,무사  0:2
2017-04-23,KIA,3말,홍건희,A,8 정상호,B,2-1,우익수 파울 뜬공,2사 2루 0:3
2017-04-23,KIA,5말,손영민,A,8 정상호,B,2-0,중견수 안타,무사 1루 0:5
2017-04-23,KIA,6말,김윤동,A,8 정상호,B,2-1,3루수 병살타,"무사 1,2루 0:7"
2017-04-25,SK,9말,김주한,A,8 정상호,B,0-0,2루수 병살타,1사 1루 8:3
2017-04-26,SK,3말,윤희상,A,8 정상호,B,2-3,몸에 맞는 볼,무사  0:1
2017-04-26,SK,4말,윤희상,A,8 정상호,B,0-0,1루수 야수선택(희번),1사 3루 0:3
2017-04-26,SK,6말,전유수,A,8 정상호,B,2-0,정상호/10083 : 삼진 아웃,무사  0:5
2017-04-26,SK,6말,전유수,A,8 정상호,B,2-0,2루수 땅볼,2사 만루 0:9
2017-04-27,SK,2말,문승원,A,8 정상호,B,0-3,볼넷,2사  0:1
2017-04-27,SK,4말,문승원,A,8 정상호,B,1-2,중견수 안타,1사 1루 0:2
2017-04-27,SK,5말,임준혁,A,8 정상호,B,2-2,좌익수 뜬공,"2사 2,3루 0:4"
2017-04-27,SK,8말,서진용,A,8 정상호,B,2-2,우익수 안타,1사  0:4
2017-04-29,kt,2초,고영표,A,8 정상호,B,1-0,투수 번트 땅볼,"무사 1,2루 0:0"
2017-04-29,kt,5초,고영표,A,8 정상호,B,1-0,유격수 병살타,무사 1루 0:6
2017-05-02,NC,3말,최금강,A,8 정상호,B,0-0,투수 희생번트,무사 1루 0:0
2017-05-02,NC,5말,최금강,A,8 정상호,B,1-0,좌익수 안타,무사  0:1
2017-05-02,NC,7말,원종현,A,8 정상호,B,2-1,삼진,1사  2:1
2017-05-03,NC,8말,윤수호,A,3 정상호,B,2-1,우익수 안타,무사  0:11
2017-05-05,두산,2초,장원준,A,8 정상호,B,2-0,중견수 안타,2사  0:0
2017-05-05,두산,5초,장원준,A,8 정상호,B,0-0,좌익수 안타,무사 1루 0:0
2017-05-05,두산,6초,장원준,A,8 정상호,B,1-0,2루수 땅볼,"2사 1,3루 2:0"
2017-05-05,두산,9초,이현승,A,8 정상호,B,2-0,정상호/10083 : 삼진 아웃,무사  3:1
2017-05-07,두산,2초,유희관,A,8 정상호,B,0-2,중견수 안타,2사  0:0
2017-05-07,두산,4초,유희관,A,8 정상호,B,1-1,좌익수 안타,2사  2:2
2017-05-07,두산,6초,유희관,A,8 정상호,B,0-1,중견수 안타,무사 1루 4:2
2017-05-07,두산,7초,이현승,A,8 정상호,B,1-1,중견수 안타,"1사 1,2루 7:4"
2017-05-07,두산,9초,이현호,A,8 정상호,B,2-3,우익수 뜬공,무사 1루 9:4
2017-05-10,삼성,8초,장필준,A,8 정상호,B,2-1,3루수 땅볼,"2사 1,3루 1:1"
2017-05-10,삼성,9초,김승현,A,8 정상호,B,2-1,삼진,2사 1루 6:1
2017-05-11,삼성,3초,페트릭,A,8 정상호,B,1-1,유격수 땅볼,무사  0:2
2017-05-11,삼성,5초,페트릭,A,8 정상호,B,2-0,좌익수 안타,1사  2:3
2017-05-11,삼성,7초,김승현,A,8 정상호,B,1-1,3루수 땅볼,무사  5:5
2017-05-13,한화,3말,김재영,A,8 정상호,B,0-1,몸에 맞는 볼,무사  6:0
2017-05-13,한화,5말,김재영,A,8 정상호,B,0-1,좌익수 안타,1사  8:0
2017-05-17,KIA,2초,팻딘,A,8 정상호,B,2-1,좌익수 홈런,2사 2루 0:0
2017-05-17,KIA,4초,팻딘,A,8 정상호,B,2-3,정상호/10083 : 삼진 아웃,1사 1루 2:3
2017-05-17,KIA,7초,박지훈,A,8 정상호,B,0-1,2루수 뜬공,무사  2:6
2017-05-17,KIA,9초,한승혁,A,8 정상호,B,0-1,중견수 안타,2사 1루 2:8
2017-05-18,KIA,9초,정용운,A,3 정상호,B,2-1,3루수 병살타,1사 1루 4:9
2017-05-19,롯데,7말,김유영,A,2 정상호,B,2-2,정상호/10083 : 삼진 아웃,"2사 1,2루 5:4"
2017-05-24,두산,3말,함덕주,A,8 정상호,B,1-1,2루수 뜬공,무사  0:0
2017-05-24,두산,5말,함덕주,A,8 정상호,B,2-1,정상호/10083 : 삼진 아웃,1사 2루 1:0
2017-05-25,두산,1말,박치국,A,8 정상호,B,2-2,2루수 땅볼,"2사 1,3루 0:3"
2017-05-25,두산,4말,박치국,A,8 정상호,B,2-0,3루수 땅볼,무사  1:3
2017-05-25,두산,6말,김강률,A,8 정상호,B,2-2,중견수 안타,무사  3:4
2017-05-25,두산,7말,김승회,A,8 정상호,B,0-0,유격수 땅볼,1사 1루 8:7
2017-05-25,두산,9말,이현승,A,8 정상호,B,0-1,유격수 병살타,"1사 1,2루 9:7"
2017-05-27,SK,9초,박희수,A,4 정상호,B,0-0,좌익수 홈런,"무사 1,2루 0:4"
2017-05-28,SK,7초,서진용,A,8 정상호,B,2-3,정상호/10083 : 삼진 아웃,1사 1루 1:5
2017-05-28,SK,9초,김주한,A,8 정상호,B,2-0,2루수 병살타,무사 만루 1:5
2017-05-30,넥센,2말,브리검,A,8 정상호,B,2-2,삼진,2사 3루 1:0
2017-05-30,넥센,5말,브리검,A,8 정상호,B,2-1,정상호/10083 : 삼진 아웃,2사  2:0
2017-05-31,넥센,2말,조상우,A,8 정상호,B,0-0,1루수 뜬공,1사  0:2
2017-05-31,넥센,4말,조상우,A,8 정상호,B,1-0,1루수 희생번트,"무사 1,2루 0:2"
2017-05-31,넥센,6말,조상우,A,8 정상호,B,2-2,2루수 뜬공,1사 2루 1:4
2017-05-31,넥센,8말,황덕균,A,8 정상호,B,0-0,포수 희생번트,무사 1루 1:5
2017-06-02,NC,2말,구창모,A,8 정상호,B,2-1,정상호/10083 : 삼진 아웃,2사 1루 0:0
