date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-07-11,SK,9초,서진용,A,5 정주현,B,2-2,정주현/10480 : 삼진 아웃,1사  1:6
2017-07-13,SK,9초,박희수,A,9 정주현,B,1-0,정주현/10480 : 유격수 직선타 아웃,1사  9:1
2017-09-02,NC,1초,구창모,A,2 정주현,B,1-0,2루수 땅볼,1사  0:0
2017-09-02,NC,3초,구창모,A,2 정주현,B,2-1,투수 땅볼,2사  0:2
2017-09-02,NC,6초,김진성,A,2 정주현,B,2-0,정주현/10480 : 삼진 아웃,2사  0:5
2017-09-03,NC,8초,이민호,A,1 정주현,B,2-1,정주현/10480 : 삼진 아웃,1사 2루 0:5
2017-09-15,kt,10초,윤근영,A,3 정주현,B,1-1,투수 희생번트,무사 1루 4:4
2017-09-19,kt,9말,이상화,A,3 정주현,B,0-0,포수 파울 뜬공,1사  15:7
2017-09-26,KIA,8초,김윤동,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,2사  0:6
2016-04-01,한화,1말,송은범,A,2 정주현,B,2-0,정주현/10480 : 삼진 아웃,무사 1루 2:0
2016-04-01,한화,3말,송은범,A,2 정주현,B,0-0,3루수 땅볼,무사 1루 4:2
2016-04-01,한화,4말,박정진,A,2 정주현,B,2-0,유격수 땅볼 실책[실책포함],"2사 1,3루 4:3"
2016-04-01,한화,7말,권혁,A,2 정주현,B,2-2,정주현/10480 : 삼진 아웃,무사  4:4
2016-04-01,한화,9말,정우람,A,2 정주현,B,2-3,정주현/10480 : 삼진 아웃,2사  4:4
2016-04-02,한화,1말,김재영,A,2 정주현,B,1-3,볼넷,1사  0:0
2016-04-02,한화,2말,김용주,A,2 정주현,B,2-3,볼넷,2사 만루 2:1
2016-04-02,한화,4말,장민재,A,2 정주현,B,2-1,유격수 땅볼,무사  2:4
2016-04-02,한화,6말,송창식,A,2 정주현,B,0-2,중견수 안타,1사  3:5
2016-04-02,한화,9말,권혁,A,2 정주현,B,1-1,중견수 2루타,무사  7:5
2016-04-02,한화,10말,이재우,A,2 정주현,B,2-0,정주현/10480 : 삼진 아웃,2사  7:7
2016-04-05,KIA,1초,윤석민,A,2 정주현,B,2-1,1루수 땅볼,1사  0:0
2016-04-05,KIA,3초,윤석민,A,2 정주현,B,2-2,2루수 땅볼,무사 1루 1:0
2016-04-05,KIA,5초,윤석민,A,2 정주현,B,1-1,3루수 내야안타,2사  1:0
2016-04-05,KIA,8초,최영필,A,2 정주현,B,0-1,우익수 안타,1사  1:4
2016-04-07,KIA,1초,지크,A,2 정주현,B,2-3,볼넷,1사  0:0
2016-04-07,KIA,3초,지크,A,2 정주현,B,1-2,유격수 땅볼,무사  0:0
2016-04-07,KIA,6초,지크,A,2 정주현,B,2-3,볼넷,무사  0:3
2016-04-07,KIA,6초,심동섭,A,2 정주현,B,0-2,1루수 파울 뜬공,"2사 1,3루 5:3"
2016-04-07,KIA,8초,김윤동,A,2 정주현,B,2-0,삼진,2사  6:3
2016-04-08,SK,1초,켈리,A,1 정주현,B,2-1,정주현/10480 : 삼진 아웃,무사  0:0
2016-04-08,SK,4초,켈리,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,무사  0:1
2016-04-08,SK,6초,켈리,A,1 정주현,B,0-2,3루수 땅볼,1사  1:1
2016-04-08,SK,8초,켈리,A,1 정주현,B,2-0,3루수 땅볼,1사  2:2
2016-04-09,SK,1초,박종훈,A,1 정주현,B,1-0,중견수 안타,무사  0:0
2016-04-09,SK,3초,박종훈,A,1 정주현,B,2-0,정주현/10480 : 삼진 아웃,1사  0:1
2016-04-09,SK,5초,박종훈,A,1 정주현,B,1-1,투수 땅볼,무사  1:3
2016-04-09,SK,7초,채병용,A,1 정주현,B,1-1,중견수 안타,무사  3:3
2016-04-09,SK,9초,박희수,A,1 정주현,B,2-3,볼넷,2사  3:4
2016-04-10,SK,1초,세든,A,1 정주현,B,1-0,중견수 안타,무사  0:0
2016-04-10,SK,2초,세든,A,1 정주현,B,2-2,2루수 땅볼,2사 1루 3:5
2016-04-10,SK,5초,세든,A,1 정주현,B,2-2,우익수 땅볼,무사 1루 3:7
2016-04-10,SK,7초,김승회,A,1 정주현,B,1-3,중견수 뜬공,1사  4:7
2016-04-10,SK,9초,박희수,A,1 정주현,B,2-3,우익수 뜬공,1사 1루 6:7
2016-04-12,롯데,1말,김원중,A,1 정주현,B,2-3,볼넷,무사  4:0
2016-04-12,롯데,2말,김원중,A,1 정주현,B,0-3,볼넷,1사  4:3
2016-04-12,롯데,4말,이정민,A,1 정주현,B,2-2,3루수 내야안타,2사  4:3
2016-04-12,롯데,6말,이정민,A,1 정주현,B,0-1,좌익수 2루타,1사 1루 4:3
2016-04-12,롯데,7말,윤길현,A,1 정주현,B,1-0,투수 땅볼,"무사 1,2루 8:8"
2016-04-12,롯데,9말,이성민,A,1 정주현,B,1-2,유격수 땅볼,1사  11:11
2016-04-12,롯데,10말,손승락,A,1 정주현,B,1-1,중견수 희생플라이,1사 만루 11:11
2016-04-13,롯데,1말,린드블럼,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,무사  0:0
2016-04-13,롯데,2말,린드블럼,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,1사 만루 0:1
2016-04-13,롯데,4말,린드블럼,A,1 정주현,B,1-0,좌익수 안타,2사  0:4
2016-04-13,롯데,6말,박진형,A,1 정주현,B,2-0,정주현/10480 : 삼진 아웃,1사 1루 0:5
2016-04-13,롯데,8말,김유영,A,1 정주현,B,2-3,볼넷,2사  3:5
2016-04-14,롯데,1말,레일리,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,무사  4:0
2016-04-14,롯데,3말,레일리,A,1 정주현,B,1-0,좌익수 안타,2사  6:0
2016-04-14,롯데,5말,레일리,A,1 정주현,B,2-3,삼진,2사  9:0
2016-04-15,한화,1초,마에스트리,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,무사  0:0
2016-04-15,한화,2초,마에스트리,A,1 정주현,B,2-3,좌익수 홈런,1사 만루 1:1
2016-04-15,한화,3초,마에스트리,A,1 정주현,B,0-0,유격수 땅볼 실책[실책포함],"1사 1,2루 7:1"
2016-04-15,한화,4초,이재우,A,1 정주현,B,1-0,우익수 뜬공,"1사 1,2루 11:1"
2016-04-15,한화,6초,이재우,A,1 정주현,B,0-1,3루수 땅볼,무사 1루 12:1
2016-04-15,한화,7초,김경태,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,2사 1루 15:2
2016-04-17,한화,1초,송은범,A,1 정주현,B,0-0,우익수 2루타,무사  0:0
2016-04-17,한화,3초,송은범,A,1 정주현,B,2-1,정주현/10480 : 삼진 아웃,무사 2루 1:0
2016-04-17,한화,4초,송창현,A,1 정주현,B,2-1,정주현/10480 : 삼진 아웃,2사 2루 5:0
2016-04-17,한화,6초,장민재,A,1 정주현,B,1-3,볼넷,무사 1루 6:0
2016-04-17,한화,8초,박정진,A,1 정주현,B,2-3,정주현/10480 : 삼진 아웃,1사 1루 6:3
2016-04-19,NC,1말,해커,A,1 정주현,B,2-2,유격수 땅볼,무사  0:0
2016-04-19,NC,3말,해커,A,1 정주현,B,0-2,3루수 땅볼,무사 1루 0:1
2016-04-19,NC,5말,해커,A,1 정주현,B,2-2,정주현/10480 : 삼진 아웃,2사  2:1
2016-04-19,NC,8말,김진성,A,1 정주현,B,0-2,1루수 파울 뜬공,2사  7:1
2016-04-20,NC,1말,스튜어트,A,1 정주현,B,2-1,정주현/10480 : 삼진 아웃,무사  0:0
2016-04-20,NC,2말,스튜어트,A,1 정주현,B,0-1,유격수 땅볼 실책[실책포함],2사  0:3
2016-04-20,NC,4말,스튜어트,A,1 정주현,B,2-3,3루수 땅볼,무사  3:5
2016-04-20,NC,7말,스튜어트,A,1 정주현,B,1-2,중견수 뜬공,무사  3:5
2016-04-21,NC,3말,이재학,A,9 정주현,B,0-0,우익수 안타,1사 1루 1:0
2016-04-21,NC,4말,이재학,A,9 정주현,B,0-0,3루수 땅볼,"2사 2,3루 3:2"
2016-04-21,NC,6말,김진성,A,9 정주현,B,2-2,정주현/10480 : 삼진 아웃,무사 1루 6:5
2016-04-21,NC,8말,박준영,A,9 정주현,B,1-1,중견수 안타,무사  8:5
2016-04-21,NC,9말,임창민,A,9 정주현,B,2-2,삼진,"2사 1,2루 8:5"
2016-04-22,넥센,1초,박주현,A,1 정주현,B,2-0,정주현/10480 : 삼진 아웃,무사  0:0
2016-04-22,넥센,3초,박주현,A,1 정주현,B,2-1,투수 땅볼,1사  0:5
2016-04-22,넥센,5초,박주현,A,1 정주현,B,1-0,우익수 뜬공,"2사 1,2루 0:7"
2016-04-23,넥센,3초,신재영,A,9 정주현,B,2-0,2루수 땅볼,무사  0:3
2016-04-23,넥센,5초,신재영,A,9 정주현,B,2-3,정주현/10480 : 삼진 아웃,무사  0:8
2016-04-24,넥센,9초,김택형,A,9 정주현,B,2-0,정주현/10480 : 삼진 아웃,무사 1루 5:3
2016-04-28,삼성,3초,김건한,A,9 정주현,B,2-0,정주현/10480 : 삼진 아웃,1사  0:1
2016-04-28,삼성,4초,장필준,A,9 정주현,B,1-1,1루수 땅볼,무사  4:3
2016-05-10,삼성,8말,김대우,A,9 정주현,B,2-3,볼넷,무사  9:3
2016-05-11,삼성,8말,장필준,A,4 정주현,B,0-1,3루수 내야안타,1사  2:16
2016-05-12,삼성,7말,박근홍,A,2 정주현,B,1-2,좌익수 뜬공,2사  7:2
2016-05-12,삼성,9말,심창민,A,2 정주현,B,2-3,정주현/10480 : 삼진 아웃,2사  7:5
2016-05-14,SK,8말,박민호,A,3 정주현,B,2-1,3루수 땅볼,무사  3:12
2016-05-18,kt,1초,정대현,A,2 정주현,B,2-2,정주현/10480 : 삼진 아웃,무사 2루 0:0
2016-05-18,kt,3초,정대현,A,2 정주현,B,2-2,유격수 땅볼,무사  3:0
2016-05-18,kt,5초,정대현,A,2 정주현,B,1-1,2루수 땅볼,2사  3:2
2016-05-18,kt,8초,장시환,A,2 정주현,B,0-0,1루수 희생번트,"무사 1,2루 3:2"
2016-05-19,kt,10초,김사율,A,7 정주현,B,2-1,유격수 땅볼,2사 1루 4:0
2016-05-20,넥센,3말,박주현,A,9 정주현,B,2-1,우익수 뜬공,무사  3:0
2016-05-20,넥센,5말,박주현,A,9 정주현,B,1-1,중견수 안타,"1사 2,3루 3:0"
2016-05-20,넥센,7말,김상수,A,9 정주현,B,1-0,중견수 뜬공,2사  3:2
