date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-09-16,한화,1말,김재영,A,2 최민창,B,2-0,1루수 땅볼,1사  0:0
2017-09-16,한화,3말,김재영,A,2 최민창,B,2-1,1루수 땅볼,2사 1루 0:0
2017-09-16,한화,6말,김재영,A,2 최민창,B,2-2,우익수 안타,무사  0:0
2017-09-17,한화,1말,오간도,A,2 최민창,B,2-1,3루수 땅볼,1사  0:0
2017-09-17,한화,3말,오간도,A,2 최민창,B,2-1,2루수 내야안타,"1사 1,2루 0:0"
2017-09-17,한화,4말,오간도,A,2 최민창,B,0-0,2루수 땅볼,2사 1루 0:4
2017-09-19,kt,1말,류희운,A,2 최민창,B,2-1,좌익수 뜬공,무사 1루 0:0
2017-09-19,kt,3말,류희운,A,2 최민창,B,1-3,볼넷,1사 1루 0:1
2017-09-19,kt,5말,류희운,A,2 최민창,B,0-1,1루수 땅볼 실책[실책포함],"1사 1,3루 0:1"
2017-09-19,kt,7말,윤근영,A,2 최민창,B,2-1,삼진,1사  1:3
2017-09-20,한화,1말,배영수,A,2 최민창,B,0-1,좌익수 뜬공,1사  0:0
2017-09-20,한화,3말,배영수,A,2 최민창,B,2-3,볼넷,"1사 2,3루 0:0"
2017-09-20,한화,5말,배영수,A,2 최민창,B,1-0,우익수 안타,2사  1:0
2017-09-21,삼성,9초,이승현,A,7 최민창,B,0-0,2루수 땅볼,무사 2루 3:8
2017-09-22,삼성,3초,백정현,A,9 최민창,B,2-3,볼넷,2사  0:0
2017-09-22,삼성,5초,백정현,A,9 최민창,B,1-1,2루수 땅볼,1사 2루 0:0
2017-09-22,삼성,7초,임대한,A,9 최민창,B,0-1,좌익수 안타,무사  4:1
2017-09-22,삼성,8초,김시현,A,9 최민창,B,2-1,중견수 안타,1사 1루 5:3
2017-09-22,삼성,9초,최지광,A,9 최민창,B,2-0,최민창/11351 : 삼진 아웃,2사 1루 8:3
2017-09-23,NC,1초,맨쉽,A,9 최민창,B,1-3,유격수 땅볼,2사 만루 3:0
2017-09-23,NC,4초,정수민,A,9 최민창,B,2-0,최민창/11351 : 삼진 아웃,1사  3:5
2017-09-23,NC,5초,김진성,A,9 최민창,B,2-1,중견수 안타,2사 1루 7:5
2017-09-24,NC,3초,해커,A,9 최민창,B,1-2,2루수 땅볼,1사  1:0
2017-09-24,NC,6초,해커,A,9 최민창,B,2-2,최민창/11351 : 삼진 아웃,무사  1:0
2017-09-28,kt,8초,배우열,A,7 최민창,B,2-1,최민창/11351 : 삼진 아웃,1사 1루 11:5
2017-09-28,kt,9초,이종혁,A,7 최민창,B,2-1,최민창/11351 : 삼진 아웃,2사  15:6
2017-09-30,삼성,1말,최지광,A,2 최민창,B,2-2,우익수 안타,1사  0:0
2017-09-30,삼성,3말,최지광,A,2 최민창,B,0-1,좌익수 희생플라이,1사 만루 1:0
2017-09-30,삼성,5말,황수범,A,2 최민창,B,0-0,최민창/11351 : 1루수 직선타 아웃,2사  2:3
2017-09-30,삼성,7말,김시현,A,2 최민창,B,1-0,2루수 땅볼,2사  2:3
2017-10-01,삼성,1말,우규민,A,2 최민창,B,2-1,최민창/11351 : 삼진 아웃,1사  1:0
2017-10-01,삼성,4말,우규민,A,2 최민창,B,0-0,중견수 안타,무사 1루 4:0
2017-10-01,삼성,6말,우규민,A,2 최민창,B,0-1,투수 땅볼,무사 1루 9:2
