date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-28,두산,9초,이현승,A,8 김동한,B,0-0,3루수 희생번트,"무사 1,2루 0:2"
2017-04-29,두산,2초,장원준,A,7 김동한,B,2-3,볼넷,1사  0:0
2017-04-29,두산,3초,장원준,A,7 김동한,B,0-1,2루수 땅볼,"1사 1,2루 1:0"
2017-04-29,두산,5초,장원준,A,7 김동한,B,1-2,3루수 땅볼,1사 2루 1:0
2017-04-29,두산,7초,김성배,A,7 김동한,B,2-1,우익수 뜬공,무사  3:0
2017-04-29,두산,9초,이현승,A,7 김동한,B,2-3,볼넷,2사  3:5
2017-04-30,두산,1초,함덕주,A,2 김동한,B,0-0,투수 번트안타,무사 1루 0:0
2017-04-30,두산,2초,함덕주,A,2 김동한,B,2-2,유격수 땅볼,2사 2루 2:0
2017-04-30,두산,5초,함덕주,A,2 김동한,B,1-0,좌익수 뜬공,1사 1루 2:0
2017-04-30,두산,8초,김승회,A,2 김동한,B,0-0,우익수 2루타,무사  2:0
2017-04-30,두산,9초,박치국,A,2 김동한,B,2-2,김동한/10734 : 삼진 아웃,무사 1루 4:0
2017-05-02,kt,1초,정대현,A,2 김동한,B,0-1,좌익수 2루타,1사  0:0
2017-05-02,kt,3초,정대현,A,2 김동한,B,2-2,우익수 안타,"1사 2,3루 0:0"
2017-05-02,kt,5초,정대현,A,2 김동한,B,0-0,3루수 희생번트 실책[실책포함],무사 2루 2:0
2017-05-02,kt,6초,배우열,A,2 김동한,B,2-2,2루수 뜬공,1사 2루 5:0
2017-05-02,kt,8초,홍성용,A,2 김동한,B,1-0,중견수 뜬공,무사  7:0
2017-05-03,kt,1초,피어밴드,A,2 김동한,B,0-1,우익수 2루타,1사  0:0
2017-05-03,kt,3초,피어밴드,A,2 김동한,B,2-0,3루수 땅볼,무사  1:0
2017-05-03,kt,4초,피어밴드,A,2 김동한,B,0-3,볼넷,2사 2루 2:0
2017-05-03,kt,6초,피어밴드,A,2 김동한,B,1-0,중견수 뜬공,"2사 2,3루 2:5"
2017-05-03,kt,9초,이상화,A,2 김동한,B,0-1,우익수 뜬공,1사  2:8
2017-05-04,kt,1초,류희운,A,2 김동한,B,2-3,3루수 땅볼,1사  0:0
2017-05-04,kt,3초,류희운,A,2 김동한,B,0-1,좌익수 뜬공,2사  2:1
2017-05-04,kt,5초,배우열,A,2 김동한,B,0-0,3루수 희생번트,"무사 1,2루 3:1"
2017-05-04,kt,7초,홍성용,A,2 김동한,B,1-0,포수 파울 뜬공,2사 2루 3:2
2017-05-05,KIA,1말,팻딘,A,2 김동한,B,2-3,유격수 땅볼,무사 1루 0:0
2017-05-05,KIA,3말,팻딘,A,2 김동한,B,0-1,3루수 희생번트,무사 1루 0:0
2017-05-05,KIA,5말,팻딘,A,2 김동한,B,0-1,투수 희생번트 실책[실책포함],"무사 1,2루 2:0"
2017-05-05,KIA,7말,김윤동,A,2 김동한,B,0-1,포수 희생번트,무사 1루 3:2
