date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,NC,3초,맨쉽,A,7 김문호,B,2-2,김문호/10648 : 삼진 아웃,무사  0:0
2017-03-31,NC,5초,맨쉽,A,7 김문호,B,1-2,투수 땅볼,1사  1:0
2017-03-31,NC,8초,원종현,A,7 김문호,B,0-0,유격수 내야안타,무사  1:6
2017-03-31,NC,9초,임창민,A,7 김문호,B,2-2,김문호/10648 : 삼진 아웃,1사 2루 5:6
2017-04-01,NC,1초,이재학,A,5 김문호,B,2-3,볼넷,2사 3루 1:0
2017-04-01,NC,3초,이재학,A,5 김문호,B,1-1,포수 희생번트,"무사 1,2루 1:0"
2017-04-01,NC,5초,장현식,A,5 김문호,B,2-3,2루수 땅볼,2사 1루 3:0
2017-04-01,NC,8초,장현식,A,5 김문호,B,2-3,김문호/10648 : 삼진 아웃,1사  3:0
2017-04-02,NC,2초,구창모,A,7 김문호,B,0-0,3루수 번트 아웃,무사  2:0
2017-04-02,NC,4초,구창모,A,7 김문호,B,1-1,투수 내야안타,1사 2루 2:0
2017-04-02,NC,6초,김진성,A,7 김문호,B,2-0,중견수 뜬공,무사  6:2
2017-04-02,NC,7초,윤수호,A,7 김문호,B,2-1,삼진,2사  10:4
2017-04-02,NC,9초,최성영,A,7 김문호,B,0-3,볼넷,1사 1루 12:4
2017-04-04,넥센,1말,최원태,A,7 김문호,B,2-3,김문호/10648 : 삼진 아웃,2사  0:4
2017-04-04,넥센,4말,최원태,A,7 김문호,B,0-2,유격수 땅볼,무사  0:5
2017-04-04,넥센,7말,한현희,A,7 김문호,B,0-0,3루수 땅볼,무사  1:5
2017-04-09,LG,8말,신정락,A,7 김문호,B,2-1,김문호/10648 : 삼진 아웃,1사 2루 1:7
2017-04-11,SK,1초,박종훈,A,2 김문호,B,0-0,3루수 파울 뜬공,무사 3루 0:0
2017-04-11,SK,2초,박종훈,A,2 김문호,B,2-2,2루수 땅볼,2사 만루 0:1
2017-04-11,SK,4초,박종훈,A,2 김문호,B,2-1,삼진,2사  2:1
2017-04-11,SK,6초,문광은,A,2 김문호,B,2-3,볼넷,2사 2루 4:1
2017-04-11,SK,8초,임준혁,A,2 김문호,B,2-2,몸에 맞는 볼,2사 1루 4:1
2017-04-12,SK,1초,켈리,A,2 김문호,B,2-0,김문호/10648 : 삼진 아웃,1사  0:0
2017-04-12,SK,4초,켈리,A,2 김문호,B,0-2,유격수 땅볼,무사  0:0
2017-04-12,SK,6초,켈리,A,2 김문호,B,2-1,김문호/10648 : 삼진 아웃,1사  0:1
2017-04-12,SK,8초,켈리,A,2 김문호,B,1-0,3루수 뜬공,2사 1루 0:1
2017-04-12,SK,10초,채병용,A,2 김문호,B,1-1,1루수 파울 뜬공,"무사 1,3루 1:1"
