date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,NC,3초,맨쉽,A,9 문규현,B,0-0,2루수 뜬공,2사  0:0
2017-03-31,NC,6초,맨쉽,A,9 문규현,B,1-0,투수 땅볼,무사  1:0
2017-04-01,NC,2초,이재학,A,8 문규현,B,0-0,투수 번트 땅볼,무사 1루 1:0
2017-04-01,NC,4초,장현식,A,8 문규현,B,2-1,문규현/10240 : 삼진 아웃,무사  3:0
2017-04-01,NC,6초,장현식,A,8 문규현,B,1-0,2루수 땅볼,1사 1루 3:0
2017-04-01,NC,9초,이형범,A,8 문규현,B,2-1,우익수 안타,1사  3:0
2017-04-02,NC,2초,구창모,A,8 문규현,B,0-0,좌익수 2루타,1사  2:0
2017-04-02,NC,4초,구창모,A,8 문규현,B,2-3,문규현/10240 : 삼진 아웃,"1사 1,3루 2:0"
2017-04-02,NC,6초,김진성,A,8 문규현,B,0-0,유격수 땅볼,1사  6:2
2017-04-02,NC,8초,윤수호,A,8 문규현,B,2-2,우익수 뜬공,무사  10:4
2017-04-04,넥센,2말,최원태,A,8 문규현,B,2-1,중견수 안타,무사  0:4
2017-04-04,넥센,4말,최원태,A,8 문규현,B,0-1,2루수 땅볼,1사  0:5
2017-04-04,넥센,7말,한현희,A,8 문규현,B,1-2,2루수 땅볼,1사  1:5
2017-04-06,넥센,2말,오주원,A,7 문규현,B,2-1,우익수 희생플라이,"1사 2,3루 0:0"
2017-04-06,넥센,4말,오주원,A,7 문규현,B,2-2,문규현/10240 : 삼진 아웃,무사  0:3
2017-04-06,넥센,6말,마정길,A,7 문규현,B,1-0,유격수 땅볼,무사  1:6
2017-04-06,넥센,7말,박주현,A,7 문규현,B,2-1,좌익수 안타,2사 1루 1:9
2017-04-07,LG,2말,류제국,A,7 문규현,B,0-3,볼넷,"1사 1,2루 0:0"
2017-04-07,LG,4말,류제국,A,7 문규현,B,2-1,문규현/10240 : 삼진 아웃,1사  0:1
2017-04-07,LG,6말,류제국,A,7 문규현,B,1-0,투수 희생번트,무사 1루 1:4
2017-04-07,LG,8말,김지용,A,7 문규현,B,1-1,3루수 땅볼,2사  6:4
2017-04-08,LG,1말,윤지웅,A,6 문규현,B,2-0,유격수 땅볼,2사 만루 1:0
2017-04-08,LG,3말,윤지웅,A,6 문규현,B,1-0,3루수 파울 뜬공,2사  1:3
2017-04-08,LG,6말,김대현,A,6 문규현,B,2-3,문규현/10240 : 삼진 아웃,1사 2루 1:3
2017-04-09,LG,8말,신정락,A,6 문규현,B,2-3,우익수 2루타,1사  1:7
2017-04-11,SK,8초,임준혁,A,8 문규현,B,0-1,좌익수 뜬공,무사  4:1
2017-04-11,SK,9초,전유수,A,8 문규현,B,2-0,문규현/10240 : 삼진 아웃,1사  6:2
2017-04-12,SK,3초,켈리,A,8 문규현,B,2-2,문규현/10240 : 삼진 아웃,무사 1루 0:0
