date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,NC,3초,맨쉽,A,8 신본기,B,1-1,유격수 땅볼,1사  0:0
2017-03-31,NC,5초,맨쉽,A,8 신본기,B,1-1,유격수 땅볼,2사  1:0
2017-04-01,NC,2초,이재학,A,9 신본기,B,2-2,2루수 땅볼,1사 1루 1:0
2017-04-01,NC,4초,장현식,A,9 신본기,B,2-1,신본기/10840 : 삼진 아웃,1사  3:0
2017-04-01,NC,6초,장현식,A,9 신본기,B,2-2,신본기/10840 : 삼진 아웃,2사 1루 3:0
2017-04-01,NC,9초,이형범,A,9 신본기,B,1-1,유격수 땅볼,1사 1루 3:0
2017-04-02,NC,2초,구창모,A,9 신본기,B,1-2,몸에 맞는 볼,1사 2루 2:0
2017-04-02,NC,4초,구창모,A,9 신본기,B,0-0,좌익수 홈런,"2사 2,3루 2:0"
2017-04-02,NC,6초,김진성,A,9 신본기,B,2-1,신본기/10840 : 삼진 아웃,2사  6:2
2017-04-02,NC,8초,윤수호,A,9 신본기,B,1-0,우익수 안타,1사  10:4
2017-04-02,NC,9초,이형범,A,9 신본기,B,1-0,유격수 땅볼,"2사 1,2루 12:4"
2017-04-04,넥센,2말,최원태,A,9 신본기,B,0-0,우익수 안타,무사 1루 0:4
2017-04-04,넥센,4말,최원태,A,9 신본기,B,2-0,신본기/10840 : 삼진 아웃,2사  0:5
2017-04-04,넥센,7말,한현희,A,9 신본기,B,2-1,신본기/10840 : 삼진 아웃,2사  1:5
2017-04-06,넥센,2말,오주원,A,9 신본기,B,1-1,포수 땅볼,2사 1루 0:2
2017-04-06,넥센,4말,오주원,A,9 신본기,B,1-0,1루수 땅볼,1사  0:4
2017-04-06,넥센,6말,마정길,A,9 신본기,B,2-0,신본기/10840 : 삼진 아웃,2사  1:6
2017-04-06,넥센,7말,박주현,A,9 신본기,B,1-1,중견수 안타,2사 만루 1:9
2017-04-07,LG,2말,류제국,A,9 신본기,B,1-1,중견수 뜬공,2사 만루 0:0
2017-04-07,LG,4말,류제국,A,9 신본기,B,0-1,유격수 땅볼 실책[실책포함],2사 1루 0:1
2017-04-07,LG,6말,류제국,A,9 신본기,B,2-0,좌익수 뜬공,"1사 1,2루 1:4"
2017-04-08,LG,2말,윤지웅,A,9 신본기,B,2-1,신본기/10840 : 삼진 아웃,1사 1루 1:0
2017-04-08,LG,4말,윤지웅,A,9 신본기,B,0-1,2루수 뜬공,2사  1:3
2017-04-08,LG,7말,김대현,A,9 신본기,B,2-1,3루수 땅볼,무사  3:3
2017-04-08,LG,9말,정찬헌,A,9 신본기,B,0-1,중견수 2루타,무사 1루 6:4
2017-04-09,LG,2말,임찬규,A,9 신본기,B,0-0,3루수 땅볼,"2사 1,2루 0:0"
2017-04-09,LG,4말,임찬규,A,9 신본기,B,2-0,신본기/10840 : 삼진 아웃,무사 만루 0:0
2017-04-09,LG,5말,최동환,A,9 신본기,B,1-2,유격수 내야안타,2사 2루 0:3
