date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-06-08,롯데,8말,강동호,A,5 강진성,B,2-2,좌익수 2루타,1사  0:13
2017-06-09,kt,10말,김재윤,A,9 강진성,B,2-1,유격수 내야안타,2사  5:5
2017-06-10,kt,7말,엄상백,A,2 강진성,B,1-3,볼넷,"1사 1,2루 1:1"
2017-06-11,kt,8말,배제성,A,6 강진성,B,2-1,중견수 안타,2사  0:5
2017-06-13,넥센,9초,오주원,A,4 강진성,B,2-1,우익수 뜬공,무사 1루 14:5
2017-06-14,넥센,8초,오주원,A,1 강진성,B,0-0,우익수 안타,1사 만루 3:8
2017-06-16,두산,8초,박치국,A,1 강진성,B,2-2,몸에 맞는 볼,무사  10:2
2017-06-18,두산,9초,이용찬,A,9 강진성,B,2-1,강진성/11148 : 삼진 아웃,1사 1루 11:13
2017-06-20,SK,4초,문승원,A,4 강진성,B,2-2,강진성/11148 : 삼진 아웃,무사 1루 0:6
2017-06-20,SK,6초,문승원,A,4 강진성,B,0-0,3루수 땅볼,2사 3루 0:7
2017-06-20,SK,9초,문승원,A,4 강진성,B,2-1,우익수 안타,무사  1:7
2017-06-22,SK,4초,켈리,A,1 강진성,B,1-0,2루수 땅볼,2사 1루 2:13
2017-06-22,SK,7초,채병용,A,1 강진성,B,2-2,중견수 뜬공,1사 1루 2:13
2017-06-22,SK,9초,김주한,A,1 강진성,B,0-0,2루수 땅볼,무사  6:13
2017-07-13,KIA,9초,김윤동,A,6 강진성,B,2-3,유격수 뜬공,2사  1:7
2017-07-19,한화,9초,김진영,A,7 강진성,B,0-3,볼넷,"2사 2,3루 13:6"
2017-08-16,KIA,9초,임창용,A,9 강진성,B,2-1,우익수 파울 뜬공,1사 2루 3:4
2017-08-17,한화,8말,송창식,A,9 강진성,B,1-2,중견수 2루타,1사  1:1
2017-08-18,한화,8말,김재영,A,7 강진성,B,0-0,중견수 2루타,2사 만루 12:6
2017-08-19,넥센,7초,이보근,A,3 강진성,B,1-2,2루수 땅볼,"2사 1,2루 2:4"
2017-08-19,넥센,9초,한현희,A,3 강진성,B,2-3,좌익수 뜬공,"2사 1,2루 3:4"
2017-08-23,LG,8초,최성훈,A,4 강진성,B,1-0,1루수 땅볼,2사  2:9
2017-09-03,LG,7말,유원상,A,5 강진성,B,2-2,2루수 병살타,"무사 1,2루 0:5"
2017-09-05,삼성,9초,장필준,A,9 강진성,B,2-1,강진성/11148 : 삼진 아웃,1사  3:9
2017-09-07,SK,8말,임준혁,A,5 강진성,B,0-3,볼넷,"2사 1,2루 3:4"
2017-09-09,한화,9초,정우람,A,7 강진성,B,2-2,1루수 파울 뜬공,무사 1루 3:6
2017-09-10,한화,9초,서균,A,6 강진성,B,0-1,좌익수 홈런,1사  10:5
2017-09-12,두산,9말,이용찬,A,6 강진성,B,1-3,볼넷,무사  14:13
2017-09-13,두산,2말,유희관,A,9 강진성,B,2-0,강진성/11148 : 삼진 아웃,"1사 1,3루 3:0"
2017-09-14,삼성,12말,권오준,A,3 강진성,B,2-1,2루수 뜬공,1사  11:11
2017-09-15,삼성,7말,최충연,A,6 강진성,B,2-1,3루수 땅볼,2사 1루 11:3
2017-09-17,넥센,9말,금민철,A,2 강진성,B,2-3,유격수 땅볼,1사  14:6
