date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,롯데,2말,레일리,A,6 권희동,B,2-2,2루수 내야안타,무사  0:0
2017-03-31,롯데,4말,레일리,A,6 권희동,B,2-3,볼넷,1사 3루 1:0
2017-03-31,롯데,6말,레일리,A,6 권희동,B,2-2,우익수 2루타,1사 1루 1:0
2017-03-31,롯데,7말,배장호,A,6 권희동,B,1-0,중견수 뜬공,1사 1루 1:5
2017-04-01,롯데,2말,김원중,A,6 권희동,B,2-3,2루수 내야안타,2사  1:0
2017-04-01,롯데,4말,김원중,A,6 권희동,B,2-3,투수 내야안타,2사 1루 3:0
2017-04-01,롯데,6말,박시영,A,6 권희동,B,2-3,볼넷,2사  3:0
2017-04-01,롯데,8말,손승락,A,6 권희동,B,1-2,중견수 뜬공,"1사 1,2루 3:0"
2017-04-02,롯데,2말,박진형,A,6 권희동,B,2-0,권희동/11172 : 삼진 아웃,무사 1루 2:0
2017-04-02,롯데,4말,박진형,A,6 권희동,B,2-2,몸에 맞는 볼,2사 2루 5:0
2017-04-02,롯데,6말,배장호,A,6 권희동,B,0-0,우익수 안타,1사 1루 6:2
2017-04-02,롯데,8말,송승준,A,6 권희동,B,2-3,권희동/11172 : 삼진 아웃,2사  11:4
2017-04-04,한화,2초,배영수,A,5 권희동,B,1-2,권희동/11172 : 유격수 직선타 아웃,무사 1루 0:0
2017-04-04,한화,4초,배영수,A,5 권희동,B,0-0,3루수 땅볼,1사  0:5
2017-04-04,한화,6초,배영수,A,5 권희동,B,1-2,중견수 안타,2사  0:6
2017-04-04,한화,9초,송창식,A,5 권희동,B,2-1,2루수 땅볼,무사  0:6
2017-04-06,한화,2초,오간도,A,6 권희동,B,2-3,3루수 내야안타,1사  0:0
2017-04-06,한화,3초,오간도,A,6 권희동,B,0-0,좌익수 안타,1사 만루 1:1
2017-04-06,한화,5초,오간도,A,6 권희동,B,1-1,유격수 땅볼,2사  4:1
2017-04-06,한화,7초,심수창,A,6 권희동,B,2-3,유격수 병살타,"1사 1,2루 5:2"
2017-04-07,SK,2초,김주한,A,6 권희동,B,2-3,볼넷,1사  0:0
2017-04-07,SK,3초,김주한,A,6 권희동,B,2-3,볼넷,"2사 1,2루 1:0"
2017-04-07,SK,5초,김성민,A,6 권희동,B,2-2,유격수 땅볼,2사  3:1
2017-04-07,SK,7초,채병용,A,6 권희동,B,0-0,좌익수 안타,"2사 1,2루 4:3"
2017-04-08,SK,2초,윤희상,A,6 권희동,B,2-3,볼넷,2사  0:1
2017-04-08,SK,4초,윤희상,A,6 권희동,B,2-3,볼넷,"1사 1,2루 1:4"
2017-04-08,SK,7초,박정배,A,6 권희동,B,0-0,2루수 뜬공,무사  2:5
2017-04-08,SK,9초,문광은,A,6 권희동,B,2-3,3루수 땅볼,무사  2:9
2017-04-09,SK,1초,문승원,A,5 권희동,B,2-2,좌익수 안타,무사 만루 1:0
2017-04-09,SK,2초,문승원,A,5 권희동,B,0-3,고의4구,"2사 2,3루 4:4"
2017-04-09,SK,4초,문승원,A,5 권희동,B,0-0,중견수 뜬공,"2사 1,3루 4:6"
2017-04-09,SK,6초,채병용,A,5 권희동,B,0-0,좌익수 2루타,"2사 1,2루 4:8"
2017-04-09,SK,9초,서진용,A,5 권희동,B,2-0,권희동/11172 : 삼진 아웃,무사  5:8
2017-04-11,LG,2말,차우찬,A,5 권희동,B,1-1,좌익수 뜬공,1사  1:0
2017-04-11,LG,4말,차우찬,A,5 권희동,B,2-1,좌익수 희생플라이,1사 3루 1:0
2017-04-11,LG,6말,차우찬,A,5 권희동,B,1-2,중견수 희생플라이,1사 3루 3:3
2017-04-11,LG,8말,김지용,A,5 권희동,B,2-2,3루수 땅볼,1사 1루 3:4
2017-04-12,LG,1말,소사,A,5 권희동,B,2-2,2루수 내야안타,2사 1루 0:1
2017-04-12,LG,4말,소사,A,5 권희동,B,2-1,권희동/11172 : 삼진 아웃,무사 1루 0:1
2017-04-12,LG,6말,소사,A,5 권희동,B,1-0,좌익수 안타,1사 1루 0:1
2017-04-12,LG,8말,신정락,A,5 권희동,B,2-1,3루수 땅볼 실책[실책포함],1사  0:2
2017-04-13,LG,2말,윤지웅,A,5 권희동,B,1-0,2루수 뜬공,1사  0:0
2017-04-13,LG,4말,윤지웅,A,5 권희동,B,1-0,우익수 뜬공,무사  1:3
2017-04-13,LG,6말,김대현,A,5 권희동,B,1-1,1루수 땅볼,2사  1:3
2017-04-13,LG,8말,정찬헌,A,5 권희동,B,0-0,우익수 뜬공,2사 만루 1:3
2017-04-14,두산,2말,유희관,A,5 권희동,B,1-3,볼넷,무사  1:1
