date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,롯데,2말,레일리,A,8 손시헌,B,2-3,손시헌/10177 : 삼진 아웃,2사  0:0
2017-03-31,롯데,4말,레일리,A,8 손시헌,B,0-0,중견수 뜬공,"2사 1,3루 1:0"
2017-03-31,롯데,6말,박시영,A,8 손시헌,B,2-1,2루수 땅볼,1사 2루 1:2
2017-03-31,롯데,8말,윤길현,A,8 손시헌,B,2-1,좌익수 2루타,무사  4:6
2017-04-01,롯데,2말,김원중,A,8 손시헌,B,2-1,손시헌/10177 : 삼진 아웃,"2사 1,3루 1:0"
2017-04-01,롯데,5말,김원중,A,8 손시헌,B,2-1,중견수 안타,무사  3:0
2017-04-01,롯데,7말,박시영,A,8 손시헌,B,2-1,3루수 땅볼,무사  3:0
2017-04-01,롯데,9말,손승락,A,8 손시헌,B,2-2,중견수 안타,무사  3:0
2017-04-02,롯데,2말,박진형,A,8 손시헌,B,2-1,우익수 뜬공,2사 2루 2:0
2017-04-02,롯데,4말,박진형,A,8 손시헌,B,0-2,중견수 안타,2사 만루 5:0
2017-04-02,롯데,6말,송승준,A,8 손시헌,B,1-1,우익수 3루타,"2사 1,2루 6:2"
2017-04-04,한화,2초,배영수,A,8 손시헌,B,2-3,볼넷,"2사 1,2루 0:0"
2017-04-04,한화,5초,배영수,A,8 손시헌,B,2-1,손시헌/10177 : 삼진 아웃,무사 2루 0:6
2017-04-06,한화,2초,오간도,A,8 손시헌,B,2-3,투수 땅볼,"1사 2,3루 0:0"
2017-04-06,한화,4초,오간도,A,8 손시헌,B,2-2,손시헌/10177 : 삼진 아웃,무사  3:1
2017-04-06,한화,6초,장민재,A,8 손시헌,B,0-1,투수 희생번트,무사 1루 4:1
2017-04-06,한화,8초,심수창,A,8 손시헌,B,2-0,유격수 땅볼,1사  5:2
2017-04-07,SK,2초,김주한,A,8 손시헌,B,0-1,몸에 맞는 볼,2사 1루 0:0
2017-04-07,SK,4초,김주한,A,8 손시헌,B,1-0,중견수 안타,무사  1:1
2017-04-07,SK,6초,김성민,A,8 손시헌,B,2-1,1루수 뜬공,1사  3:1
2017-04-07,SK,8초,박정배,A,8 손시헌,B,1-1,3루수 내야안타,무사  5:3
2017-05-04,LG,2초,차우찬,A,8 손시헌,B,2-3,볼넷,1사 1루 0:0
2017-05-04,LG,4초,차우찬,A,8 손시헌,B,2-0,3루수 땅볼,1사  0:3
2017-05-05,삼성,3말,페트릭,A,8 손시헌,B,2-1,투수 땅볼,1사  0:0
2017-05-05,삼성,4말,페트릭,A,8 손시헌,B,2-2,좌익수 뜬공,"1사 1,2루 0:2"
2017-05-05,삼성,6말,페트릭,A,8 손시헌,B,1-0,3루수 땅볼,무사  1:6
2017-05-05,삼성,8말,권오준,A,8 손시헌,B,2-1,손시헌/10177 : 삼진 아웃,1사  2:7
2017-05-06,삼성,2말,최지광,A,8 손시헌,B,2-2,3루수 땅볼,무사  1:1
2017-05-06,삼성,3말,백정현,A,8 손시헌,B,2-0,손시헌/10177 : 삼진 아웃,"2사 1,2루 6:1"
2017-05-07,삼성,2말,우규민,A,8 손시헌,B,1-0,2루수 인필드 뜬공,무사 만루 1:1
2017-05-07,삼성,4말,우규민,A,8 손시헌,B,1-1,3루수 땅볼,무사  1:4
2017-05-07,삼성,5말,김승현,A,8 손시헌,B,1-0,중견수 2루타,2사 1루 3:6
2017-05-07,삼성,6말,이승현,A,8 손시헌,B,1-0,좌익수 2루타,2사 만루 3:8
2017-05-07,삼성,8말,심창민,A,8 손시헌,B,0-0,3루수 땅볼 실책[실책포함],2사  3:13
2017-05-10,넥센,3말,최원태,A,8 손시헌,B,2-1,유격수 땅볼,무사 1루 0:0
2017-05-10,넥센,5말,최원태,A,8 손시헌,B,0-1,좌익수 안타,1사  0:1
2017-05-10,넥센,7말,김상수,A,8 손시헌,B,2-2,손시헌/10177 : 삼진 아웃,무사  0:3
2017-05-11,넥센,2말,신재영,A,8 손시헌,B,1-0,좌익수 뜬공,2사 1루 0:0
2017-05-11,넥센,5말,신재영,A,8 손시헌,B,2-1,손시헌/10177 : 삼진 아웃,1사  1:0
2017-05-12,kt,2초,로치,A,7 손시헌,B,2-2,유격수 내야안타,무사  2:1
