date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-03-31,KIA,1말,헥터,A,3 구자욱,B,1-0,중견수 뜬공,1사 2루 0:0
2017-03-31,KIA,4말,헥터,A,3 구자욱,B,0-0,좌익수 홈런,1사  1:0
2017-03-31,KIA,6말,헥터,A,3 구자욱,B,0-0,우익수 2루타,1사 1루 2:1
2017-03-31,KIA,9말,임기영,A,3 구자욱,B,1-0,좌익수 뜬공,무사  7:1
2017-04-01,KIA,1말,팻딘,A,3 구자욱,B,2-2,구자욱/10892 : 삼진 아웃,2사  0:0
2017-04-01,KIA,4말,팻딘,A,3 구자욱,B,2-1,중견수 뜬공,무사  2:0
2017-04-01,KIA,6말,팻딘,A,3 구자욱,B,2-3,볼넷,2사 2루 2:0
2017-04-01,KIA,8말,박지훈,A,3 구자욱,B,1-1,3루수 땅볼,1사  7:0
2017-04-01,KIA,9말,한승혁,A,3 구자욱,B,2-3,구자욱/10892 : 삼진 아웃,"1사 2,3루 7:4"
2017-04-02,KIA,1말,김윤동,A,3 구자욱,B,2-3,볼넷,2사  0:0
2017-04-02,KIA,3말,김윤동,A,3 구자욱,B,0-1,우익수 안타,무사  0:4
2017-04-02,KIA,4말,홍건희,A,3 구자욱,B,0-0,우익수 안타,"1사 1,2루 1:6"
2017-04-02,KIA,5말,고효준,A,3 구자욱,B,2-1,우익수 안타,"무사 1,2루 1:12"
2017-04-02,KIA,6말,고효준,A,3 구자욱,B,0-0,중견수 뜬공,"2사 2,3루 3:15"
2017-04-04,LG,1초,차우찬,A,3 구자욱,B,2-0,유격수 땅볼,1사 2루 0:0
2017-04-04,LG,3초,차우찬,A,3 구자욱,B,1-0,1루수 땅볼 실책[실책포함],"2사 1,2루 0:7"
2017-04-04,LG,5초,차우찬,A,3 구자욱,B,0-0,중견수 뜬공,"2사 1,2루 0:9"
2017-04-04,LG,7초,김지용,A,3 구자욱,B,2-3,구자욱/10892 : 삼진 아웃,2사 1루 0:9
2017-04-06,LG,1초,소사,A,3 구자욱,B,0-1,2루수 인필드 뜬공,"무사 1,2루 0:0"
2017-04-06,LG,4초,소사,A,3 구자욱,B,2-1,구자욱/10892 : 삼진 아웃,무사  0:1
2017-04-06,LG,6초,소사,A,3 구자욱,B,2-1,우익수 안타,2사  0:3
2017-04-06,LG,9초,정찬헌,A,3 구자욱,B,0-1,우익수 뜬공,1사  0:4
2017-04-07,kt,1초,로치,A,3 구자욱,B,0-1,2루수 땅볼,1사 1루 0:0
2017-04-07,kt,4초,로치,A,3 구자욱,B,2-3,구자욱/10892 : 삼진 아웃,무사  2:2
2017-04-07,kt,5초,로치,A,3 구자욱,B,1-1,유격수 뜬공,2사 만루 2:2
2017-04-07,kt,8초,심재민,A,3 구자욱,B,0-3,볼넷,1사  2:2
