date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-04-12,NC,5말,최금강,A,5 김재현,B,2-2,우익수 안타,2사 1루 4:13
2016-04-12,NC,7말,박민석,A,5 김재현,B,2-1,김재현/11289 : 삼진 아웃,무사  5:16
2016-04-15,두산,7초,유희관,A,7 김재현,B,1-3,좌익수 안타,"2사 1,2루 0:6"
2016-04-15,두산,9초,이현승,A,7 김재현,B,0-0,2루수 땅볼,무사  2:7
2016-04-22,kt,9말,김민수,A,7 김재현,B,2-0,1루수 파울 뜬공,무사  13:3
2016-04-26,LG,3말,우규민,A,9 김재현,B,1-1,2루수 땅볼,1사  1:0
2016-04-26,LG,6말,우규민,A,9 김재현,B,0-0,우익수 뜬공,무사 1루 2:0
2016-04-28,LG,2말,코프랜드,A,9 김재현,B,2-1,김재현/11289 : 삼진 아웃,"2사 1,2루 0:1"
2016-04-28,LG,4말,코프랜드,A,9 김재현,B,1-0,1루수 파울 뜬공,2사  6:3
2016-04-29,한화,3초,심수창,A,9 김재현,B,2-1,우익수 안타,1사  0:0
2016-04-29,한화,5초,박정진,A,9 김재현,B,0-3,볼넷,1사  3:0
2016-04-29,한화,7초,권혁,A,9 김재현,B,2-1,2루수 뜬공,무사  4:2
2016-04-30,한화,3초,이태양,A,9 김재현,B,0-1,투수 희생번트,무사 1루 0:0
2016-04-30,한화,5초,이태양,A,9 김재현,B,1-1,2루수 병살타,무사 1루 2:0
2016-04-30,한화,7초,안영명,A,9 김재현,B,0-0,좌익수 2루타,무사  4:2
2016-04-30,한화,8초,장민재,A,9 김재현,B,2-2,3루수 땅볼,1사 2루 6:3
2016-05-01,한화,2초,마에스트리,A,9 김재현,B,1-3,볼넷,2사  2:5
2016-05-01,한화,3초,김민우,A,9 김재현,B,2-2,우익수 뜬공,"2사 2,3루 4:5"
2016-05-01,한화,5초,김민우,A,9 김재현,B,0-0,좌익수 안타,"1사 2,3루 6:5"
