date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-22,SK,9초,서진용,A,1 이성곤,B,2-0,삼진,무사  4:8
2017-04-25,넥센,7초,황덕균,A,4 이성곤,B,2-1,중견수 뜬공,2사 1루 5:13
2017-04-25,넥센,9초,양훈,A,4 이성곤,B,0-0,우익수 안타,무사  8:13
2017-09-03,삼성,8말,김시현,A,4 이성곤,B,1-1,좌익수 파울 뜬공,무사 1루 1:7
2017-09-13,NC,8초,민태호,A,6 이성곤,B,2-0,이성곤/11206 : 삼진 아웃,1사 1루 13:2
2014-10-15,SK,6말,진해수,A,1 이성곤,B,2-2,이성곤/1206 : 삼진 아웃,무사  1:4
2014-10-15,SK,8말,고효준,A,1 이성곤,B,2-2,2루수 땅볼,무사  2:6
2014-10-16,SK,7말,전유수,A,3 이성곤,B,2-0,이성곤/1206 : 삼진 아웃,"1사 1,2루 5:5"
2014-10-16,SK,10말,윤길현,A,3 이성곤,B,2-2,중견수 오른쪽 안타,무사  7:5
2014-10-17,NC,4말,노성호,A,3 이성곤,B,1-3,우중간 2루타,2사  1:0
2014-10-17,NC,6말,이혜천,A,3 이성곤,B,1-0,1루수 땅볼,2사  1:0
2014-10-17,NC,8말,김진성,A,3 이성곤,B,2-0,이성곤/1206 : 삼진 아웃,2사  1:1
2014-10-17,NC,10말,박명환,A,3 이성곤,B,2-0,이성곤/1206 : 삼진 아웃,1사 만루 1:1
