date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-01,KIA,9말,김광수,A,6 최영진,B,1-0,3루수 땅볼 실책[실책포함],무사 1루 7:0
2017-04-01,KIA,9말,임창용,A,6 최영진,B,1-2,중견수 안타,2사 만루 7:5
2017-04-02,KIA,7말,김광수,A,6 최영진,B,2-0,최영진/10934 : 삼진 아웃,1사 1루 3:15
2017-05-23,kt,2말,피어밴드,A,7 최영진,B,0-1,유격수 뜬공,무사  0:2
2017-05-23,kt,5말,피어밴드,A,7 최영진,B,0-2,우익수 3루타,무사  9:2
2017-05-23,kt,7말,피어밴드,A,7 최영진,B,0-0,우익수 뜬공,무사  10:3
2017-05-23,kt,9말,류희운,A,7 최영진,B,2-0,유격수 땅볼,2사 1루 12:3
2017-05-25,kt,2말,정대현,A,7 최영진,B,2-3,볼넷,1사 1루 0:1
2017-05-25,kt,4말,정대현,A,7 최영진,B,1-1,2루수 땅볼,1사  0:3
2017-05-25,kt,6말,배제성,A,7 최영진,B,0-0,유격수 땅볼 실책[실책포함],무사  0:6
2017-05-26,넥센,8초,황덕균,A,6 최영진,B,2-2,최영진/10934 : 삼진 아웃,무사  3:15
2017-09-17,두산,7말,박치국,A,6 최영진,B,2-1,유격수 땅볼 실책[실책포함],1사 1루 20:5
2017-09-17,두산,9말,이현호,A,6 최영진,B,2-1,삼진,무사 3루 21:8
2017-09-22,LG,7말,차우찬,A,9 최영진,B,1-1,우익수 3루타,무사 1루 5:1
2017-09-22,LG,8말,정찬헌,A,9 최영진,B,1-1,최영진/10934 : 2루수 직선타 아웃,1사 2루 5:3
2017-09-23,한화,2초,윤규진,A,8 최영진,B,2-0,우익수 뜬공,1사 1루 1:0
2017-09-23,한화,4초,윤규진,A,8 최영진,B,2-1,투수 땅볼,무사  4:4
2017-09-23,한화,7초,윤규진,A,8 최영진,B,0-0,좌익수 홈런,무사  4:5
2017-09-23,한화,8초,강승현,A,8 최영진,B,1-0,3루수 땅볼,"1사 1,3루 6:7"
2017-09-23,한화,10초,심수창,A,8 최영진,B,0-0,투수 희생번트,무사 1루 7:7
2017-09-27,NC,8말,구창모,A,2 최영진,B,2-1,우익수 뜬공,무사  6:1
2017-09-30,LG,7초,허프,A,9 최영진,B,2-0,최영진/10934 : 삼진 아웃,2사  2:3
2015-08-18,삼성,7말,심창민,A,9 최영진,B,2-2,우익수 뜬공,1사  12:2
2014-04-18,롯데,6말,이상화,A,7 최영진,B,2-3,3루수 땅볼,1사 1루 12:1
2014-04-18,롯데,7말,이상화,A,7 최영진,B,0-2,중견수 앞 안타,2사  12:6
2014-04-24,한화,1초,유창식,A,3 최영진,B,2-2,유격수 땅볼,1사 3루 0:0
2014-04-24,한화,3초,유창식,A,3 최영진,B,0-2,3루수 땅볼,2사 2루 1:2
2014-04-24,한화,6초,유창식,A,3 최영진,B,0-0,좌익수 뜬공,무사  1:2
2014-04-24,한화,8초,박정진,A,3 최영진,B,2-2,최영진/934 : 삼진 아웃,무사  1:9
2014-04-24,한화,9초,최영환,A,3 최영진,B,2-0,유격수 땅볼,"1사 1,3루 2:9"
