date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-01,삼성,1초,우규민,A,2 노수광,B,1-2,좌익수 안타,1사  0:0
2017-04-01,삼성,4초,우규민,A,2 노수광,B,1-0,1루수 땅볼,무사  0:0
2017-04-01,삼성,6초,우규민,A,2 노수광,B,2-0,노수광/11268 : 삼진 아웃,무사  2:0
2017-04-01,삼성,7초,박근홍,A,2 노수광,B,1-0,투수 번트 실책[실책포함],2사 2루 5:0
2017-04-01,삼성,9초,권오준,A,2 노수광,B,2-1,우익수 안타,무사  7:0
2017-04-01,삼성,10초,심창민,A,2 노수광,B,0-3,고의4구,"1사 1,3루 9:7"
2017-04-02,삼성,1초,윤성환,A,2 노수광,B,1-1,2루수 땅볼,1사  0:0
2017-04-02,삼성,3초,윤성환,A,2 노수광,B,2-1,중견수 안타,2사  0:4
2017-04-02,삼성,5초,윤성환,A,2 노수광,B,0-0,1루수 땅볼,1사  1:12
2017-04-02,삼성,7초,김승현,A,2 노수광,B,0-1,1루수 땅볼,무사  3:15
2017-04-04,SK,1말,박종훈,A,1 노수광,B,2-1,몸에 맞는 볼,무사  0:0
2017-04-04,SK,3말,박종훈,A,1 노수광,B,1-3,볼넷,무사  1:1
2017-04-04,SK,5말,박종훈,A,1 노수광,B,2-1,중견수 뜬공,2사 1루 1:1
2017-04-04,SK,6말,채병용,A,1 노수광,B,2-1,투수 땅볼,2사 2루 1:6
2017-04-06,SK,1말,켈리,A,2 노수광,B,2-2,노수광/11268 : 삼진 아웃,무사 1루 0:0
2017-04-06,SK,3말,켈리,A,2 노수광,B,2-1,노수광/11268 : 삼진 아웃,2사  0:0
2017-04-06,SK,5말,켈리,A,2 노수광,B,0-3,볼넷,1사  0:3
2017-04-06,SK,7말,박희수,A,2 노수광,B,1-2,유격수 땅볼,1사 1루 2:3
2017-04-06,SK,8말,문광은,A,2 노수광,B,2-2,투수 뜬공,"2사 2,3루 4:6"
2017-04-07,NC,1말,맨쉽,A,2 노수광,B,2-3,노수광/11268 : 삼진 아웃,1사  0:0
2017-04-07,NC,3말,맨쉽,A,2 노수광,B,2-3,몸에 맞는 볼,2사 2루 1:1
2017-04-07,NC,6말,맨쉽,A,2 노수광,B,1-0,2루수 땅볼,무사  3:1
2017-04-07,NC,8말,김진성,A,2 노수광,B,2-1,노수광/11268 : 삼진 아웃,무사  5:3
2017-04-08,NC,1말,구창모,A,2 노수광,B,2-3,유격수 땅볼,1사  0:0
2017-04-08,NC,3말,구창모,A,2 노수광,B,2-3,볼넷,무사 1루 0:1
2017-04-08,NC,5말,최금강,A,2 노수광,B,1-0,1루수 땅볼,무사  2:4
2017-04-08,NC,7말,배재환,A,2 노수광,B,1-0,좌익수 안타,무사  2:5
2017-04-08,NC,8말,윤수호,A,2 노수광,B,2-3,노수광/11268 : 삼진 아웃,1사  2:8
2017-04-09,NC,1말,이재학,A,1 노수광,B,0-0,좌익수 안타,무사  3:0
2017-04-09,NC,2말,이재학,A,1 노수광,B,0-0,좌익수 안타,1사  4:4
2017-04-09,NC,3말,윤수호,A,1 노수광,B,1-0,3루수 땅볼,"2사 1,2루 4:6"
2017-04-09,NC,5말,김진성,A,1 노수광,B,1-3,볼넷,무사  4:8
2017-04-09,NC,7말,원종현,A,1 노수광,B,2-1,2루수 땅볼,1사  5:8
2017-04-11,롯데,1말,박세웅,A,1 노수광,B,2-1,2루수 땅볼,무사  0:0
2017-04-11,롯데,3말,박세웅,A,1 노수광,B,0-0,1루수 땅볼,무사  2:1
2017-04-11,롯데,5말,박세웅,A,1 노수광,B,1-0,3루수 땅볼,1사  2:1
2017-04-11,롯데,7말,박시영,A,1 노수광,B,2-0,삼진,2사  4:1
2017-04-11,롯데,9말,손승락,A,1 노수광,B,1-2,좌익수 뜬공,1사 1루 6:4
2017-04-12,롯데,1말,레일리,A,1 노수광,B,2-1,유격수 땅볼,무사  0:0
2017-04-12,롯데,3말,레일리,A,1 노수광,B,0-0,2루수 땅볼 실책[실책포함],1사 1루 0:0
2017-04-12,롯데,5말,레일리,A,1 노수광,B,2-1,노수광/11268 : 삼진 아웃,무사 1루 0:1
2017-04-12,롯데,8말,배장호,A,1 노수광,B,0-2,중견수 2루타,1사  0:1
2017-04-12,롯데,10말,박시영,A,1 노수광,B,2-1,노수광/11268 : 삼진 아웃,1사 1루 1:1
2017-04-12,롯데,11말,손승락,A,1 노수광,B,2-1,노수광/11268 : 삼진 아웃,2사 만루 1:1
2017-04-13,롯데,9말,강영식,A,4 노수광,B,2-0,중견수 안타,무사 1루 10:10
2017-04-14,한화,1초,송은범,A,2 노수광,B,0-1,좌익수 안타,1사  0:0
2017-04-14,한화,2초,송은범,A,2 노수광,B,2-1,몸에 맞는 볼,"2사 1,3루 2:0"
2017-04-14,한화,4초,안영명,A,2 노수광,B,0-0,3루수 희생번트,무사 2루 3:0
2017-04-14,한화,6초,송창식,A,2 노수광,B,2-2,노수광/11268 : 삼진 아웃,"무사 1,2루 4:0"
2017-04-14,한화,8초,심수창,A,2 노수광,B,0-1,우익수 안타,1사  6:1
2017-04-15,한화,1초,이태양,A,2 노수광,B,2-3,유격수 뜬공,무사 2루 0:0
2017-04-15,한화,3초,이태양,A,2 노수광,B,0-2,2루수 땅볼,무사 1루 2:1
2017-04-15,한화,4초,이태양,A,2 노수광,B,0-0,우익수 2루타,2사 1루 6:1
2017-04-15,한화,5초,안영명,A,2 노수광,B,2-0,투수 땅볼,"2사 1,2루 9:1"
2017-04-15,한화,7초,박정진,A,2 노수광,B,0-0,중견수 뜬공,2사 1루 10:2
2017-04-15,한화,9초,심수창,A,2 노수광,B,2-1,노수광/11268 : 삼진 아웃,2사  12:3
2017-04-16,한화,8초,송신영,A,1 노수광,B,2-1,노수광/11268 : 삼진 아웃,무사  10:1
