date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-05-11,두산,1초,장원준,A,2 로맥,B,2-1,로맥/12991 : 삼진 아웃,1사  0:0
2017-05-11,두산,3초,장원준,A,2 로맥,B,2-0,로맥/12991 : 삼진 아웃,2사  0:6
2017-05-11,두산,6초,장원준,A,2 로맥,B,0-0,유격수 뜬공,2사  0:6
2017-05-11,두산,9초,장원준,A,2 로맥,B,2-3,로맥/12991 : 삼진 아웃,1사  0:7
2017-05-12,KIA,1말,임기영,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,1사 만루 0:0
2017-05-12,KIA,4말,임기영,A,5 로맥,B,0-1,좌익수 뜬공,1사  2:0
2017-05-12,KIA,6말,임기영,A,5 로맥,B,2-1,우익수 뜬공,1사 1루 2:2
2017-05-12,KIA,8말,손영민,A,5 로맥,B,0-0,유격수 내야안타,무사 1루 2:5
2017-05-13,KIA,1말,헥터,A,5 로맥,B,0-0,좌익수 홈런,"2사 1,3루 0:0"
2017-05-13,KIA,4말,헥터,A,5 로맥,B,2-3,볼넷,1사  0:3
2017-05-13,KIA,6말,헥터,A,5 로맥,B,2-0,좌익수 뜬공,2사  0:3
2017-05-13,KIA,9말,임창용,A,5 로맥,B,0-0,2루수 뜬공,무사  3:3
2017-05-13,KIA,11말,김윤동,A,5 로맥,B,0-0,우익수 뜬공,1사 1루 5:3
2017-05-14,KIA,2말,양현종,A,4 로맥,B,2-3,포수 파울 뜬공,무사  0:0
2017-05-14,KIA,4말,양현종,A,4 로맥,B,2-3,로맥/12991 : 삼진 아웃,"1사 1,3루 2:0"
2017-05-14,KIA,6말,양현종,A,4 로맥,B,2-1,좌익수 안타,2사 2루 3:1
2017-05-14,KIA,8말,김윤동,A,4 로맥,B,2-3,볼넷,2사  3:3
2017-05-16,삼성,1말,윤성환,A,4 로맥,B,2-2,삼진,2사 1루 1:0
2017-05-16,삼성,4말,윤성환,A,4 로맥,B,0-1,2루수 땅볼,1사  4:0
2017-05-16,삼성,6말,윤성환,A,4 로맥,B,1-1,중견수 홈런,2사 1루 5:0
2017-05-16,삼성,8말,장필준,A,4 로맥,B,2-3,3루수 땅볼,2사 1루 7:2
2017-05-17,삼성,1말,페트릭,A,3 로맥,B,1-0,로맥/12991 : 중견수 직선타 아웃,1사  0:1
2017-05-17,삼성,4말,페트릭,A,3 로맥,B,1-2,좌익수 안타,1사  1:1
2017-05-17,삼성,6말,페트릭,A,3 로맥,B,0-3,볼넷,2사  1:1
2017-05-17,삼성,8말,심창민,A,3 로맥,B,2-3,볼넷,1사 2루 3:2
2017-05-18,삼성,1말,백정현,A,4 로맥,B,2-0,로맥/12991 : 삼진 아웃,"1사 1,2루 0:0"
2017-05-18,삼성,3말,백정현,A,4 로맥,B,2-3,로맥/12991 : 삼진 아웃,1사 만루 0:0
2017-05-18,삼성,5말,백정현,A,4 로맥,B,2-2,좌익수 뜬공,무사  0:1
2017-05-18,삼성,7말,김승현,A,4 로맥,B,2-3,볼넷,2사 1루 1:1
2017-05-19,NC,1초,최금강,A,4 로맥,B,1-3,볼넷,2사 2루 0:0
2017-05-19,NC,2초,장현식,A,4 로맥,B,0-0,좌익수 희생플라이,1사 만루 5:0
2017-05-19,NC,4초,장현식,A,4 로맥,B,1-3,볼넷,무사  7:1
2017-05-19,NC,5초,강윤구,A,4 로맥,B,2-1,유격수 뜬공,무사  10:1
2017-05-19,NC,7초,강윤구,A,4 로맥,B,2-3,좌익수 홈런,무사  10:1
2017-05-19,NC,9초,임정호,A,4 로맥,B,2-2,중견수 안타,무사  11:1
2017-05-20,NC,2초,이재학,A,5 로맥,B,2-1,좌익수 뜬공,1사  0:0
2017-05-20,NC,4초,이재학,A,5 로맥,B,2-3,볼넷,1사  0:1
2017-05-20,NC,7초,원종현,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,무사  0:1
2017-05-20,NC,9초,임창민,A,5 로맥,B,2-3,볼넷,1사 1루 0:1
2017-05-21,NC,1초,구창모,A,5 로맥,B,2-0,로맥/12991 : 삼진 아웃,"2사 1,2루 0:0"
2017-05-21,NC,4초,구창모,A,5 로맥,B,0-1,좌익수 안타,"무사 1,2루 0:0"
2017-05-21,NC,5초,김진성,A,5 로맥,B,2-1,로맥/12991 : 삼진 아웃,"2사 1,2루 3:0"
2017-05-21,NC,8초,원종현,A,5 로맥,B,1-0,우익수 뜬공,무사  4:4
2017-05-21,NC,10초,임창민,A,5 로맥,B,0-3,고의4구,2사 3루 4:4
2017-05-21,NC,11초,윤수호,A,5 로맥,B,1-3,우익수 뜬공,1사 만루 7:4
2017-05-23,롯데,2초,김원중,A,5 로맥,B,1-1,1루수 파울 뜬공,무사  1:0
2017-05-23,롯데,4초,김원중,A,5 로맥,B,2-1,2루수 땅볼,1사  1:0
2017-05-23,롯데,6초,김원중,A,5 로맥,B,2-3,중견수 2루타,2사  1:3
2017-05-23,롯데,8초,장시환,A,5 로맥,B,2-0,로맥/12991 : 삼진 아웃,무사 만루 1:3
2017-05-23,롯데,9초,배장호,A,5 로맥,B,2-1,로맥/12991 : 삼진 아웃,1사 만루 3:3
2017-05-24,롯데,2초,박세웅,A,5 로맥,B,0-0,3루수 땅볼,1사  0:0
2017-05-24,롯데,4초,박세웅,A,5 로맥,B,2-1,유격수 땅볼,1사  1:0
2017-05-24,롯데,6초,박세웅,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,2사  1:1
2017-05-24,롯데,8초,장시환,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,1사  5:5
2017-05-25,롯데,2초,레일리,A,6 로맥,B,2-1,우익수 2루타,무사  0:1
2017-05-25,롯데,3초,레일리,A,6 로맥,B,1-0,좌익수 홈런,2사 1루 2:1
2017-05-25,롯데,6초,레일리,A,6 로맥,B,0-0,좌익수 홈런,무사  5:17
2017-05-25,롯데,8초,강동호,A,6 로맥,B,1-3,볼넷,무사  6:17
2017-05-26,LG,2말,허프,A,5 로맥,B,2-3,로맥/12991 : 삼진 아웃,1사  0:0
2017-05-26,LG,4말,허프,A,5 로맥,B,1-0,좌익수 2루타,2사  0:2
2017-05-26,LG,7말,허프,A,5 로맥,B,2-3,볼넷,무사  1:2
2017-05-26,LG,8말,정찬헌,A,5 로맥,B,0-3,고의4구,"1사 2,3루 1:4"
2017-05-27,LG,2말,임찬규,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,1사  0:0
2017-05-27,LG,4말,임찬규,A,5 로맥,B,2-1,우익수 뜬공,1사 2루 0:0
2017-05-27,LG,6말,임찬규,A,5 로맥,B,2-1,로맥/12991 : 삼진 아웃,무사 2루 0:1
2017-05-27,LG,8말,최동환,A,5 로맥,B,1-2,우익수 뜬공,무사  0:2
2017-05-28,LG,1말,차우찬,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,"2사 1,2루 0:0"
2017-05-28,LG,4말,차우찬,A,5 로맥,B,2-1,좌익수 홈런,무사  1:1
2017-05-28,LG,6말,차우찬,A,5 로맥,B,1-2,우익수 홈런,무사  1:4
2017-05-28,LG,7말,신정락,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,"2사 1,2루 1:5"
2017-05-30,kt,1초,정성곤,A,4 로맥,B,1-0,1루수 뜬공,1사 3루 1:0
2017-05-30,kt,3초,정성곤,A,4 로맥,B,1-3,볼넷,"1사 2,3루 2:0"
2017-05-30,kt,5초,정성곤,A,4 로맥,B,1-1,로맥/12991 : 유격수 직선타 아웃,무사  6:0
2017-05-30,kt,7초,정성곤,A,4 로맥,B,2-0,로맥/12991 : 삼진 아웃,2사 1루 6:0
2017-05-30,kt,9초,홍성용,A,4 로맥,B,2-3,볼넷,"무사 1,2루 8:2"
2017-05-31,kt,1초,류희운,A,4 로맥,B,1-3,볼넷,2사 1루 0:0
2017-05-31,kt,3초,류희운,A,4 로맥,B,1-3,볼넷,"2사 1,2루 0:1"
2017-05-31,kt,5초,엄상백,A,4 로맥,B,2-1,로맥/12991 : 삼진 아웃,1사 2루 5:2
2017-05-31,kt,6초,배제성,A,4 로맥,B,2-2,로맥/12991 : 삼진 아웃,"2사 1,2루 8:2"
2017-05-31,kt,9초,이상화,A,4 로맥,B,2-3,로맥/12991 : 삼진 아웃,1사  8:2
2017-06-01,kt,2초,고영표,A,5 로맥,B,0-2,중견수 2루타,무사 2루 0:0
2017-06-01,kt,3초,고영표,A,5 로맥,B,2-3,좌익수 홈런,2사 2루 4:0
2017-06-01,kt,6초,고영표,A,5 로맥,B,1-3,중견수 안타,무사  6:1
2017-06-01,kt,7초,홍성무,A,5 로맥,B,2-2,2루수 뜬공,2사  10:1
2017-06-02,한화,2초,장민재,A,5 로맥,B,0-0,3루수 뜬공,무사  0:2
2017-06-02,한화,4초,장민재,A,5 로맥,B,0-0,중견수 뜬공,2사  1:2
2017-06-02,한화,6초,장민재,A,5 로맥,B,2-3,로맥/12991 : 삼진 아웃,2사 1루 3:3
2017-06-02,한화,8초,권혁,A,5 로맥,B,1-1,우익수 뜬공,1사 1루 4:3
2017-06-03,한화,2초,배영수,A,5 로맥,B,1-2,중견수 홈런,1사  0:1
2017-06-03,한화,3초,배영수,A,5 로맥,B,1-2,좌익수 홈런,"2사 1,2루 2:1"
2017-06-03,한화,6초,심수창,A,5 로맥,B,2-0,로맥/12991 : 삼진 아웃,무사  5:1
2017-06-03,한화,8초,심수창,A,5 로맥,B,1-3,볼넷,"1사 1,3루 5:1"
2017-06-04,한화,2초,이태양,A,5 로맥,B,1-0,투수 땅볼,무사  0:0
2017-06-04,한화,4초,이태양,A,5 로맥,B,2-3,볼넷,무사 1루 1:2
2017-06-04,한화,5초,이태양,A,5 로맥,B,2-2,좌익수 안타,2사 1루 3:4
2017-06-04,한화,7초,송창식,A,5 로맥,B,1-1,좌익수 홈런,무사  4:4
2017-06-04,한화,9초,이동걸,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,무사  6:4
2017-06-06,넥센,1말,김성민,A,4 로맥,B,0-1,좌익수 2루타,"무사 1,3루 0:1"
2017-06-06,넥센,3말,김성민,A,4 로맥,B,2-2,삼진,1사 3루 0:3
2017-06-06,넥센,5말,김성민,A,4 로맥,B,2-1,유격수 땅볼,2사  1:5
2017-06-06,넥센,8말,하영민,A,4 로맥,B,2-3,볼넷,1사  5:5
2017-06-07,넥센,2말,한현희,A,5 로맥,B,2-3,로맥/12991 : 삼진 아웃,무사  1:0
2017-06-07,넥센,4말,한현희,A,5 로맥,B,0-0,좌익수 파울 뜬공,무사  2:1
2017-06-07,넥센,6말,한현희,A,5 로맥,B,2-1,로맥/12991 : 삼진 아웃,무사  3:1
2017-06-07,넥센,7말,오주원,A,5 로맥,B,2-2,포수 파울 뜬공,"2사 1,2루 3:2"
2017-06-08,넥센,2말,최원태,A,5 로맥,B,2-2,좌익수 파울 뜬공,무사  1:0
2017-06-08,넥센,4말,최원태,A,5 로맥,B,2-2,로맥/12991 : 삼진 아웃,2사  2:0
2017-06-08,넥센,6말,최원태,A,5 로맥,B,2-2,좌익수 뜬공,무사 1루 3:2
2017-06-08,넥센,9말,하영민,A,5 로맥,B,2-2,2루수 뜬공,무사  6:2
