date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2016-05-05,롯데,6말,김성배,A,1 윤정우,B,1-0,유격수 땅볼,무사  1:13
2016-05-05,롯데,7말,김성배,A,1 윤정우,B,2-2,중견수 안타,2사 만루 1:14
2016-05-06,넥센,7초,오주원,A,1 윤정우,B,1-1,3루수 땅볼,무사 2루 3:14
2016-05-06,넥센,9초,마정길,A,1 윤정우,B,2-2,좌익수 희생플라이,무사 3루 5:15
2016-05-12,kt,3말,정대현,A,9 윤정우,B,2-1,윤정우/10651 : 삼진 아웃,무사  5:1
2016-05-14,한화,8말,김용주,A,2 윤정우,B,2-2,삼진,무사  0:8
2016-06-02,LG,7초,류제국,A,3 윤정우,B,2-1,삼진,무사  1:9
2016-06-02,LG,8초,이승현,A,3 윤정우,B,0-2,유격수 땅볼,2사 만루 1:9
2016-06-03,넥센,8말,김택형,A,3 윤정우,B,2-1,투수 땅볼,1사  9:1
2016-06-08,한화,9초,정우람,A,5 윤정우,B,2-1,유격수 땅볼,무사  3:5
2016-08-03,한화,6말,박정진,A,2 윤정우,B,2-0,윤정우/10651 : 삼진 아웃,"무사 1,2루 6:0"
2016-08-03,한화,9말,정대훈,A,2 윤정우,B,1-1,유격수 내야안타,무사  8:0
2016-08-05,삼성,3초,플란데,A,8 윤정우,B,2-1,유격수 내야안타,무사  0:1
2016-08-05,삼성,5초,플란데,A,8 윤정우,B,1-1,우익수 안타,무사  2:5
2016-08-05,삼성,7초,플란데,A,8 윤정우,B,0-1,중견수 2루타[실책포함],1사 1루 2:8
2016-08-05,삼성,9초,심창민,A,8 윤정우,B,2-1,좌익수 뜬공,1사 1루 5:8
2016-08-06,삼성,2초,김기태,A,7 윤정우,B,1-0,유격수 내야안타,무사 1루 2:2
2016-08-06,삼성,3초,김기태,A,7 윤정우,B,1-2,유격수 땅볼,무사  7:2
2016-08-06,삼성,5초,장필준,A,7 윤정우,B,1-0,투수 내야안타,무사 1루 9:2
2016-08-06,삼성,6초,박근홍,A,7 윤정우,B,1-1,중견수 2루타,"2사 2,3루 11:2"
2016-08-07,삼성,1초,정인욱,A,2 윤정우,B,2-1,3루수 땅볼,무사 2루 0:0
2016-08-07,삼성,3초,정인욱,A,2 윤정우,B,2-3,몸에 맞는 볼,"1사 2,3루 0:0"
2016-08-07,삼성,5초,정인욱,A,2 윤정우,B,0-0,중견수 안타,무사  3:3
