date,opponent,inning,pitcher,p_class,batter,b_class,P,result,before
2017-04-23,KT,7초,주권,A,8 허도환,B,2-3,볼넷,2사 2루 13:0
2017-04-23,KT,9초,주권,A,8 허도환,B,0-0,좌익수 2루타,1사  13:1
2017-04-26,롯데,7초,이정민,A,9 허도환,B,1-3,유격수 병살타,"1사 1,3루 2:8"
2017-04-28,넥센,5말,신재영,A,8 허도환,B,1-1,좌익수 뜬공,2사 2루 10:0
2017-04-28,넥센,8말,신재영,A,8 허도환,B,2-2,몸에 맞는 볼,무사  12:0
2017-04-30,넥센,7말,오주원,A,7 허도환,B,1-0,3루수 땅볼,1사  5:1
2017-05-02,SK,2초,윤희상,A,9 허도환,B,1-1,투수 땅볼,1사 1루 1:0
2017-05-02,SK,4초,윤희상,A,9 허도환,B,1-0,2루수 뜬공,1사 1루 1:0
2017-05-02,SK,6초,윤희상,A,9 허도환,B,2-3,중견수 안타,1사  3:3
2017-05-03,SK,10초,박정배,A,8 허도환,B,1-1,좌익수 홈런,1사  8:8
2017-05-04,SK,2초,박종훈,A,8 허도환,B,2-3,볼넷,"2사 2,3루 0:0"
2017-05-04,SK,4초,박종훈,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,1사  1:0
2017-06-07,KIA,3초,임기영,A,8 허도환,B,2-3,2루수 뜬공,1사  0:1
2017-06-07,KIA,5초,임기영,A,8 허도환,B,2-3,볼넷,2사  0:1
2017-06-08,KIA,9초,김윤동,A,8 허도환,B,2-1,2루수 땅볼,1사  4:8
2017-06-09,삼성,2말,백정현,A,8 허도환,B,0-0,중견수 2루타,1사 3루 2:1
2017-06-09,삼성,4말,백정현,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,무사  2:4
2017-06-09,삼성,6말,백정현,A,8 허도환,B,0-0,중견수 뜬공,1사 1루 2:5
2017-06-09,삼성,8말,최충연,A,8 허도환,B,2-3,투수 땅볼,2사 2루 4:5
2017-06-11,삼성,7말,심창민,A,6 허도환,B,0-1,투수 땅볼,2사 1루 3:4
2017-06-13,SK,9초,박정배,A,8 허도환,B,0-2,3루수 희생번트,무사 1루 9:8
2017-06-15,SK,2초,박종훈,A,8 허도환,B,2-2,허도환/10684 : 삼진 아웃,"무사 2,3루 2:3"
2017-06-15,SK,4초,박종훈,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,"1사 1,2루 2:4"
2017-06-28,kt,2말,고영표,A,8 허도환,B,1-0,중견수 안타[실책포함],"2사 2,3루 1:0"
2017-06-28,kt,5말,고영표,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,무사  4:2
2017-06-28,kt,7말,고영표,A,8 허도환,B,2-2,허도환/10684 : 삼진 아웃,1사 1루 4:2
2017-06-30,두산,2말,유희관,A,8 허도환,B,1-1,1루수 파울 뜬공,2사  1:2
2017-06-30,두산,4말,유희관,A,8 허도환,B,0-1,몸에 맞는 볼,"1사 2,3루 6:3"
2017-06-30,두산,6말,유희관,A,8 허도환,B,0-0,투수 희생번트,무사 1루 6:6
2017-07-06,넥센,8초,윤영삼,A,8 허도환,B,2-0,유격수 병살타,"무사 1,3루 5:12"
2017-07-13,롯데,2말,박세웅,A,8 허도환,B,1-1,우익수 뜬공,1사 2루 0:2
2017-07-13,롯데,5말,박세웅,A,8 허도환,B,1-1,유격수 땅볼,무사  3:2
2017-07-18,NC,7말,원종현,A,8 허도환,B,2-2,우익수 뜬공,1사  7:3
2017-07-19,NC,4말,맨쉽,A,8 허도환,B,2-0,3루수 땅볼,2사 1루 5:2
2017-07-19,NC,6말,이민호,A,8 허도환,B,1-2,유격수 뜬공,1사  9:4
2017-07-19,NC,8말,최금강,A,8 허도환,B,2-1,3루수 땅볼,2사  11:6
2017-07-22,두산,7초,유희관,A,8 허도환,B,1-0,좌익수 안타,2사 1루 0:14
2017-07-22,두산,9초,이현호,A,8 허도환,B,2-2,허도환/10684 : 삼진 아웃,1사  1:17
2017-07-23,두산,2초,보우덴,A,8 허도환,B,2-3,볼넷,2사 3루 1:0
2017-07-23,두산,4초,보우덴,A,8 허도환,B,2-2,좌익수 뜬공,"1사 1,2루 2:1"
2017-07-23,두산,6초,김강률,A,8 허도환,B,2-1,우익수 뜬공,1사  4:1
2017-07-27,롯데,2초,박세웅,A,8 허도환,B,1-1,투수 희생번트,무사 2루 2:1
2017-07-27,롯데,4초,박세웅,A,8 허도환,B,0-1,좌익수 안타,무사  3:1
2017-07-27,롯데,6초,박세웅,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,1사 1루 3:2
2017-07-27,롯데,8초,박진형,A,8 허도환,B,2-1,좌익수 안타,2사  3:2
2017-09-14,넥센,8말,김정인,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,2사 2루 2:10
2017-09-26,롯데,2초,박세웅,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,무사  1:1
2017-09-26,롯데,4초,박세웅,A,8 허도환,B,2-3,우익수 2루타,무사  4:5
2017-10-03,NC,12말,최금강,A,8 허도환,B,2-3,좌익수 뜬공,무사  8:8
2016-04-13,두산,2말,노경은,A,9 허도환,B,1-2,3루수 땅볼,"2사 1,2루 5:0"
2016-04-15,LG,3말,이준형,A,9 허도환,B,1-1,중견수 뜬공,무사  9:1
2016-04-15,LG,5말,이준형,A,9 허도환,B,2-1,허도환/10684 : 삼진 아웃,"무사 1,2루 12:1"
2016-04-15,LG,7말,정현욱,A,9 허도환,B,0-1,유격수 땅볼,1사  15:2
2016-04-17,LG,8말,이동현,A,3 허도환,B,2-3,3루수 파울 뜬공,2사 만루 6:4
2016-05-01,삼성,6말,김대우,A,8 허도환,B,1-1,중견수 2루타,2사 3루 8:6
2016-05-01,삼성,8말,박근홍,A,8 허도환,B,1-1,중견수 2루타,"1사 1,2루 8:7"
2016-05-03,SK,2초,박종훈,A,9 허도환,B,2-2,3루수 땅볼,1사 2루 1:0
2016-05-03,SK,4초,박종훈,A,9 허도환,B,1-3,볼넷,2사  2:0
2016-05-03,SK,6초,김승회,A,9 허도환,B,2-1,유격수 땅볼,"2사 1,2루 3:1"
2016-05-03,SK,8초,김태훈,A,9 허도환,B,2-3,허도환/10684 : 삼진 아웃,1사  7:1
2016-05-04,SK,2초,문승원,A,9 허도환,B,2-3,허도환/10684 : 삼진 아웃,"1사 1,2루 0:4"
2016-05-04,SK,4초,문승원,A,9 허도환,B,1-3,1루수 파울 뜬공,무사  1:4
2016-05-04,SK,6초,박민호,A,9 허도환,B,2-3,좌익수 뜬공,2사  1:4
2016-05-05,SK,7초,전유수,A,8 허도환,B,0-1,좌익수 뜬공,2사 2루 6:18
2016-05-06,kt,9초,김재윤,A,9 허도환,B,2-2,좌익수 2루타,무사  3:10
2016-05-07,kt,8초,윤근영,A,8 허도환,B,0-3,볼넷,무사  8:17
2016-05-07,kt,9초,홍성무,A,8 허도환,B,1-0,3루수 파울 뜬공,2사  10:17
2016-06-12,LG,8말,진해수,A,9 허도환,B,2-1,허도환/10684 : 삼진 아웃,"1사 1,2루 5:5"
2016-06-14,kt,7초,심재민,A,8 허도환,B,0-0,우익수 안타,무사  2:5
2016-06-14,kt,8초,엄상백,A,8 허도환,B,2-1,허도환/10684 : 삼진 아웃,1사 1루 3:5
2016-07-29,두산,7초,윤명준,A,9 허도환,B,2-3,몸에 맞는 볼,무사  3:8
2016-07-29,두산,8초,이현승,A,9 허도환,B,2-3,우익수 뜬공,2사 2루 6:8
2016-07-29,두산,10초,김성배,A,9 허도환,B,2-3,투수 땅볼,2사  8:8
2016-07-30,두산,2초,장원준,A,9 허도환,B,2-1,좌익수 뜬공,1사  2:1
2016-07-31,두산,7초,보우덴,A,8 허도환,B,2-2,유격수 땅볼,2사  3:8
2016-08-03,KIA,2초,김윤동,A,9 허도환,B,1-0,유격수 병살타,"1사 1,3루 0:0"
2016-08-03,KIA,4초,김윤동,A,9 허도환,B,1-1,몸에 맞는 볼,"2사 1,2루 0:0"
2016-08-03,KIA,5초,고효준,A,9 허도환,B,2-1,우익수 뜬공,"1사 1,2루 4:0"
2016-08-03,KIA,7초,한승혁,A,9 허도환,B,0-1,좌익수 2루타,1사  6:0
2016-08-03,KIA,8초,한승혁,A,9 허도환,B,2-2,허도환/10684 : 삼진 아웃,"2사 1,2루 7:0"
2016-08-04,KIA,3초,최영필,A,9 허도환,B,2-1,좌익수 2루타,2사  0:1
2016-08-04,KIA,4초,한기주,A,9 허도환,B,2-0,1루수 땅볼,2사 만루 2:2
2016-08-04,KIA,6초,한기주,A,9 허도환,B,0-0,우익수 2루타,2사 2루 3:3
2016-08-05,NC,1말,장현식,A,9 허도환,B,2-1,우익수 2루타,1사 3루 0:6
2016-08-05,NC,3말,장현식,A,9 허도환,B,1-0,유격수 뜬공,1사  2:7
2016-08-05,NC,5말,민태호,A,9 허도환,B,2-1,우익수 뜬공,무사  2:8
2016-08-05,NC,6말,임서준,A,9 허도환,B,1-0,3루수 땅볼,무사 2루 2:13
2016-08-05,NC,8말,임서준,A,9 허도환,B,1-0,좌익수 안타,1사  4:14
2016-08-06,NC,3말,최금강,A,9 허도환,B,0-0,유격수 땅볼,1사  7:0
2016-08-06,NC,5말,최금강,A,9 허도환,B,2-0,허도환/10684 : 삼진 아웃,"1사 1,2루 11:1"
2016-08-06,NC,7말,김진성,A,9 허도환,B,0-0,중견수 뜬공,2사 2루 11:2
2016-08-06,NC,9말,김학성,A,9 허도환,B,2-1,2루수 뜬공,"2사 1,3루 11:3"
2016-08-07,NC,2말,해커,A,8 허도환,B,2-0,2루수 땅볼 실책[실책포함],1사  0:2
2016-08-07,NC,4말,해커,A,8 허도환,B,2-2,허도환/10684 : 삼진 아웃,1사  3:3
2016-08-10,삼성,5말,차우찬,A,8 허도환,B,1-3,볼넷,무사  7:2
2016-08-10,삼성,6말,차우찬,A,8 허도환,B,0-1,3루수 땅볼,"2사 1,2루 7:3"
2016-08-10,삼성,8말,장필준,A,8 허도환,B,0-0,우익수 파울 뜬공,"2사 1,2루 9:4"
2016-09-07,NC,3초,최금강,A,9 허도환,B,2-2,삼진,1사  0:0
2016-09-07,NC,5초,최금강,A,9 허도환,B,0-0,우익수 뜬공,2사 1루 0:0
2016-09-08,kt,2말,로위,A,9 허도환,B,2-1,허도환/10684 : 삼진 아웃,"2사 2,3루 1:0"
2016-09-08,kt,5말,로위,A,9 허도환,B,2-3,볼넷,2사  1:0
2016-09-09,kt,2말,주권,A,9 허도환,B,2-1,유격수 땅볼,2사  0:1
2016-09-10,SK,2말,김광현,A,9 허도환,B,0-2,1루수 파울 뜬공,2사 1루 0:2
2016-09-10,SK,3말,김주한,A,9 허도환,B,0-0,중견수 안타,2사 만루 0:5
2016-09-10,SK,4말,문승원,A,9 허도환,B,2-3,볼넷,2사 만루 0:9
2016-09-10,SK,6말,임준혁,A,9 허도환,B,2-1,3루수 땅볼,무사  0:13
2016-09-11,SK,3말,켈리,A,9 허도환,B,2-0,삼진,1사  5:1
2016-09-11,SK,4말,켈리,A,9 허도환,B,0-2,좌익수 안타,2사  5:6
2016-09-11,SK,7말,서진용,A,9 허도환,B,2-3,중견수 안타,무사  5:6
2016-09-11,SK,8말,박희수,A,9 허도환,B,2-1,유격수 땅볼,2사 2루 5:7
2016-09-13,삼성,3초,플란데,A,9 허도환,B,0-0,좌익수 뜬공,1사 1루 0:1
2016-09-13,삼성,5초,플란데,A,9 허도환,B,2-3,볼넷,"1사 1,2루 0:1"
2016-09-13,삼성,7초,장원삼,A,9 허도환,B,0-1,투수 희생번트,무사 1루 1:3
2016-09-14,삼성,2초,정인욱,A,9 허도환,B,2-0,2루수 병살타,"1사 1,2루 0:0"
2016-09-15,롯데,2말,박진형,A,9 허도환,B,0-2,좌익수 2루타,1사 3루 2:1
2016-09-15,롯데,3말,박진형,A,9 허도환,B,1-1,유격수 땅볼,"1사 1,2루 3:3"
2016-09-15,롯데,5말,배장호,A,9 허도환,B,0-2,3루수 땅볼,1사  3:6
2016-09-18,KIA,2말,고효준,A,9 허도환,B,2-2,허도환/10684 : 삼진 아웃,2사 1루 1:1
2016-09-18,KIA,4말,고효준,A,9 허도환,B,2-2,허도환/10684 : 삼진 아웃,2사 2루 1:1
2016-09-19,KIA,2말,지크,A,9 허도환,B,2-1,허도환/10684 : 삼진 아웃,"1사 1,3루 1:1"
2016-09-20,LG,3말,소사,A,9 허도환,B,1-0,유격수 뜬공,1사  1:0
2016-09-22,NC,2말,이재학,A,9 허도환,B,1-1,투수 땅볼,2사 1루 1:2
2016-09-22,NC,5말,이재학,A,9 허도환,B,2-3,몸에 맞는 볼,무사  1:2
2016-09-24,LG,2초,류제국,A,9 허도환,B,1-1,3루수 땅볼,2사  1:0
