1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,1,0,1,0,0,1 국해성,2,윤규진,2
0,0,1,0,0,1,0,1,1,0,0,6 국해성,2,안영명,2
0,0,1,0,1,0,1,0,0,1,0,5 국해성,2,김정훈,-1
1,0,0,0,1,0,0,1,1,0,0,5 국해성,2,최원태,1
0,1,0,1,0,0,1,0,1,0,0,5 국해성,2,최원태,1
0,0,1,0,1,0,0,1,0,0,1,5 국해성,2,최원태,1
0,0,1,1,0,0,0,1,1,0,0,5 국해성,2,양훈,-1
0,1,0,0,1,0,0,1,0,1,0,4 국해성,2,박진태,-1
0,0,1,0,1,0,1,0,1,0,0,4 국해성,2,박지훈,3
0,0,1,0,0,1,1,0,1,0,0,7 국해성,2,심동섭,-1
1,0,0,1,0,0,0,1,0,0,1,7 국해성,2,구창모,2
1,0,0,1,0,0,0,1,0,1,0,7 국해성,2,구창모,2
0,1,0,1,0,0,0,1,1,0,0,7 국해성,2,강장산,-1
0,0,1,0,1,0,0,1,1,0,0,7 국해성,2,강장산,-1
0,0,1,0,1,0,1,0,0,1,0,7 국해성,2,이민호,2
0,0,1,0,1,0,0,1,1,0,0,8 국해성,2,이민호,2
0,0,1,0,1,0,1,0,1,0,0,2 국해성,2,심창민,-1
0,1,0,0,0,1,1,0,1,0,0,7 국해성,2,윤성환,1
0,0,1,0,1,0,0,1,1,0,0,7 국해성,2,김승현,2
0,0,1,0,0,1,0,1,1,0,0,3 국해성,2,서진용,2
0,0,1,0,1,0,0,1,1,0,0,3 국해성,2,김승현,2
1,0,0,1,0,0,1,0,0,0,1,2 국해성,2,김대우,0
1,0,0,1,0,0,0,1,1,0,0,2 국해성,2,김대우,0
0,1,0,1,0,0,0,1,0,0,1,2 국해성,2,김동호,-1
0,1,0,1,0,0,0,1,0,1,0,2 국해성,2,김동호,-1
0,0,1,1,0,0,0,1,0,1,0,2 국해성,2,김현우,-1
0,0,1,0,1,0,0,1,1,0,0,2 국해성,2,이승현,2
0,0,1,0,0,1,0,1,1,0,0,2 국해성,2,윤지웅,2
1,0,0,1,0,0,0,1,1,0,0,7 국해성,2,김대현,3
0,1,0,1,0,0,0,1,1,0,0,7 국해성,2,김대현,3
0,0,1,1,0,0,0,1,1,0,0,7 국해성,2,정찬헌,2
0,0,1,0,1,0,1,0,1,0,0,7 국해성,2,최동환,0
0,0,1,1,0,0,0,1,1,0,0,9 국해성,2,정우람,4
0,0,1,0,0,1,1,0,1,0,0,9 국해성,2,정우람,4
1,0,0,0,1,0,0,1,0,1,0,8 국해성,2,최원태,1
1,0,0,1,0,0,1,0,0,1,0,8 국해성,2,최원태,1
0,1,0,0,1,0,1,0,1,0,0,8 국해성,2,하영민,0
0,1,0,1,0,0,1,0,0,0,1,8 국해성,2,박종윤,-1
0,0,1,1,0,0,1,0,1,0,0,8 국해성,2,박종윤,-1
1,0,0,0,1,0,1,0,1,0,0,6 국해성,2,신재영,2
1,0,0,0,0,1,0,1,1,0,0,6 국해성,2,신재영,2
0,1,0,0,0,1,0,1,0,1,0,6 국해성,2,신재영,2
