1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,1,0,1,0,0,1 김도현,-1,강영식,-1
1,0,0,1,0,0,0,1,1,0,0,7 김도현,-1,티포드,-1
0,1,0,0,0,1,1,0,1,0,0,7 김도현,-1,티포드,-1
0,1,0,1,0,0,0,1,1,0,0,7 김도현,-1,유원상,2
0,0,1,1,0,0,0,1,0,1,0,7 김도현,-1,봉중근,-1
0,0,1,0,0,1,1,0,1,0,0,2 김도현,-1,신재웅,3
0,0,1,0,0,1,0,1,1,0,0,2 김도현,-1,윤지웅,5
1,0,0,1,0,0,0,1,1,0,0,9 김도현,-1,임준섭,3
0,1,0,0,0,1,0,1,1,0,0,9 김도현,-1,임준섭,3
0,0,1,0,1,0,0,1,1,0,0,1 김도현,-1,손정욱,-1
0,0,1,0,0,1,0,1,1,0,0,2 김도현,-1,손정욱,-1
1,0,0,1,0,0,0,1,0,0,1,9 김도현,-1,티포드,-1
1,0,0,0,0,1,0,1,1,0,0,9 김도현,-1,티포드,-1
